Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,circle
Airfoil,circle
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,25.9041
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=circle

Alpha,Cl,Cd
-180,0,1
-9.250,0,1
-9.000,0,1
-8.750,0,1
-8.500,0,1
-8.250,0,1
-8.000,0,1
-7.750,0,1
-7.500,0,1
-7.250,0,1
-7.000,0,1
-6.750,0,1
-6.500,0,1
-6.250,0,1
-6.000,0,1
-5.750,0,1
-5.500,0,1
-5.250,0,1
-5.000,0,1
-4.750,0,1
-4.500,0,1
-4.250,0,1
-4.000,0,1
-3.750,0,1
-3.500,0,1
-3.250,0,1
-3.000,0,1
-2.750,0,1
-2.500,0,1
-2.250,0,1
-2.000,0,1
-1.750,0,1
-1.500,0,1
-1.250,0,1
-1.000,0,1
-0.750,0,1
-0.500,0,1
-0.250,0,1
0.000,0,1
0.250,0,1
0.500,0,1
0.750,0,1
1.000,0,1
1.250,0,1
1.500,0,1
1.750,0,1
2.000,0,1
2.250,0,1
2.500,0,1
2.750,0,1
3.000,0,1
3.250,0,1
3.500,0,1
3.750,0,1
4.000,0,1
4.250,0,1
4.500,0,1
4.750,0,1
5.000,0,1
5.250,0,1
5.500,0,1
5.750,0,1
6.000,0,1
6.250,0,1
6.500,0,1
6.750,0,1
7.000,0,1
7.250,0,1
7.500,0,1
7.750,0,1
8.000,0,1
8.250,0,1
8.500,0,1
8.750,0,1
9.000,0,1
9.250,0,1
180,0,1
