C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
0,0,9232.870048906052,13467.069839487434,11558.501425325669,9370.969358763128,7838.202189984883,6705.520491032587,4742.8848679911025
1,0,9120.745576859661,13444.52447364491,11587.760867466164,9394.797156495391,7829.43325041466,6702.156698934686,4746.380917676639
2,0,9006.440308321624,13418.290562240278,11616.209171304577,9419.517760534753,7820.682528397839,6698.762985499108,4749.920442035895
3,0,8889.957243456738,13386.27222665216,11645.290151783263,9445.150972470126,7811.951321035769,6695.336700708746,4753.499599913866
4,0,8772.335019725653,13349.52165116642,11674.459460491415,9471.717058507018,7803.241254027334,6691.875361012157,4757.114499879153
5,0,8651.431224206666,13311.887508092399,11704.483193528862,9499.236765070678,7794.554297698747,6688.376675969834,4760.761237885261
6,0,8525.345534177555,13272.228554293844,11735.02008910894,9527.731316432148,7785.89277801079,6684.83857083728,4764.435932852379
7,0,8397.64241957098,13232.49332099234,11766.600240414718,9557.222402843561,7777.259382317133,6681.259204573537,4768.134759283367
8,0,8265.955142717432,13191.457869437048,11803.546626211073,9587.732894063565,7768.657157850286,6677.636982987672,4771.853976234371
9,0,8131.125712215194,13145.201515831568,11848.347065637188,9619.284070362863,7760.510908831877,6673.970566958339,4775.589952184937
10,0,7994.405019098712,13095.716116469517,11891.909645692087,9651.899600838555,7752.999797491731,6670.5049639198505,4779.33918557698
11,0,7855.5457154781525,13044.768667078439,11933.267328903123,9685.602951895282,7745.966434779702,6668.003462805018,4783.098321000327
12,0,7713.655054752224,12990.559602019606,11973.854138992177,9720.417993629146,7739.085002891028,6665.519731825455,4786.864161183502
13,0,7567.868103213165,12932.013839415215,12015.140392287789,9756.636100100202,7736.128242473271,6663.05524653069,4790.633675093276
14,0,7417.627508645098,12867.654441164676,12053.469056819911,9794.558508736029,7734.315375127429,6660.61162213836,4794.4040025525655
15,0,7262.751249816516,12798.226817879813,12093.578081763977,9833.797985411953,7733.826246694874,6658.190939148951,4798.172455852856
16,0,7104.434143092235,12725.848229336258,12132.998859269632,9874.379452163064,7737.726126478605,6655.7952048988445,4801.936518868362
17,0,6942.062661761918,12686.631602554384,12168.618569428301,9916.32860159153,7745.862953449554,6653.426692276996,4805.693844178985
18,0,6777.803021570056,12669.880553359792,12202.995867900794,9959.67188641035,7758.408648608942,6651.087831445814,4809.442248684879
19,0,6612.631529287722,12640.48262925128,12240.098884559502,10004.436504478572,7771.714461408178,6648.781192748086,4813.179708153011
20,0,6444.442703373838,12598.497055357484,12273.558213081384,10050.650380279696,7786.026700116519,6646.509470215263,4816.9043510824295
21,0,6276.039379433482,12545.222448035369,12306.107795086114,10098.342144809732,7801.493614972578,6644.275465967815,4820.614452215183
22,0,6107.635949918489,12484.027563785541,12338.003545937523,10146.975444959357,7817.879786837715,6642.08207572063,4824.308425959073
23,0,5936.906765989977,12419.984065467976,12370.30782868562,10202.659844162621,7835.203847252529,6639.932275535817,4827.984819929759
24,0,5764.858833561931,12342.66607603492,12404.423080128458,10257.8897650343,7853.4840675086925,6637.829109903781,4831.642308766044
25,0,5591.5312504698895,12253.454909397984,12432.96093803939,10311.143617410358,7872.739941266849,6635.775681181984,4835.2796883249885
26,0,5414.328899968138,12156.1925458939,12456.961077319675,10363.672213506483,7892.991201996369,6633.775140379242,4838.895870323185
27,0,5224.989476930966,12052.127698305414,12479.945511298181,10415.154345338711,7914.2563481349125,6631.83067924154,4842.489877457853
28,0,5027.648677851222,11941.216976377133,12501.274945047624,10468.324516203294,7936.555455734885,6629.945523571783,4846.060839015548
29,0,4828.346823335991,11822.929062129546,12521.863202118122,10522.604799663572,7959.908410531406,6628.362711368165,4849.60798695675
30,0,4626.486363084331,11710.889644993373,12543.196469945497,10576.472195353568,7992.872719243832,6627.279746576937,4853.130652450833
31,0,4424.097244646067,11595.619239674526,12562.694013706678,10630.739805724988,8028.567232913861,6626.517993026983,4856.628262826581
32,0,4222.0105410564665,11473.43677567931,12582.30769088289,10687.191411527216,8065.558119646463,6626.969657814626,4860.100338898194
33,0,4018.485510911163,11345.547245629936,12620.55962812383,10744.522139819635,8103.867228965723,6628.461163704832,4863.546492624299
34,0,3812.0816019593276,11217.27030089691,12660.956719699388,10802.458151689902,8143.5166020006245,6630.2340871011875,4866.966425057458
35,0,3605.769293453229,11085.465564522046,12696.730468622873,10862.151566712693,8184.528470483469,6632.29380410979,4870.359924543284
36,0,3400.8555831030762,10949.065539151949,12727.705534262173,10923.393193358568,8226.925254303738,6634.645801126094,4873.726865130961
37,0,3198.8599039090213,10810.659238669055,12772.259006828237,10983.605440685722,8270.729573758543,6637.99348514781,4877.067205160464
38,0,2997.4294515439046,10666.95315131573,12829.89178957958,11041.842284121405,8315.964049006017,6641.819628874344,4880.38059246067
39,0,2795.2449087724326,10517.219943010316,12879.113031799316,11100.367410097719,8362.651844187738,6646.02300326344,4883.667315296072
40,0,2599.220205289468,10366.312470723176,12942.940466662014,11157.582613867737,8410.816329832123,6650.610671676008,4886.927774056866
41,0,2402.875333375055,10215.259442884977,13007.199005268147,11213.302949012392,8460.480974133512,6655.58958492383,4890.237503795383
42,0,2208.5972431286514,10061.432162956498,13112.92856712075,11269.090280698994,8511.669483601836,6660.966767652674,4893.914672734076
43,0,2014.9710628891773,9905.445296120002,13257.197723204543,11324.948375573016,8564.40652093293,6666.749318395323,4898.635370251551
44,0,1823.0676450019141,9747.183324904145,13385.203978087591,11384.716105127702,8618.714940529926,6672.944410499955,4903.450509287909
45,0,1630.4262059419807,9585.863970416349,13485.917819237617,11443.693937680999,8674.619865731995,6679.559293232155,4908.36116590208
46,0,1436.536968427556,9424.366233507484,13561.257473697362,11515.435058034715,8732.146050083606,6686.601293282097,4913.368541383892
47,0,1243.3727782222343,9261.428603778226,13621.829291177086,11585.275441328591,8791.318537837711,6694.077816560791,4918.473959043483
48,0,1046.52930785519,9094.03079172722,13665.259483574662,11650.272302741017,8852.16267639839,6701.996351052643,4923.678861304824
49,0,848.1842451150156,8923.11377663865,13702.927541447612,11710.172103034556,8914.704128961757,6710.364467756323,4928.984807079816
50,0,647.7388730113881,8750.375894703302,13716.331301316566,11765.954127893003,8978.159147107668,6719.189823241573,4934.3934694000845
51,0,446.0943473790467,8575.882958080936,13707.094026193014,11817.131655326151,9044.486943716724,6728.480162200545,4939.90663328481
52,0,241.59868797131264,8398.61080364444,13685.07417529144,11868.563642032512,9111.634270299852,6738.24332012861,4945.562419023443
