C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
0,2599.810323892846,6325.841012419628,6779.059342687919,6216.880714910879,5244.665771090783,4592.271355125777,3683.02707122546,2251.2262175958103
1,2529.1502652858617,6266.471817501989,6776.813765151997,6228.6623118306625,5253.51842498784,4589.69357030639,3684.432117249389,2256.5274611146
2,2457.2904200892526,6206.454665310783,6772.33406656041,6243.299957489408,5262.651093492376,4587.038028454519,3685.8049849236572,2261.92297771122
3,2383.1148642445037,6144.328549327935,6765.443777684472,6257.186882606009,5272.298493259086,4584.304678562259,3687.142873872497,2267.4078605022273
4,2306.3961953023454,6075.973338067686,6775.910804231079,6270.516738943083,5282.950613500819,4581.949617426915,3688.443136862887,2272.9769038552085
5,2228.659637146152,6002.8878987062435,6779.343851388144,6282.67245951141,5293.9517168457605,4580.209363046652,3689.7032959027456,2278.6246578090377
6,2149.2750510372152,5928.647211550814,6779.2456586188,6293.314878488878,5305.308350157427,4578.432568719568,3690.9210533746764,2284.3454830107044
7,2068.149834316044,5852.4127391983,6775.892623627159,6302.778297823181,5317.027361144264,4576.621244524239,3692.094298166764,2290.1336046274064
8,1984.3893107826889,5774.956267335628,6776.990534619695,6311.511897459592,5329.115902872794,4574.777662875202,3693.221107003624,2295.9831638875353
9,1898.8484562172175,5693.957682738925,6772.544379889605,6319.470430479819,5341.581434546117,4573.3270514267915,3694.2997413900925,2301.888266153243
10,1810.8559481832633,5611.259241270894,6761.032244192496,6336.402479811237,5354.4317038252475,4572.196086353214,3695.3286407430087,2307.843024705382
11,1721.7904486042753,5527.826839887054,6746.545595889259,6353.171740218341,5367.674739085308,4571.095505258733,3696.306412395979,2313.8415997047973
12,1630.1029960805502,5443.119263051401,6731.467931790927,6367.967416322081,5381.318809103313,4570.028478138841,3697.2318192161374,2319.878232061006
13,1536.745539486256,5359.859037557616,6732.970649975187,6381.880308801874,5395.372411663471,4570.195018892462,3698.1985932514035,2325.947272174486
14,1441.4195876162303,5274.615566688503,6729.23988979707,6398.844407885756,5409.844634727982,4570.879204689045,3699.6510167139204,2332.043203711683
15,1345.8208126816185,5183.284562825801,6718.4917213629615,6411.259938656276,5424.743531584331,4571.65785386393,3701.2801585445573,2338.1606627182123
16,1249.072844711865,5090.708730125052,6701.860927287421,6416.785246130427,5440.07839340512,4572.536129142273,3703.288465395445,2344.294452475693
17,1149.9899002862176,4995.726550113388,6682.43367521806,6419.814955741627,5455.858227322095,4573.519548417705,3705.331345934966,2350.4395545655707
18,1047.687139680196,4901.342552491017,6660.4336680629085,6420.630294391896,5472.09207671291,4574.613857485175,3707.4086449723914,2356.5911366255978
19,944.2606421373769,4804.899060645994,6636.23308119217,6419.89069095123,5488.788986861637,4575.824994353957,3709.52046567866,2362.744557279025
20,839.0595268739676,4706.732823722959,6611.184580327541,6418.8718341317635,5505.957974077871,4577.159054166696,3711.6671491596358,2368.895368690815
21,732.0589367153691,4608.54532127121,6589.260447271598,6430.368063752875,5528.051597452086,4579.751271655197,3713.849253313443,2375.0393171664145
22,623.1290511788916,4510.51472794889,6580.752909980564,6441.893763677633,5555.853501280342,4583.579888413242,3716.0675315495405,2381.173174512967
23,512.8643503365267,4411.62833611432,6567.880918518733,6449.048974872171,5580.170022968896,4587.606168349364,3718.671367773469,2387.6786509210674
24,402.879118944202,4313.926298557784,6552.662640719888,6452.561827023569,5601.01366366579,4591.8368988244265,3721.9552492097837,2394.2094942270664
25,292.0672046204998,4213.022883068703,6533.96685003223,6456.100087222878,5619.566559755088,4596.27885768064,3725.320528589122,2400.761724244886
26,181.7206055580083,4107.523605125549,6507.599065001276,6456.381935610092,5634.963578077752,4600.938793713689,3728.76902196004,2407.3317004335822
27,69.69662920322315,4000.212859077668,6475.417402882469,6454.890914287652,5648.450917021628,4605.82340975373,3732.3026283741005,2413.9159665589227
28,0,3892.730193105866,6439.292723424974,6450.786257357678,5660.914903645692,4610.939348583352,3735.9233170986945,2420.5117889736525
29,0,3785.480801330351,6400.515076357496,6445.149954997219,5672.638491017542,4618.2788070531915,3739.6331160677587,2427.1162739849997
30,0,3676.99831865801,6380.172824253194,6438.059281865311,5685.184195702538,4631.231021926961,3743.4341016949243,2433.7269423560724
31,0,3567.283481990807,6364.7508639960715,6428.774627250908,5696.880113577498,4643.044469822364,3747.328389932878,2440.341557329245
32,0,3454.744875956579,6343.946019469008,6424.6926323812995,5707.082335093071,4652.568465766742,3751.318128485603,2447.217860253568
33,0,3338.8246579037714,6317.708792987986,6434.663325739837,5717.3223960319665,4660.143645218522,3755.4054900699334,2454.4078594232287
34,0,3222.6619132093233,6288.554050738165,6443.065074590176,5727.444851089876,4666.643048408866,3760.028639451213,2461.6343974001948
35,0,3103.5368101225417,6254.429184732151,6447.353905518982,5747.437059690147,4673.2033513516035,3765.7027175434728,2468.896134478785
36,0,2978.844561256247,6209.3384847169555,6448.493486590157,5769.9959825035,4679.7621770606065,3771.527466264454,2476.191906543356
37,0,2856.4254530542294,6160.12305595874,6448.01585509029,5791.3087147778,4689.322411025133,3777.505422424331,2483.5207145330423
38,0,2737.164767804726,6109.410354126322,6443.919870705949,5810.91084364191,4698.994067614732,3783.6390799943833,2490.8817136482303
39,0,2615.756648644344,6063.101360762744,6432.676691728871,5828.817151842394,4708.799003088262,3789.930926790051,2498.274202567003
40,0,2491.6154910488062,6037.883905110159,6417.105076853854,5844.260429659437,4719.13401421627,3796.3834438343133,2505.697615745789
41,0,2364.956893713286,6004.020383838902,6400.542960208042,5856.934405871667,4729.935852346145,3802.999104953323,2513.151513835166
42,0,2236.442228103065,5962.075187913411,6380.565281302442,5867.439616839206,4749.291564006447,3812.3847599341175,2520.635575280074
43,0,2102.7357202248363,5913.139216259443,6360.20257400574,5876.455882907603,4766.90315928289,3822.7551720746073,2528.1495883872426
44,0,1967.713227351989,5864.188525679197,6366.2894356199495,5882.878877421974,4786.323976965776,3832.231619829192,2535.6934438423605
45,0,1832.479402555201,5812.946381352827,6369.876253833583,5887.4623145590695,4805.13705485735,3840.9270531801503,2543.2671276581386
46,0,1697.285627912641,5754.081496117707,6370.488286120469,5895.163532770146,4820.820209859021,3849.3546798194457,2550.873860035917
47,0,1563.6944140650724,5690.355938907264,6370.257585878105,5900.9986529302905,4834.892537060337,3856.8875449103466,2559.303702625154
48,0,1429.474060056938,5623.419167715479,6369.824728455874,5906.864701130808,4847.919742778819,3863.8070648774587,2567.8035711545585
49,0,1294.773455996897,5551.781422430884,6365.867285524335,5913.033705036594,4860.5118228274205,3870.3394389787477,2576.373762918032
50,0,1157.787500000091,5475.906890258138,6354.7089943651845,5937.924852477123,4873.027766455682,3877.2892449143587,2585.014656439681
51,0,1017.3336730026546,5390.804757778524,6336.859393088252,5959.363773720062,4886.415343151162,3883.727290980876,2593.726702426709
52,0,875.197665682203,5299.4219336647875,6316.791721101457,5979.512268692514,4902.444665337949,3890.069569708417,2602.5104202572597
53,0,734.7541137808258,5196.861970129416,6292.423477508174,5997.062096866832,4919.791145831793,3896.684736964617,2611.366392664969
54,0,593.8864393481373,5089.624917741106,6264.303887146827,6013.074331184171,4937.34643017822,3903.067545030593,2620.295262882826
55,0,454.39807940317644,4983.498493729621,6261.592221257448,6026.965753417996,4955.411199660487,3909.771663465297,2629.297731261692
56,0,317.3261566017821,4870.805885715376,6250.932101877563,6036.934994080493,4973.199273582838,3917.345702395766,2638.3745515233863
57,0,169.11915705529063,4757.119025987955,6234.219396986296,6044.6750145906935,4991.849029555013,3926.3617574607365,2647.5265274250137
58,0,17.369777644845417,4638.648897777662,6213.316117412519,6051.010046644723,5010.39753401528,3935.8195583854963,2656.754509557131
59,0,0,4518.505521501489,6189.053076816094,6056.596744094926,5029.427758088745,3945.3381137992956,2666.0593922721846
60,0,0,4395.954046150106,6162.598348398799,6060.511582749184,5050.348720158625,3955.0604550103703,2675.442110739649
61,0,0,4271.8196905530485,6137.941566326067,6063.184768153569,5082.506964964619,3965.3248591185543,2683.746232347856
62,0,0,4148.505024921449,6106.647321312786,6064.893258865452,5112.252708195742,3975.7365172959,2697.9168150640858
63,0,0,4026.024790205356,6070.91303421135,6068.950406767591,5141.2184482306975,3986.3114019521995,2711.523734819686
64,0,0,3899.5703216737525,6033.942854686272,6073.331341374161,5168.5949139926,3997.113687076243,2724.5987445694373
65,0,0,3778.2234361664737,5991.997872946643,6092.228519816674,5194.717861417579,4012.2089089134943,2737.304248595882
66,0,0,3655.9725234178322,5987.688943385816,6107.541819470237,5218.02196893787,4030.037856214123,2749.6608269837666
67,0,0,3526.0536915956086,5974.918898594037,6120.912491405504,5239.482495937346,4048.7413581675182,2761.266891828629
68,0,0,3392.694611686735,5957.159013969154,6132.636037408306,5259.612385879482,4066.599649991403,2772.2050182967905
69,0,0,3257.508699888495,5934.725246513051,6142.096853638112,5278.882319742313,4083.8042219890062,2782.5140662445424
70,0,0,3120.3566276246365,5910.094900249826,6152.064380060983,5295.937752704382,4099.619684547541,2792.337140422762
71,0,0,2981.7821558054716,5878.885938907209,6159.420584654867,5311.658366305736,4114.238153538902,2801.8936853184814
72,0,0,2840.534496953126,5841.531516228563,6163.436520695111,5327.221197313084,4127.495028908986,2811.2751117447274
73,0,0,2701.4787048567164,5800.111459224952,6164.895337739103,5343.016054359155,4139.818940643925,2820.3879688083357
74,0,0,2562.77603190527,5760.136291587613,6165.613790429811,5359.952500877329,4151.936281400906,2829.3735436343586
75,0,0,2421.2690238283303,5712.307599222894,6164.972446348203,5375.747867937984,4163.689645577722,2838.25832734136
76,0,0,2279.1153260042056,5659.876845473926,6162.95406516588,5391.6856385901765,4175.079613269883,2847.198352803291
77,0,0,2137.376190913344,5640.901449140411,6154.867987711814,5407.973652920392,4186.886762575369,2857.854435959103
78,0,0,1998.509364334666,5607.001380843337,6145.956953440618,5425.609797450362,4201.188858263602,2868.201463490393
79,0,0,1853.3981337477514,5566.784880015211,6145.311615046356,5442.973502008523,4217.077869484714,2878.44456685784
80,0,0,1705.9526631891538,5525.13555247116,6162.7895449409325,5465.753232775716,4232.008791491212,2888.736132562244
81,0,0,1557.3698924586276,5476.147376173678,6177.106565408229,5499.931745601914,4246.693240365076,2899.0985330989315
82,0,0,1404.9036863755282,5420.478232969809,6185.770731847753,5531.903786416776,4261.496181403038,2909.5737861144344
83,0,0,1250.6937613769435,5360.132816623443,6191.406424429199,5561.529647896331,4276.442307992265,2920.435421834086
84,0,0,1098.0332187588317,5300.3344047166165,6194.748826476615,5589.758369231471,4292.168747229765,2931.031136651182
85,0,0,946.9871126593828,5234.680957891772,6197.271624881045,5617.908496684866,4307.53832866121,2941.6789126711533
86,0,0,792.9187188912097,5163.14193018718,6195.871172855946,5644.158674122309,4322.941849950844,2952.4288709584125
87,0,0,636.1511255070785,5093.783202710771,6185.642846732297,5667.328174080217,4338.675657399203,2963.517338292214
88,0,0,477.3602195459186,5044.135266464335,6171.147737470651,5688.064114367165,4356.902137177207,2974.679591467868
89,0,0,317.8270465179802,4998.794582028027,6154.0426183348,5706.67478087501,4376.626867195206,2985.807213068153
90,0,0,159.1376871334677,4945.248007184498,6134.527525479815,5725.170219699628,4396.614786116149,2997.0404718480054
91,0,0,0.7139895961354021,4883.466655215366,6111.023728084313,5742.310302850134,4417.057958972336,3008.3436907110877
92,0,0,0,4815.857231295261,6085.322471506865,5758.356156056713,4442.406891601887,3021.2175388249366
93,0,0,0,4745.113979559978,6059.001717982541,5773.101915217134,4474.30614932867,3034.666331117241
94,0,0,0,4672.115466133107,6044.469552907945,5787.200640309718,4504.911510321261,3048.2830959746157
95,0,0,0,4592.624382511518,6045.961790913977,5800.8748601695115,4534.585792569013,3061.954231610706
96,0,0,0,4510.859586603471,6043.994614163542,5814.410695411922,4563.511533804558,3075.813869569601
97,0,0,0,4424.496347471848,6037.9732670127705,5831.1344034711865,4591.677469143425,3089.856710236186
98,0,0,0,4333.828600877605,6035.311106373603,5844.079367672604,4620.197402107288,3104.0767542289123
99,0,0,0,4240.395185634225,6029.011856305416,5854.890259196211,4649.221836803766,3118.464929083103
100,0,0,0,4149.133849872392,6020.456172532157,5871.996403705694,4678.146515306808,3135.298644829159
101,0,0,0,4048.385559143827,6010.458537559802,5900.7533870928455,4705.78060592218,3156.010678725498
102,0,0,0,3941.3996727333065,5996.752566301609,5927.525465702947,4732.11233160815,3176.06150581319
103,0,0,0,3831.159779104163,5978.571969319726,5953.630495933892,4757.631492550199,3195.673489847135
104,0,0,0,3719.510235944925,5958.746228954669,5976.688713970432,4782.652022241472,3214.871891800495
105,0,0,0,3602.004306442485,5934.393393418005,5997.544855661647,4807.391593356457,3233.802064180995
106,0,0,0,3477.8188623461588,5906.544501599664,6018.119739068421,4831.887502242393,3252.2906223492646
107,0,0,0,3348.264082455636,5876.3870681273465,6038.635547999043,4855.62289018076,3272.1175583916724
108,0,0,0,3218.5617039200265,5844.375051332509,6055.28053474439,4878.810597838684,3291.7261797352367
109,0,0,0,3084.7471070160027,5828.369692353937,6070.993235240414,4901.354249730678,3310.730344521674
110,0,0,0,2947.289878674531,5820.586913531305,6085.192575059684,4923.226651712278,3329.1843244616675
