C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
0,0.0,205828.62685116616,580913.480272593,1177257.9258047938,1618894.5065338588,1935056.4474145733,2345417.541254766,2656082.4002244733
1,0,208444.49067521153,580792.08920315,1175054.4349414285,1620832.8796577654,1933931.396896709,2345138.889399506,2656841.3751709512
2,0,210961.32042742937,580555.9009813477,1172730.2084148298,1622790.1848945983,1932823.753419357,2344900.728515035,2657668.293211259
3,0,213366.26714632165,580133.6709557526,1170317.71317902,1624765.8126894445,1931733.5405018565,2344703.682449245,2658564.7942982684
4,0,215592.872276472,579530.8174582367,1167801.5479005796,1626759.0955575404,1930660.7745009714,2344548.3675303506,2659532.510559345
5,0,217645.88704088438,578880.4291943179,1165196.455749484,1628769.3091572986,1929605.4642434625,2344435.390636257,2660573.0603561765
6,0,219467.76588589256,578111.3199692058,1162490.772366304,1630795.6727080718,1928567.610743835,2344365.3474192843,2661688.042614366
7,0,221069.16137074397,577314.1912615788,1159694.0476942605,1632837.349264916,1927547.2069772584,2344338.8206725577,2662879.031465047
8,0,222417.95651891173,576454.290277006,1157711.5788190516,1634893.4826634317,1926544.2374489685,2344356.378820465,2664147.5712304157
9,0,223614.6844289905,575338.3255372362,1155394.3979439244,1636963.0591612214,1925601.1714016453,2344418.574513809,2665495.1717759054
10,0,224550.91447524578,574032.7259056609,1152968.566244976,1639045.1109805617,1924743.7760615381,2344559.439555408,2666923.3042438077
11,0,225332.28547736144,572598.9574345973,1150412.422402691,1641138.585615915,1923950.9263871755,2344881.1073885183,2668433.3971767663
12,0,225918.90596006933,570948.1579662742,1147912.9112770252,1643242.3786277436,1923180.8163083624,2345253.64864596,2670026.833034407
13,0,226250.7279958479,569010.4361238644,1145274.8281107454,1645367.7519856442,1923349.5820062528,2345677.635708056,2671704.9451025827
14,0,226306.1019464163,566691.9312323651,1142481.3206195612,1647523.524914726,1923766.8978308346,2346153.6224823613,2673469.0147916637
15,0,226057.1040269988,564009.8347520379,1140037.6262879586,1649688.0566603886,1924463.9299514315,2346682.1273039826,2675320.26931809
16,0,225518.49210053778,561071.8320758562,1137309.8399108353,1651860.0906785529,1926099.540003293,2347263.6547893398,2677259.879761492
17,0,224702.48768916764,567075.6272404306,1134389.0453577498,1654038.3051572551,1928571.033702963,2347898.679866515,2679288.959488088
18,0,223608.51217880292,566561.9988882758,1131326.4597655276,1656221.3149142507,1931911.504558383,2348587.650229468,2681408.562929521
19,0,222305.02988141912,566208.9809279544,1128228.0029259375,1658407.673319837,1935337.5044381432,2349330.9853144656,2683619.68470474
20,0,220793.3634741625,566219.7721499011,1124913.5252830307,1660595.874212595,1938866.4668896243,2350129.0753575373,2685923.2590710437
21,0,219066.43941812686,566508.5487915697,1121450.0258300505,1662784.3538182203,1942504.6463337296,2350982.280543839,2688320.1596888057
22,0,217148.05266369527,566857.7190806427,1117835.031419279,1665346.812473412,1946230.9775116877,2351890.9302588645,2690811.199682954
23,0,215008.42307419394,567332.0616826767,1114094.5586419695,1668116.827854362,1950045.2364519995,2352855.3224499966,2693397.131982891
24,0,212645.7451347004,567990.9545803142,1110266.1521863404,1670853.4671173324,1953947.0253154526,2353875.723105171,2696078.6499213427
25,0,210031.44468707507,568861.6026967644,1106100.5608023498,1673497.1525859588,1957936.098274411,2354952.3658534745,2698856.388071616
26,0,207095.8335052535,569854.3502126189,1101594.574692043,1676079.2699176306,1962012.1599603544,2356085.451690547,2701730.923302074
27,0,203629.06630417993,570891.3884412054,1096923.6168781433,1678582.531546577,1966174.598815835,2357275.1488297638,2704702.7760261865
28,0,199677.94508991993,571893.0187469209,1092037.2454631035,1681103.5222663947,1970423.029873285,2358521.5926783415,2707772.41162641
29,0,195457.890426448,572780.661926096,1086960.6741017548,1683617.2355498888,1974756.9584602925,2359855.4126628204,2710940.242030309
30,0,190881.95340511063,573660.1967881136,1081731.0045692744,1686054.557791572,1981235.6062694148,2361310.2063907064,2714206.6274178047
31,0,186027.27390138622,574494.989649973,1076251.9466532615,1688440.020754454,1988154.934148076,2362851.746266433,2717571.8780391156
32,0,180943.34870145196,575163.7275517825,1070586.683429919,1690846.780698128,1995160.3484857373,2364657.762868358,2721036.2561238636
33,0,175523.62108550608,575622.5444642209,1067197.062391321,1693213.074413019,2002251.4173548806,2366686.5970358937,2724599.9778629313
34,0,169746.03290033102,575903.5633723278,1062505.4224175157,1695521.0756090977,2009427.6800350538,2368786.0359814176,2728263.215445811
35,0,163747.446412979,575989.5479532151,1057532.3988575875,1698048.8813833268,2016688.6483808442,2370956.164938205,2732026.099137574
36,0,157544.91765386538,575850.4192147844,1052259.8496807362,1700542.0028257025,2024033.8076967103,2373197.033455039,2735888.7193808756
37,0,151189.2176172087,575484.0603199474,1049872.0160872417,1702918.2388973907,2031462.6196274108,2375645.6002736865,2739851.128909842
38,0,144561.54391244508,574785.8600868955,1046195.0993887488,1705152.753901307,2038974.5227345368,2378191.814981587,2743913.3398767216
39,0,137664.15729679662,573701.9382237933,1042197.2458619361,1707325.2113457767,2046568.9348104075,2380813.9262599885,2748075.3379837405
40,0,130810.41415522364,572425.1642698459,1042696.5709068134,1709356.4653832985,2054245.255265057,2383511.9391215914,2752337.077960057
41,0,123682.2079972292,571023.8427690747,1044970.4126405179,1711235.40932404,2062002.8624646293,2386285.8258227417,2756734.6201989986
42,0,116372.57046421946,569372.5991134668,1046121.6008589463,1713013.1370716076,2069841.1183450697,2389135.5281140003,2761310.5370703805
43,0,108855.64643180867,567423.5932163873,1057342.126579236,1715037.997702756,2077759.464518883,2392060.9584659566,2766198.052797444
44,0,101197.92119927124,565196.9947717346,1062494.4602555158,1717105.8875198257,2085757.0497204107,2395062.0015526246,2771194.8939976166
45,0,93270.48398724424,562678.3060554494,1066947.9389392263,1719984.1764038182,2093833.2813784245,2398138.515594939,2776300.9998893314
46,0,85033.81740482074,559945.7178754037,1070720.005287347,1723116.4435577968,2101987.4665028756,2401290.333750321,2781516.2864582594
47,0,76621.13790036504,556954.890083381,1074213.7115248109,1726128.1888364467,2110218.9014289333,2404517.265507212,2786840.648384118
48,0,68010.96841054069,553522.3240221458,1077152.9654854136,1728879.8006587236,2118526.8730185023,2407819.098430206,2792273.9609081466
49,0,59059.49436690466,549725.244572957,1080103.4004667029,1731323.4266939615,2126910.659839748,2411195.598963856,2797816.0816410133
50,0,49762.89198190491,545547.159651656,1081967.6624341432,1733487.2963902769,2135429.4987132726,2414646.513943476,2803466.8523113173
51,0,40467.338583769735,541041.5262061304,1082656.6168504476,1735343.0869581162,2144072.022631481,2418171.5720271766,2809226.100455248
52,0,31020.11031607441,536217.8329495525,1082739.3714557858,1737137.052176437,2152755.887911239,2421770.4851260376,2815110.1260834285
53,0,21267.0910115887,531167.9399993251,1082874.4955683348,1738818.1873308762,2161520.8911723895,2425442.949813832,2821185.0028340924
54,0,0.0,525831.6937200774,1082452.0863835416,1740262.6762369385,2171016.0525715332,2429188.648576493,2827371.8495742125
55,0,0,520030.63280908886,1081586.0007494267,1741610.7218873063,2180736.4224929814,2433586.1123596146,2833670.49498391
56,0,0,513788.04067907325,1080599.4050308887,1742912.1386800394,2190313.193119826,2438121.647957811,2840080.7596060014
57,0,0,507156.83591660927,1079139.0525461824,1743939.538228622,2199782.85111266,2442739.1378669613,2846602.457305641
58,0,0,500286.3045799255,1077721.7250170906,1744491.2834294292,2209210.456312747,2447438.30614945,2853235.3966845693
59,0,0,493061.93235716835,1076041.5434214312,1744934.0397882874,2218541.4677053993,2452276.063294563,2859979.382473632
