C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
0,51617.39223432036,186720.70348517084,432986.31579530356,730815.5676261124,910465.274163167,1110932.9171993558,1305850.1771359688,1436171.9488175549
1,51149.16036238486,187094.98144163025,431274.3661161915,730588.091067626,911917.5479925798,1110779.6199798242,1306188.8339127896,1436957.2118995704
2,50628.611134876985,187415.77857131232,429508.9135139316,730344.2644679233,913388.5709519878,1110620.412574375,1306536.081501151,1437766.670850364
3,50040.94065366369,187700.6295421184,428418.47840856574,730065.737896867,914884.9451749731,1110455.4277023908,1306892.6853786157,1438602.161277919
4,49378.75435682889,187920.97892680197,426928.74901343265,729758.1688233959,916420.1790657211,1110340.1201767253,1307259.4110390465,1439465.5143051667
5,48637.17338726532,188054.78256899523,425347.4013189756,729417.5286069574,917971.3020328918,1110301.9298268708,1307637.0203823321,1440358.5435683187
6,47822.02318457664,188145.72270319672,423695.1266569071,729028.5661806671,919537.4047145016,1110261.1989755223,1308026.268126188,1441283.0326889136
7,46944.96948310215,188142.2272174828,421956.92204093124,728584.4311666935,921117.5070486717,1110218.0661704803,1308427.898266539,1442240.7234787734
8,45988.89354421174,188065.24484855338,420192.175924109,728084.6242702901,922710.5618553401,1110172.6660148778,1308842.6406123135,1443233.3050955941
9,44943.949872596284,187872.31591176416,418393.51688253076,727521.6178010943,924315.4593633085,1110141.3156844699,1309271.2074201717,1444262.40431906
10,43793.29228679315,187593.4633396504,416510.4284249773,727282.2661579207,925931.0306189745,1110119.5660376688,1309714.290154615,1445329.577066849
11,42581.672280364764,187232.02020768082,414556.20110907307,726891.506530844,927556.0532433259,1110095.9634968892,1310172.5563987035,1446436.3012199868
12,41254.55137356673,186796.35245455083,413746.8375397906,726431.4619348414,929189.2539592319,1110070.6607350344,1310646.64693995,1447583.9707804753
13,39836.48065397229,186272.1714907008,412263.9607535146,725927.4814128171,930829.3152727921,1110221.537152132,1311146.5903883434,1448773.8913431012
14,38301.113351934306,185631.68440353594,410702.5875102825,725440.4035547235,932474.9237062207,1110438.9074329762,1311716.0835556837,1450007.276828969
15,36699.741301684655,184838.00847624202,408993.8582778059,724895.1450905438,934124.5954330728,1110658.7690602958,1312316.3441518692,1451285.2474013714
16,35098.464566351235,183963.79757642173,407149.17161181447,724232.1287902601,935776.9418379206,1110881.117566808,1312958.1881688172,1452608.8284649106
17,33334.88142345876,182990.99586196267,405192.258822897,723475.1319642612,937430.5040948384,1111105.9297406091,1313621.0621646384,1453978.9506359973
18,31452.556206922924,181961.1902407037,403132.48675829935,722617.6283859526,939083.7975347547,1111333.1534408845,1314305.4498220556,1455396.4505661053
19,29517.36595640196,180802.80805358084,400998.7715309145,721651.0105283351,940735.3149078493,1111562.707836446,1315011.7818810563,1456862.072497575
20,27461.04708485915,179522.56362310017,398805.5189472527,720603.7120861949,942383.529474732,1111794.4836388577,1315740.4364733142,1458376.4704342703
21,25287.33741867037,178153.272164269,398436.73167677067,720187.3431147914,944150.7524208224,1112226.8544548901,1316491.739683463,1459940.210815111
22,22992.14053651523,176716.97148327512,396921.7014888104,719488.6459791551,946204.9217947114,1112850.9231081775,1317265.9663129328,1461553.8585201215
23,20598.77826869444,175248.50774970284,395371.7948622432,718642.7690724812,948164.0990568144,1113481.397710503,1318112.0074296948,1463254.6751441401
24,18155.924466839504,173759.8332921388,393806.7279915994,717641.9522034116,950041.7298886706,1114117.9769853356,1319068.7429183372,1465007.364920271
25,15631.738883178114,172139.35504997268,392156.627422159,716594.9012562836,951865.0611722283,1114760.3322388795,1320051.4122481777,1466812.2082514253
26,13064.228249891674,170335.8697844289,390269.4375101369,715445.6782579155,953595.4613451641,1115408.1080246489,1321060.0954598975,1468669.4097717532
27,10377.782547316778,168427.0461911222,388153.18996898114,714215.0766456703,955246.944238746,1116060.9228039896,1322094.8262418567,1470579.0713209147
28,0.0,166386.77845270745,385904.17775849486,712859.6073221947,956832.7712106166,1116718.3696837851,1323155.5936862014,1472541.325372809
29,0,164250.09378824788,383559.9466234607,711391.3293244678,958355.5095149564,1117781.3043790455,1324242.3437848631,1474556.1427706615
30,0,162055.8609393792,384297.7570351041,709802.0458744435,959868.5418276717,1119187.081044838,1325354.9810890653,1476623.4703907387
31,0,159717.86906210514,383075.72324464796,708048.1935363444,961314.6935941891,1120566.943798962,1326493.3704152755,1478743.201293041
32,0,157198.9244757504,381833.4663876623,706937.2983059696,962669.9079587986,1121913.0016711405,1327657.3385847039,1480957.7242936399
33,0,154524.06490844744,380541.66859654925,705824.8169180672,963981.5565660547,1123213.6730798988,1328846.6761843313,1483272.6442826248
34,0,151785.99791466657,379220.0140002307,704628.5127530708,965243.2083501688,1124478.7065536978,1330139.615308015,1485641.515313317
35,0,148999.34627329645,377832.9956655779,703249.188210579,967085.0529433255,1125740.2852129634,1331624.8173743584,1488064.0688467256
36,0,145734.2038984648,376028.0715955627,701720.9780213344,968875.1633671961,1127113.1691404106,1333137.6698414125,1490539.9980530716
37,0,142456.98355098546,374102.41051735077,700103.6107866215,970599.4285125094,1129129.7224437173,1334677.8451440441,1493068.9609395298
38,0,139109.85644631562,372168.0478835334,698343.7408652484,972252.5120466024,1131145.0830636532,1336244.9705695182,1495650.583054323
39,0,135567.5437061474,373666.01959408086,696266.1545917293,973846.7207095673,1133158.8745510527,1337838.64726627,1498284.459802282
40,0,131827.05159382534,373106.35637388844,693958.6633669174,975335.1170807802,1135183.5177686645,1339458.451851456,1500970.1595356297
41,0,127910.25240611802,372466.4466310435,691533.4918935202,976677.5747217403,1137317.3067598778,1341103.9379807708,1503707.225656723
42,0,123804.70844809817,371648.02740659914,688871.3811217721,977880.1607831005,1139780.537610426,1342926.049346195,1506495.1788088449
43,0,119300.3072484394,370682.6537385066,686968.6733675121,978954.704978306,1142186.0078262012,1344794.00893023,1509333.518924196
44,0,114617.77514587175,369768.66134073754,685425.1290236172,979829.7244648961,1145282.8116862557,1346665.464141259,1512221.7271365356
45,0,109805.45007274803,368856.02270605805,683788.203604165,980537.0631431441,1148648.215093147,1348657.1311552937,1515159.267565903
46,0,104793.75913147398,367778.85311994475,682016.0334655644,981314.0992903801,1151883.9532030898,1350888.5291078005,1518146.317296398
47,0,99694.56287352809,366592.18970879883,680195.4710811242,981931.3445699195,1155042.005228507,1353108.0998003117,1521362.289647777
48,0,94492.0941664796,365344.6705335683,678361.0114218916,982480.3400186817,1158136.2433065902,1355319.078199192,1524628.8115104071
49,0,89197.69157866358,364099.9230419386,676399.1735525805,983349.7531930475,1161186.3662458176,1357528.1735604254,1527945.3089420258
50,0,83695.25744627912,362792.47187059646,674266.5169648303,984875.2256593403,1164209.1091182437,1359769.7797659175,1531311.1989135374
51,0,77925.12530958078,361203.63686835865,671729.580583576,986219.7566410479,1167252.8748083513,1362003.9340622132,1534725.8883836095
52,0,71947.84931454372,359063.34826554556,669053.6416878881,987473.9663555609,1171113.237243897,1364247.4279717775,1538188.775702774
53,0,65955.77938384876,356349.7644663527,666097.975722772,988576.7856775755,1175399.4448154175,1366515.2171964692,1541699.2509799325
54,0,59793.46285063129,353256.9692765401,664214.5126945003,989606.1548414655,1179669.9411163577,1368785.0098407497,1545256.6974971343
55,0,53614.07718339195,350112.63259414304,662425.5075194993,990532.5535306248,1183939.150931139,1371079.863619949,1548860.4927566994
56,0,47491.314696838555,346561.1161524188,660209.042894627,991238.5633650167,1188164.6015144892,1373628.8841658395,1552510.0092084508
57,0,40904.60965327004,342843.75884572597,657634.0575105782,991780.1025159591,1192405.6340016415,1376514.4853287884,1556204.6150537657
