C,eta(B=10°),eta(B=20°),eta(B=30°),eta(B=40°),eta(B=50°),eta(B=60°),eta(B=70°),eta(B=80°)
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.0437562324018013,0.023148601235410887,0.009861467284316717,0.005796277503007637,0.004048454491704406,0.00285789329119472,0.001786475083545866
2,0,0.08538475479840237,0.04622566247129192,0.01981053969268194,0.01160903960131674,0.008092494222054417,0.00571347256115295,0.00357450209581766
3,0,0.1249957272396795,0.06922338538598535,0.029851612140818513,0.01743971512454908,0.012132032431873996,0.008566545211011342,0.0053639839173096684
4,0,0.16275742193324808,0.09214020203250667,0.039987819784891444,0.023289784171173222,0.016166985639503202,0.01141691159574771,0.007154813082361834
5,0,0.19875016573553514,0.1149795954116103,0.05022536386793351,0.02916078020276992,0.02019727462980301,0.01426436553270652,0.008946871839046449
6,0,0.23307328526623233,0.13774746934553173,0.06056832639740491,0.035054292119664106,0.02422282548344102,0.01710869488374598,0.010740032317624982
7,0,0.2659054595064665,0.1604454812457178,0.07102407902038133,0.0409719662831223,0.0282435706265233,0.019949682195936784,0.012534156798185625
8,0,0.2973125109892679,0.18307030537457675,0.08156467874840835,0.04691551098946964,0.03225944987647787,0.02278710538488161,0.014329098065781776
9,0,0.3272599543129526,0.2056299891581397,0.09229326694027305,0.05288668925591149,0.036271580645459926,0.025620738444747066,0.016124699839928234
10,0,0.35601747771906783,0.2281353575409519,0.10314166399542035,0.058887333461275455,0.04028068511724779,0.028450995318697315,0.017920797264667263
11,0,0.383482565257792,0.250598527075126,0.11410337550404678,0.06491933917382323,0.04428680046563201,0.03128006697642019,0.019717217445513125
12,0,0.4097216222948031,0.27303129548487565,0.1251717340717587,0.07098466875042433,0.048289281614694375,0.03410558036146145,0.02151378002030057
13,0,0.4348374310803395,0.2954535966995896,0.13638370569743927,0.07708688173099025,0.052288813272960984,0.0369273752225345,0.02331029775214245
14,0,0.4588775301587746,0.31789258369101137,0.14770356744560809,0.08323026472681279,0.05628562138888908,0.03974529281304047,0.02510657713419077
15,0,0.48191924432614375,0.34037243757034247,0.15912077552836792,0.08941506800976114,0.06028036789619167,0.04255917873375316,0.026902418997534778
16,0,0.5040426850619435,0.36290107617067435,0.17069049693928054,0.09564373649205951,0.06427685353346069,0.04536888008345144,0.028697619115234496
17,0,0.5252058687183009,0.3803244697589214,0.18235940881731813,0.1019187921473371,0.06827836149535553,0.04817424820697095,0.030491968797069193
18,0,0.5455984354061907,0.4025293796759717,0.19415609325334662,0.1082428370780073,0.072286621486259,0.050975138592050204,0.03228525547100793
19,0,0.5651693941584902,0.4241705413470542,0.20613021322242175,0.1146185564883319,0.07629810016502728,0.05377141128767107,0.03407726324863684
20,0,0.5837532978320676,0.44500378386723505,0.21821336373377379,0.12104872156261878,0.08031524432527887,0.05656293128669195,0.03586777347278648
21,0,0.6016294751408529,0.46504094593225875,0.2304411768197433,0.1275361922633221,0.08434026977677421,0.05934956887597106,0.037656565246394366
22,0,0.6187851525719512,0.48451065789263714,0.24282301983861776,0.13404622875973463,0.08837252992978674,0.06213119995737655,0.03944341594222776
23,0,0.6350860755378405,0.5035139961216226,0.255379651442318,0.14067430559859312,0.09241308104969392,0.06490770634307431,0.04122810169350469
24,0,0.6506436887220308,0.5215294071781769,0.26813944866898703,0.1473434739825303,0.09646301316166905,0.06767897602832486,0.0430103978657181
25,0,0.6655588236800312,0.5385077341882826,0.2810088290937285,0.15403587035503977,0.10052345360256314,0.0704449034447568,0.04479007951012065
26,0,0.6797459370209905,0.5546347168804021,0.2940110594688199,0.16076535423316268,0.10459556543016144,0.07320538969675447,0.046566921799390516
27,0,0.6928024492652708,0.5699988727151015,0.3071850433524611,0.1675277575211334,0.10868054216972305,0.07596034278323983,0.04834070044600574
28,0,0.7050060682287176,0.5846444428910244,0.3205345787568745,0.17435754703465806,0.11277961604766042,0.07870967780676477,0.05011119210382011
29,0,0.7163796640352817,0.5985972739526524,0.3340820339811402,0.18124994966007,0.11689405266630554,0.08145521017865082,0.05187817475327933
30,0,0.7271226452610993,0.6124299564739835,0.34786457308598556,0.18818736582059672,0.12102860498697704,0.08419833694836928,0.05364142807065416
31,0,0.7372414362032218,0.6257046674139384,0.3618516237168534,0.19518190159353066,0.1251841996544284,0.08693819157652445,0.05540073378160597
32,0,0.7466665024350949,0.6383399356293432,0.37608710470627577,0.202259677856599,0.12936196332519076,0.08968022027544192,0.05715587599934672
33,0,0.7555109736225621,0.6504315418262075,0.3902545110036778,0.2094061497469628,0.13356345573682257,0.09242424352941987,0.05890664154761148
34,0,0.7635570166327251,0.6622414141652463,0.40514854737430545,0.2166198830796096,0.13779026098774114,0.09516602831038,0.06065282026863156
35,0,0.7707107990714898,0.6736082210814462,0.4202098837651248,0.22388949399691718,0.14204398715533645,0.09790576754500763,0.0623942053162762
36,0,0.77711679192786,0.6844943517570861,0.43544130223391003,0.2312451878915536,0.14632626590954348,0.10064366568536098,0.0641305934345237
37,0,0.7828456176306191,0.695057290741247,0.4501249447660058,0.23864528080250308,0.15063875223320256,0.1033848478586932,0.0658617852214244
38,0,0.7879157629061728,0.7052091011576349,0.4660085755409029,0.24607179963004003,0.15498312035719877,0.10612648832919272,0.06758758005157611
39,0,0.7918876894520573,0.7149558864090849,0.48194850853282034,0.25356289833767054,0.15936107324600599,0.10886818758425293,0.06930778886007152
40,0,0.7948052827675186,0.7243785296508323,0.49651800256351797,0.26109434374452284,0.16377433625853763,0.11161027662612832,0.07102222781053981
41,0,0.7965405070273673,0.7334643596093403,0.5103447454252983,0.26866287268512834,0.16822465489929658,0.11435309635960897,0.07273088101644595
42,0,0.7971043678194268,0.7421856118509129,0.5264617415096573,0.27629781788974844,0.17271379679475415,0.11709700054657729,0.07443726936735773
43,0,0.7959509547215963,0.7506458187943726,0.5391438473581671,0.2839428518796235,0.17724355811580475,0.11984235588830573,0.07614831508821142
44,0,0.7926543888399743,0.7588081151581352,0.5543078077736233,0.29172779166761503,0.18181573804779924,0.12258954209605534,0.0778551601967745
45,0,0.7866280534946422,0.7666261059409436,0.5687871729421468,0.2994017237253589,0.18643217558417882,0.12533895195827666,0.0795577469713832
46,0,0.7771108314833968,0.7742194161002749,0.5826152875724648,0.30741393865169125,0.19109472568460548,0.1280909914006917,0.0812560235595265
47,0,0.762694501515183,0.7815482943554195,0.5959949773649262,0.31545046843217783,0.195805265036049,0.1308460795402068,0.08294994412726145
48,0,0.7386074327573269,0.7886104300744374,0.6089501456424911,0.32345399045006024,0.2005656920753215,0.13360464872973996,0.08463946899600297
49,0,0.7037145924826177,0.7953656474243768,0.6216473804645078,0.33142186156655135,0.2053779270409216,0.13636714460716326,0.08632456476740646
50,0,0.6508251904319818,0.8019816197274869,0.6338605014524381,0.3393723782226097,0.21021904849861728,0.1391340261284899,0.0880052044369978
51,0,0.5622018277588451,0.8083853265922788,0.6456911493964557,0.34729369595614706,0.21513681875454188,0.14190576559650803,0.08968136749715448
52,0,0.4049995840278533,0.8144596000980043,0.6572439091767288,0.3552772699266601,0.22009229412226228,0.14468284868392567,0.0913531742173832
53,0,0.08837551072247038,0.8203320884263979,0.6686056207632295,0.36331494893927707,0.2251048228201886,0.14746577445118284,0.09302153227251814
54,0,0,0.8258651777509539,0.6797702347266629,0.37137052575012963,0.23007682225610326,0.15025505535853545,0.09468609034708858
55,0,0,0.8312823930012548,0.6907806075977757,0.37949808657499595,0.2352006527880559,0.1530620186723482,0.09634688716811196
56,0,0,0.8365535321118102,0.7017308146291337,0.38771752908800333,0.2402854649967152,0.1558791669849843,0.09800396826499846
57,0,0,0.8415816823390047,0.712588572246341,0.39598469549272675,0.2453513546007035,0.1587061533555551,0.09965738604394188
58,0,0,0.8463693115001096,0.7234421984622856,0.4042443825624846,0.25042321525244293,0.16154361700980763,0.10130719985280207
59,0,0,0.8509771575257349,0.7342647578226339,0.4125983142661843,0.2554839833730306,0.16439289753465314,0.10295347603634707
60,0,0,0.8553651600205043,0.7390338678983579,0.421036455898376,0.26060486235487484,0.16726507623296347,0.10459628798535595
61,0,0,0.8594871644584564,0.7493042686108075,0.4295518123093213,0.2657667037662044,0.17015173137084297,0.10623571617367714
62,0,0,0.8634866882319537,0.759162514050924,0.43813558880650805,0.2708624221131618,0.1730536260400209,0.10787184818961475
63,0,0,0.867170147326952,0.7683941675660236,0.44684734851463165,0.2760496202304926,0.17597801819071587,0.10950477875911097
64,0,0,0.8707167699164406,0.7769365655778337,0.45568623473421627,0.28128545761944207,0.17892429677480043,0.11113610368173413
65,0,0,0.874073017343194,0.7849912336172392,0.4646604174451926,0.2865275203768209,0.1818944628245329,0.11276671666443856
66,0,0,0.8770725106386554,0.7928767225203858,0.47376052272182534,0.29181072981457257,0.18489277219676856,0.11441008557146581
67,0,0,0.8797228163409183,0.8002939203367458,0.4829923269098228,0.2971583388387444,0.18792040791152564,0.11605526659642154
68,0,0,0.8820276116273827,0.8070872643322456,0.49236260826745887,0.3024885913979334,0.1909757278671079,0.11770097950915968
69,0,0,0.8826558129044926,0.8133331249910598,0.5018749371477498,0.30781082491223655,0.1940597535524206,0.11934745738072455
70,0,0,0.882567550922683,0.8191339416600457,0.5115379337814845,0.31315369147465044,0.19717350842562492,0.1209949397714724
71,0,0,0.8817096953296656,0.8245702872683947,0.521337622499651,0.31853168675282456,0.20031801785094724,0.12264367274220109
72,0,0,0.8794851751901055,0.8296859986279133,0.5309301763253779,0.3239717056588227,0.20349430902304652,0.12429390886484458
73,0,0,0.8764527472318472,0.8344846122003395,0.5412814810639995,0.32945799345983573,0.20670341091558847,0.1259459072260163
74,0,0,0.8724782848715066,0.8393315366959259,0.5516416751739021,0.3349799505945026,0.2099527452310382,0.1275999334039654
75,0,0,0.8674416605450453,0.8439381333026115,0.562020511504382,0.340384792369561,0.21324137785887964,0.12925625950033107
76,0,0,0.8611060157116157,0.8482835130658507,0.572497415340941,0.34596662226055963,0.2165692610887864,0.13091516409080123
77,0,0,0.8532132604272221,0.8523862934456043,0.5831155905146511,0.35159758487957843,0.21986047693131316,0.13257693221386138
78,0,0,0.8434481135919604,0.8563123699396276,0.5937749072930537,0.3572353946933057,0.22325417323593444,0.1342418553480589
79,0,0,0.831492470981565,0.8602092498703401,0.6035608985665218,0.3629222178510094,0.22668318106849056,0.13591023138315686
80,0,0,0.8169653293689144,0.863805585260147,0.6146173002495786,0.3687149293824911,0.2301444569994794,0.13758236458691442
81,0,0,0.7991619820728788,0.8672901279753659,0.625629312571681,0.3742479067046399,0.233638032707201,0.13925856556769864
82,0,0,0.777413276694776,0.8706573743099715,0.6365492024488102,0.3801897912646912,0.23717039016638405,0.14093915123313897
83,0,0,0.7502543865255559,0.8739135153523854,0.6475119292676244,0.3861221286019952,0.24075436324622895,0.14262444474502942
84,0,0,0.7158323774627059,0.877077492673293,0.6585705980630037,0.3919503235371173,0.24438405744502426,0.14431477510109625
85,0,0,0.6719444708566548,0.8801440376044756,0.6680816833534898,0.39772794744591194,0.2480453542550123,0.14601047859845753
86,0,0,0.6140185838421465,0.8830890774123608,0.6792097446156113,0.4035530753443066,0.2517415539679877,0.14771189645721
87,0,0,0.5360148918415323,0.885889799553534,0.6901790535189674,0.40935807775717503,0.25547530360777637,0.14941937633765623
88,0,0,0.4235468696365871,0.8886190969958297,0.7008983150039461,0.4151165840329435,0.25908593236328553,0.15113327187966505
89,0,0,0.2497140086479864,0.8912561408581616,0.711461099507536,0.42089194289354126,0.26289448078511335,0.1528539426392885
90,0,0,0,0.8937400289695902,0.7195922942410189,0.42667661969108694,0.2667346079944783,0.15458175402299787
91,0,0,0,0.896098572007226,0.7301221152484758,0.4324761152000594,0.2705312128169392,0.156317077219718
92,0,0,0,0.8983990581226318,0.7403686796540642,0.4383402186591325,0.27430966663652273,0.1580604988356204
93,0,0,0,0.9005890785484097,0.7502562789280118,0.44421073981191045,0.27809189889290675,0.1598201792854902
94,0,0,0,0.9026361422227615,0.7563117499699599,0.450047957819938,0.28185075896734435,0.16159023148139381
95,0,0,0,0.9045844187337084,0.7654281300515946,0.4559287772810556,0.28561750448107215,0.16337108004285916
96,0,0,0,0.9064470875514794,0.7742859596855024,0.46186889183005414,0.2894476297000298,0.16516315433603915
97,0,0,0,0.9082004412838363,0.782601715884369,0.4678397267629634,0.2932981679722182,0.16696688840839677
98,0,0,0,0.9097390879694275,0.790485503150794,0.4738584206386028,0.2971477795352659,0.16878272092224333
99,0,0,0,0.9111755291904672,0.7980705340653137,0.47995704774822706,0.3010159503067289,0.17061109508709518
100,0,0,0,0.9113118443376481,0.8054724084553081,0.48607959248414795,0.3047369408494048,0.17245245858973937
101,0,0,0,0.9115056184615166,0.8126363669382891,0.49227202100172485,0.3086669891384218,0.17431467839218712
102,0,0,0,0.9115444249423295,0.8195160571740479,0.49853808068448796,0.31263007023300643,0.17619338386835184
103,0,0,0,0.9113591226707171,0.8261744164006102,0.5048796634644127,0.3165996357441114,0.178088428295739
104,0,0,0,0.9109802033340063,0.8326899367802887,0.5113095948237253,0.32057557788855384,0.18000030192178001
105,0,0,0,0.9104009536561671,0.8391314043972552,0.5178167313139679,0.32460130798557146,0.18192949817312407
106,0,0,0,0.9096008679517419,0.8454479304826142,0.5244012285866854,0.32865727893776775,0.18387651359323987
107,0,0,0,0.9085071623652102,0.846638508007365,0.5310625722206724,0.3327335036324451,0.18584498147043368
108,0,0,0,0.9070999005982228,0.8524416465710544,0.5378128553986632,0.33684232034013817,0.18783846188932612
109,0,0,0,0.9055572973457686,0.8579903791999031,0.5446442834246782,0.34095532464250466,0.18985350018177996
110,0,0,0,0.9036428142982967,0.8632748640563852,0.551571987706654,0.34508061049903854,0.19189062344344313
111,0,0,0,0.9013441111954547,0.8680956605693021,0.5585887761121526,0.34923461523185473,0.19395036033912713
112,0,0,0,0.8987103640694138,0.8725258894683406,0.5657057995482749,0.3534134792772942,0.19603647928403128
113,0,0,0,0.8956867348147209,0.8766663302738908,0.5729195564033528,0.3576222812183691,0.19815398719973307
114,0,0,0,0.8921448934873125,0.8807046006804625,0.5796225915769676,0.36185779192299944,0.2002982646262497
115,0,0,0,0.8880868559420732,0.8844610270989482,0.587312748923761,0.36612801598580713,0.20246985538503084
116,0,0,0,0.8833899859719195,0.8878823689214795,0.5950059465869675,0.3704360342186825,0.2046770598211565
117,0,0,0,0.8780735413115939,0.8909398508339154,0.6026558170526655,0.37449788436013276,0.20692203295069334
118,0,0,0,0.871970397630566,0.8936868785100336,0.6102672375314965,0.3788680397701827,0.2091989839769429
119,0,0,0,0.8646967177007251,0.8962281096523136,0.6178875935392286,0.3832717825002267,0.21150845322848902
120,0,0,0,0.8561777744584776,0.8985858597632588,0.6256003601100052,0.3876964394239957,0.21385097928656904
121,0,0,0,0.8461897541104769,0.9007790640967555,0.6333098775472796,0.39212707721399004,0.21622709900238687
122,0,0,0,0.8344618290328668,0.9027893996718052,0.6410096704558197,0.3965817695214977,0.2186373474995122
123,0,0,0,0.8208015816307332,0.9049117277629071,0.6487210485215561,0.40106491520214405,0.22110458865330304
124,0,0,0,0.8047168654397954,0.9069333365419063,0.6564703511509414,0.4055917105640823,0.22361554570703052
125,0,0,0,0.7858891844938822,0.9088196300394319,0.6633185371594621,0.4098727041282632,0.22616571050224366
126,0,0,0,0.763244916324591,0.9105423480471796,0.6713463700174405,0.4146378163136852,0.22875557880636524
127,0,0,0,0.7360955821552165,0.9121723844620144,0.6793092350222654,0.41936209467327756,0.2313856436177504
128,0,0,0,0.7019409501217736,0.9137259252690761,0.687010356821045,0.4236963755648978,0.23373930687914388
129,0,0,0,0.6588565555350099,0.9152467794422274,0.6946198311409176,0.4279123440546272,0.23607755782720757
130,0,0,0,0.5982376937496126,0.9166226469857127,0.7021854752100803,0.43209090150210083,0.23844624067558887
131,0,0,0,0.5224288722957356,0.9179680605770139,0.7097951668978724,0.43627404026393657,0.24084580777284093
132,0,0,0,0.419567692675869,0.9192823573704321,0.7173707880008513,0.440404718435618,0.24327671592226338
133,0,0,0,0.2723911538916262,0.9205125051943899,0.7249406786178096,0.44450869630456374,0.24573942653775002
134,0,0,0,0.037342143379670796,0.9216627992258529,0.7308824860110975,0.4485982871270142,0.24789733773950398
135,0,0,0,0,0.9227742142469402,0.7384139434276772,0.4527330521206425,0.2503928156568001
136,0,0,0,0,0.9238031286056667,0.745844185579132,0.456883760260647,0.2529188781249328
137,0,0,0,0,0.9247878260055686,0.7531261307183967,0.4610251947038714,0.2554053480204347
138,0,0,0,0,0.9257248980203544,0.760273439124096,0.4651528305699929,0.257867231748559
139,0,0,0,0,0.9266336776165638,0.7673404333929361,0.46928866034609695,0.26031290047650807
140,0,0,0,0,0.9274731188886266,0.7744893168770808,0.4734787522021422,0.2627572849740881
141,0,0,0,0,0.9282668515188288,0.7793062749982157,0.4776729859505961,0.2652062770845259
142,0,0,0,0,0.9290014506795841,0.7864226596638899,0.4818654134055505,0.26764105079849654
143,0,0,0,0,0.9296520913928333,0.7933279803102499,0.4860609502058094,0.27007805960378906
144,0,0,0,0,0.9302646715333852,0.8000348410724726,0.4902567430671235,0.27220263311716536
145,0,0,0,0,0.9308120348854325,0.8065451481141561,0.49451189448902333,0.2746720288133746
146,0,0,0,0,0.931262210577642,0.8128757952390099,0.4987920544023711,0.27716739290772346
147,0,0,0,0,0.9316170076138645,0.8190563106860247,0.5030869070401855,0.2796799435629281
148,0,0,0,0,0.9319242349859675,0.821981950118352,0.5074304280526533,0.2821826618754611
149,0,0,0,0,0.931002197183655,0.8279991814589251,0.5118101925510883,0.28469461632222587
150,0,0,0,0,0.9302837911134064,0.8337975524783535,0.5162182505286222,0.28722555421040274
151,0,0,0,0,0.9294104608670399,0.8392663016799796,0.5206526104349731,0.2897779912104515
152,0,0,0,0,0.9284658007009963,0.844383168174941,0.5251452018263246,0.2923430113436638
153,0,0,0,0,0.927411556088708,0.8491842528851264,0.5295348216259286,0.294938997440365
154,0,0,0,0,0.9261775023841835,0.8538284253648204,0.5337338512291454,0.29759798081571265
155,0,0,0,0,0.9248259130378108,0.8583639053754205,0.5379730579949448,0.3002698252790466
156,0,0,0,0,0.9233415321563997,0.8628592351435019,0.5422568646500775,0.30280567363064576
157,0,0,0,0,0.9216414884809297,0.867237144420294,0.5465887745758016,0.3050863981095662
158,0,0,0,0,0.9197493491480481,0.8714494333932484,0.55097142821929,0.3073785480010385
159,0,0,0,0,0.9176697435333239,0.8755819528079456,0.5553866437257666,0.3096828679600551
160,0,0,0,0,0.9153733420534075,0.8796572488470671,0.5598461482101632,0.3120384786331293
161,0,0,0,0,0.9128194759988777,0.8836233295624852,0.5643621768027511,0.3144157733278282
162,0,0,0,0,0.9099938354570146,0.8831748679981137,0.5689342197951187,0.31678541057039367
163,0,0,0,0,0.9068876171653922,0.8867665987167516,0.573549823359142,0.31916051309215154
164,0,0,0,0,0.9035467919308708,0.8901680131187617,0.5782127076612968,0.321541967116437
