C,eta(B=10°),eta(B=20°),eta(B=30°),eta(B=40°),eta(B=50°),eta(B=60°),eta(B=70°),eta(B=80°)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.049446564662394756,0.033493532371722104,0.01571346293121958,0.0085255459101839,0.005760957705608916,0.004131956949651053,0.0028207499724311595,0.0015703511854271621
2,0.09707121586025405,0.066231933219531,0.03153524340696013,0.01709686858987749,0.011523356566652302,0.008260316443890928,0.005642102100523444,0.0031464395768381675
3,0.1428699081061355,0.09820417594202903,0.04737501381464133,0.02571215121242931,0.017288398462773105,0.012384931166613784,0.008463915014118332,0.004728356292377752
4,0.18683308036776183,0.12933038924694767,0.06348516767623803,0.0343703818981741,0.023059075887598722,0.016506472329208953,0.011286032766614268,0.006316169109344393
5,0.22911072765277943,0.15960476560876213,0.0796918451877903,0.043066366059985324,0.02883506110224823,0.020625963262807454,0.014108285550159536,0.007909921692705808
6,0.26965923746995185,0.18906559638041934,0.09600175076984145,0.051794800673936346,0.03461724334186028,0.024742461897853864,0.016930490510693348,0.009509633144361412
7,0.3083833901611827,0.21774425539797862,0.1124077977817582,0.06055502450706105,0.04040656185904324,0.028855906499678875,0.019752452635263627,0.01111529786353851
8,0.34519452987056226,0.24565756514920675,0.12902649640660968,0.069349212298339,0.04620400912855945,0.03296624248043876,0.02257396568483332,0.012726885699109933
9,0.38024330648283844,0.2727683368140214,0.1456831833178709,0.07817669259948803,0.05201063384142658,0.037076309908764635,0.02539481314801468,0.014344342367027701
10,0.4135007563086019,0.29911805781373824,0.1623256413953224,0.08712439137675002,0.057827543594104074,0.04118651923839768,0.028214769194484134,0.015967590100722337
11,0.4447851368998602,0.32476333466524837,0.17901553843903556,0.09614211820404088,0.06365590728827818,0.045295228711086974,0.03103359961081535,0.017596528499239983
12,0.474159463663449,0.349671876877302,0.1952343990392981,0.10519314346921722,0.06949695708821985,0.04940256839267647,0.03385106270571064,0.01923103553690411
13,0.501492393036714,0.3740664369273621,0.21231207862481405,0.1142875096186702,0.07535199010257826,0.05351412601668958,0.03666758703008839,0.020870968699081466
14,0.5268743506540414,0.3978017986041204,0.22938584104927343,0.1234888783026583,0.08122237173431295,0.05762794192215305,0.03948652828407294,0.022516166210808975
15,0.5500668798800934,0.4206346361515816,0.2464031519808108,0.13266594449026425,0.087109528398661,0.061742516890204394,0.04230626451128261,0.024166448328178627
16,0.5694028431816228,0.44275743790386013,0.2633672921698441,0.14176195705316463,0.0930149594448521,0.06585815251457502,0.045129095488537024,0.025821618666086166
17,0.5864676120044001,0.46410672258427205,0.28036412346258655,0.1508508716136478,0.09894023019235172,0.0699751754013696,0.04795190538213196,0.027481465539880456
18,0.5995814263927034,0.4848515544888047,0.2973905848898053,0.15993430101780895,0.10488697349417006,0.07409393769976577,0.0507746168278752,0.029145763302336748
19,0.6078100677109701,0.5049317714425056,0.3144359471757898,0.1690261931993567,0.11085688939038782,0.07821481800333799,0.05359715389551512,0.030814273661020294
20,0.6110907018812033,0.5243611419904342,0.33154930241584524,0.17815261638185872,0.11685174457891458,0.0823382220639527,0.05641944332285352,0.032486746964388594
21,0.6079421259935516,0.5432370147962167,0.34729345562687475,0.18750361364971468,0.12295608857890433,0.0864704680700189,0.05924141562660652,0.03416292344783635
22,0.5962402284451838,0.5615268481684401,0.3647484213549704,0.19697553754727887,0.12917791295814698,0.09061299716897392,0.06206300609353808,0.03584254492840098
23,0.5726494991048681,0.5789918158706913,0.3820739442947976,0.20640036024226635,0.13536044093628372,0.09476129739481151,0.06488784031758525,0.03753045174161149
24,0.5325588830423239,0.5958467454979476,0.39934285576916817,0.21579212777776824,0.1414930773027531,0.09891599260428843,0.06771968971336999,0.03922234743480402
25,0.46710606990563924,0.6118622440878856,0.41654063664455004,0.22523534830852474,0.14759357153088887,0.10307773619037679,0.0705525651126825,0.0409180144319022
26,0.36165440882796823,0.626970783478671,0.433540419586759,0.23463127310323528,0.15363858047662313,0.1072472109319761,0.07338651353117344,0.04261723148506265
27,0.1813305472442738,0.6412613035589174,0.4504311039973638,0.24401900825769007,0.15965314066628136,0.11142512879217721,0.0762215908918972,0.04431977332476809
28,0,0.6550787653956807,0.46721493740535264,0.2533767004761407,0.16565655156389847,0.11561223067987332,0.07905786241460859,0.04602541804665725
29,0,0.6683645695819679,0.4839267990528344,0.2627377379935276,0.1716550013081981,0.11981778983049277,0.08189540296378238,0.047733938304519476
30,0,0.6806908983131706,0.49806479799493525,0.2721065395324658,0.1776863377002895,0.12414093497943317,0.0847342973416575,0.04944510888165826
31,0,0.6923820646437159,0.515060769480998,0.28146673526474913,0.18371016764615689,0.12844781774172712,0.08757464053631238,0.05115870572460201
32,0,0.703260765932685,0.5316618120028878,0.2908181032870331,0.18970846934460794,0.1327038644554158,0.09041653792951236,0.05287860027568681
33,0,0.7130359518829944,0.5478621853357114,0.30084503216619496,0.19572121248994723,0.13691494679772462,0.09326010546841826,0.05460591461264322
34,0,0.7218749196531095,0.563817387879131,0.31089319914142416,0.2017451386888297,0.14110170581369258,0.09611094374611016,0.05633631575915908
35,0,0.7290219123179899,0.5793697850025236,0.32087827540526664,0.2080068309161881,0.14529294140554277,0.09897652356306967,0.05806965339451259
36,0,0.7358492470301583,0.5944667495203255,0.3308234651496876,0.21439279612475917,0.1494716262632847,0.10184618727462098,0.05980578095991948
37,0,0.7418923181479605,0.6092571089164428,0.3407732555046833,0.2207691619756779,0.1536625294323332,0.10472017733583935,0.061544556106704965
38,0,0.7476987169253485,0.6237977568924772,0.3506424426220721,0.22711652510269717,0.15785930314591798,0.10759874739023871,0.06328584108551434
39,0,0.7524995032605543,0.6328136375007236,0.3603139249595316,0.23342879745615402,0.162063030387685,0.11048216199079045,0.06502950308446143
40,0,0.7560255534579554,0.647309680144888,0.36988399543682515,0.23968214933761672,0.1662862062512069,0.1133706966001608,0.06677541454977363
41,0,0.7580567688537132,0.6609047283693719,0.3794787446230247,0.24586856180163005,0.17051298594820022,0.11626463757749543,0.06852345344170364
42,0,0.7586995257107417,0.6737750221351422,0.38901854418500065,0.2520068141170795,0.1750075905897326,0.11923229875180962,0.07027350346084064
43,0,0.7578994392812071,0.6859371047843098,0.39810943538605403,0.2581198105285439,0.17946011809343948,0.12223319802708633,0.07202545424031707
44,0,0.7553748264027953,0.6977992515491144,0.4086759053702945,0.2641751562986395,0.18388318835975545,0.12521163998217538,0.07377920150659914
45,0,0.7509788727276453,0.7091726068123139,0.4192006090652677,0.27019458428822424,0.18824838155609372,0.12815838318004977,0.07553464721136206
46,0,0.7450361503496463,0.719692681012008,0.429670926755914,0.2763412068608042,0.19251742246852588,0.13107692563548617,0.07729175786601275
47,0,0.7371880205171466,0.7295483554657473,0.44017068514201035,0.2824504362972546,0.19673738982062383,0.13396839072764266,0.07906550257087738
48,0,0.7261428110784068,0.7388204668652529,0.4507210494379762,0.2885854241611465,0.20092640136103682,0.1368406466767529,0.08084234699284867
49,0,0.7112728840958478,0.7471500884326715,0.4611588972712493,0.29464455612662643,0.20510495665613523,0.13969996071062551,0.0826222729597539
50,0,0.6916685218055706,0.7546886050341371,0.4712312442096724,0.3014556919381277,0.20928490115261367,0.14257153315989374,0.0844052684481686
51,0,0.6658188500436881,0.7611524762883376,0.481115970457536,0.3081742688818826,0.21349888090155786,0.14542549172326932,0.08619132760123112
52,0,0.6325453651367865,0.7674688655406038,0.49095191929395066,0.31487882067369066,0.21767931100968507,0.14827487556679667,0.0879804507685002
53,0,0.5904254091783179,0.7729307323363365,0.5006747602648988,0.32151704929636804,0.22183856890457568,0.15113208287780952,0.08977264451758164
54,0,0.536344044915285,0.7780164850558601,0.5092818712040309,0.3281164049914007,0.22600957940601277,0.15398009615562155,0.09156792164360447
55,0,0.466144260614383,0.7828692587418349,0.5198887546748373,0.3346514107552156,0.23020407405817667,0.15683801301176264,0.0933663011586087
56,0,0.37417925536777663,0.7870621281127741,0.5302141821177899,0.34105650462270837,0.23439442562558344,0.1597020577121746,0.09516780826465629
57,0,0.23566517401984136,0.7909019122711493,0.5403468715920372,0.34740208535906303,0.23862298748937644,0.16258646208274766,0.09697247431566831
58,0,0.029992438885956093,0.7941040423346062,0.5503641803062991,0.3537272379266857,0.24285532304411797,0.16548672648586008,0.09878033676742726
59,0,0,0.7968262610673966,0.5603168934702398,0.36005913819954394,0.24711411599701383,0.16838949041256623,0.10059143911670565
60,0,0,0.7990375389291187,0.5702061314349833,0.3663657337758074,0.2513954218845549,0.17130021792827876,0.10240583083043976
61,0,0,0.80083356306383,0.580173764978116,0.3726670512578694,0.25613721262987177,0.1742321205153949,0.10417774656832048
62,0,0,0.802363883613428,0.5897973167064164,0.3789734824966727,0.26079928034923877,0.1771708967243901,0.10614475010711504
63,0,0,0.8036043308481805,0.5991985958894389,0.38542395753330677,0.2654443381296211,0.18011747708780437,0.10809378489543027
64,0,0,0.80398364384594,0.6085681982600849,0.39165000396123373,0.2700357123724158,0.18307467394687385,0.11002606642993615
65,0,0,0.8043417369538886,0.6158380476565087,0.39871529819067447,0.2745823321297759,0.1861707236607506,0.11194669028748055
66,0,0,0.804106914499887,0.626394910841167,0.40566868990841803,0.2790203699835064,0.18939342823055336,0.11385547721855492
67,0,0,0.8028998605413779,0.6364725663228494,0.41257552431815986,0.28339287192589097,0.19259257172714453,0.11573633494845714
68,0,0,0.8010809949151985,0.6463051457096319,0.41944027425108243,0.2877223381797996,0.1957417070913346,0.11759169243916087
69,0,0,0.7984933308152422,0.6559268714694318,0.4262237953060861,0.2920289593364909,0.19886750228909977,0.11942244887901371
70,0,0,0.7949228856417416,0.6654778853905304,0.4330175868249774,0.296264333949509,0.20193682379176386,0.12123362038645867
71,0,0,0.7902022635275906,0.6746562157286718,0.43969850501682567,0.30046332528221587,0.20495735574532514,0.12303333420770507
72,0,0,0.7842469293281206,0.6835368567725,0.4462402375848659,0.30466859513043326,0.2079228831045264,0.12482496860004698
73,0,0,0.7777035671269319,0.6921704010761497,0.45269745205036527,0.30889710777061113,0.21085073286668818,0.12660479651835144
74,0,0,0.770126939098436,0.7007884749159943,0.4591594739989753,0.313188190045058,0.21377036013719591,0.12837809143741855
75,0,0,0.760791150868424,0.7088973951086995,0.46559312118079227,0.3174454529561634,0.21667618974855532,0.1301456866603396
76,0,0,0.7496970072484037,0.7134055002095447,0.4720008063587302,0.32172257718464353,0.2195687494111144,0.13191385976444914
77,0,0,0.736943858136399,0.7220717645633861,0.47808499279190214,0.32603196239726406,0.22246231701355226,0.13372485706148618
78,0,0,0.7226204072453987,0.729368322744857,0.4843248304650274,0.3304152029759954,0.22535740877963367,0.1355176932051873
79,0,0,0.7041575915409136,0.736865681490236,0.49037798245999403,0.33480482173967724,0.22832231515894244,0.13730475997076427
80,0,0,0.684694475978506,0.7442568345195326,0.49773074700084524,0.3392768257406849,0.23124852695521594,0.13909243630397244
81,0,0,0.6626899860072105,0.7511872661068096,0.5049656737956864,0.34435818109522254,0.23416622055381012,0.1408817188187889
82,0,0,0.6368244375712074,0.7577930941784294,0.511983948940454,0.3493599929387334,0.23709148007773434,0.14267451578568016
83,0,0,0.6065023233599117,0.764079182786927,0.5189032006346243,0.3542788022483712,0.24002573274208683,0.14448294541346776
84,0,0,0.5717447744840206,0.7702001810781594,0.5257397007668067,0.3591508085266896,0.24299793826720323,0.14627851401827974
85,0,0,0.5312971628301857,0.7757578901727212,0.5325463992858741,0.36402939191063444,0.24595755473436845,0.14807513797316585
86,0,0,0.48283497381362456,0.7808210087858104,0.5391800922142633,0.36882567950708656,0.2489223174746681,0.14987511087478594
87,0,0,0.4237650812650481,0.7858323265377115,0.5454301868148839,0.37349029409097384,0.25190603449293164,0.15168927219609035
88,0,0,0.3511482560998536,0.7859580624951502,0.5515079654774695,0.3780577352694487,0.2549202868589694,0.15350585286125873
89,0,0,0.26097247083136693,0.790874344334264,0.5574929579094805,0.38254612997268017,0.2579201765086251,0.15531994446100894
90,0,0,0.14759181812679048,0.7950090680698609,0.563412940442355,0.3870497145922257,0.2609368191865488,0.15713803872962503
91,0,0,0.0007593880975712425,0.7986296713610642,0.5692082327230116,0.3915100133651994,0.2639793935393532,0.15895857894640175
92,0,0,0,0.8017083936451708,0.5749625552315079,0.3959475329775644,0.26715863839360793,0.16081162662443646
93,0,0,0,0.8043859479402571,0.5807593510887517,0.400357432464932,0.2707033260771423,0.16268027444747896
94,0,0,0,0.806740182398988,0.5860208863379233,0.40476624390115,0.27419276541359267,0.16455654845335912
95,0,0,0,0.8085174648457755,0.5929666260946926,0.40918306574395136,0.2776443225716567,0.1664351845992393
96,0,0,0,0.8097732401146501,0.5997418172036404,0.41362162086007975,0.2810655356566729,0.16832265085691003
97,0,0,0,0.8100812166078205,0.6063774935946015,0.4182341263674885,0.28445359378861507,0.17021886687531582
98,0,0,0,0.809663198990492,0.6132125379452058,0.42271006650971465,0.2878594438479053,0.17212369891849735
99,0,0,0,0.8086401783349735,0.6198938357157859,0.42712383451906183,0.2911426518335362,0.17403685821980702
100,0,0,0,0.8072527635318895,0.626450611254882,0.43149821193249127,0.2943287509372032,0.17602431565215867
101,0,0,0,0.8047442391356143,0.6329144207319054,0.43668947777810535,0.29745558210728656,0.1782292823088991
102,0,0,0,0.8013931278747085,0.6391557963557182,0.4418063791811773,0.300524886230565,0.18040371859996382
103,0,0,0,0.7973681646526758,0.645148393707467,0.44691234220756876,0.30356052400244865,0.182558332622447
104,0,0,0,0.7927337140972379,0.6510635094479392,0.4518993402736149,0.3065777642935224,0.1846940393789287
105,0,0,0,0.7873615057315193,0.656768511858925,0.4568027152319451,0.30958770715615175,0.18681752973707705
106,0,0,0,0.781097314287412,0.6623328000502252,0.4617018788413259,0.31259430126027576,0.18891941480493907
107,0,0,0,0.7740317512153396,0.66782452851586,0.4665953543341122,0.3155748742038388,0.19102444244865288
108,0,0,0,0.7664693277016862,0.6732802428421731,0.4713109304316656,0.3185392096087234,0.19310357355637411
109,0,0,0,0.7577816668847478,0.6775075858076829,0.4759808450619968,0.32148337571604596,0.19515118112323177
110,0,0,0,0.7480517346998358,0.6838255312804883,0.480589143578551,0.3244067872763591,0.19717002337830472
111,0,0,0,0.7375736103701236,0.6898427894795337,0.48520496327182966,0.3274309596563947,0.19915900326113536
112,0,0,0,0.7259256489102055,0.6956438560941688,0.4897815208713785,0.3304598873090622,0.2011204441370988
113,0,0,0,0.7140264647678538,0.7013977863076728,0.4943127026623639,0.33345579327348407,0.2030677098140875
114,0,0,0,0.6986546054699281,0.7069654710440757,0.4988464548061019,0.33646255240131345,0.20500130673863254
115,0,0,0,0.6831913113256822,0.712468949698157,0.5033698283019723,0.33948117713414283,0.20692024394568723
116,0,0,0,0.6659866143067013,0.7179061405720174,0.50786385406333,0.34251764356149117,0.20882284658622832
117,0,0,0,0.6468674380754907,0.723008523866014,0.51240363107609,0.3455685154631649,0.21072066685651747
118,0,0,0,0.6258814375600349,0.727768427489391,0.5170078752164875,0.3486976630805955,0.21260544853997124
119,0,0,0,0.6032294760275494,0.7321515694016264,0.5215937342790897,0.35154873566673717,0.21447069586540254
120,0,0,0,0.5782913073487598,0.7364655949010155,0.5259816972144801,0.3553866786687957,0.2163406417173904
121,0,0,0,0.5508542948650039,0.7405135779634912,0.5316839446077203,0.3591184814429153,0.21821591832891052
122,0,0,0,0.5207778487101361,0.7443542025513507,0.5371399975552006,0.36281950068414853,0.22008903962981982
123,0,0,0,0.4854988628777184,0.748161797590015,0.5424754917415531,0.36652115882249875,0.22196789765550323
124,0,0,0,0.4447283335349212,0.7493687293872648,0.5477228828785685,0.3702046421544715,0.22385446550453608
125,0,0,0,0.3972664107252843,0.7526168543022959,0.5529027214144485,0.3738299889260436,0.22581946113688103
126,0,0,0,0.3418544186719311,0.7566862936801186,0.5580148601716718,0.3774234022458712,0.22778225068220434
127,0,0,0,0.27951455359209604,0.7605148998931475,0.5631376487829864,0.38100374246600055,0.22971826969877823
128,0,0,0,0.20794367940924674,0.7641695195544318,0.5681114075313535,0.38450225909437474,0.23165105388794915
129,0,0,0,0.1208812347093991,0.7675303586496962,0.5728345030079707,0.3879625206821066,0.23358901022062667
130,0,0,0,0.014864524197227525,0.7706878605903033,0.5773650952240053,0.39136468540747266,0.23553309920394808
131,0,0,0,0,0.773470237623194,0.5817643139749649,0.3947037158345703,0.2374902392809454
132,0,0,0,0,0.7760215959598117,0.5861354441108837,0.3979805325948109,0.2394614388672363
133,0,0,0,0,0.7787792752891914,0.5904344930270581,0.4012124966333261,0.2414423756340774
134,0,0,0,0,0.7810602733147186,0.5946603759982868,0.4044274332793291,0.24343988895471025
135,0,0,0,0,0.7826195046019475,0.5988310200575179,0.40763456244353474,0.2454832073524628
136,0,0,0,0,0.7837857262435325,0.6029670569038164,0.4108405513336317,0.2475411456213814
137,0,0,0,0,0.784644317102206,0.6071258992651425,0.4140767081526811,0.2495650016207841
138,0,0,0,0,0.7851404201436029,0.6113126082027923,0.4173155143348172,0.25160049313505084
139,0,0,0,0,0.7812058865621756,0.6155125122524758,0.42053594323680743,0.25364954868820144
140,0,0,0,0,0.7827728934357356,0.6187140600534029,0.4237618899254963,0.2556136135397976
141,0,0,0,0,0.7839968713766784,0.6239522271197455,0.42699121604965734,0.25812551343647777
142,0,0,0,0,0.7847637206689912,0.6289822984295677,0.4302352555632496,0.26059546842523706
143,0,0,0,0,0.7849965345181652,0.6339205736988115,0.4334999296166627,0.2630669825350169
144,0,0,0,0,0.7847821249753493,0.6390252058008964,0.43693481565285575,0.26552073557140143
145,0,0,0,0,0.7841747851203594,0.6429641159946704,0.4403296516978962,0.26792703428881454
146,0,0,0,0,0.783264198757098,0.6477927045327015,0.4437001223112003,0.27032984344090055
147,0,0,0,0,0.7820913643220018,0.6524456195726083,0.4468132094498517,0.27272547424283783
148,0,0,0,0,0.7803255407111584,0.6570233676460544,0.4509314221550709,0.27508964668328867
