t,x,C,a,Fd,T,W
0,7.052535832101743,7.052535832101743,7.052535832101743,9.887416351948511,7838.202189984883,1935056.4474145733
1,21.075984631318157,14.023448799216414,6.97091296711467,39.09325982990662,7776.806653327191,1927494.0814138658
2,41.98892527618523,20.912940644867064,6.889491845650651,86.94055921498547,7734.276507887208,1923777.1768931337
3,69.79056915801955,27.801643881834327,6.888703236967263,153.6502148004427,7800.110807834105,1942184.4022754743
4,104.52217086774792,34.73160170972837,6.929957827894049,239.79594990685828,7932.0491388692535,1969573.5138489534
5,146.30453558974875,41.78236472200083,7.050763012272454,347.03897432976333,8173.385917952188,2014731.5292012594
6,195.314744426119,49.01020883637023,7.2278441143694065,477.4911490857857,8500.398116035827,2068128.4041401038
7,251.78569190515296,56.47094747903397,7.460738642663732,633.9315528284517,8915.351446185194,2126996.636979105
8,316.0146177926758,64.22892588752282,7.757978408488846,820.0749349961973,9431.430968418816,2194772.8309102445
9,388.29786591346107,72.28324812078527,8.054322233262452,1038.6459672324781,9978.9436461538,2268914.318509782
10,468.93545651440786,80.63759060094681,8.354342480161534,1292.6093866207368,10565.92953960004,2346196.6738384413
11,558.2466310113789,89.311174496971,8.673583896024203,1585.637181178302,11213.315305765169,2428011.2460558526
12,656.5804166308437,98.33378561946483,9.022611122493828,1922.1963012237147,11937.294647191864,2522258.8522035875
13,764.2133667327495,107.63295010190573,9.299164482440906,2302.9404476959935,12625.0130232054,2608711.858284464
14,881.4365748793566,117.2232081466071,9.590258044701365,2731.6146010772213,13376.801030695737,2689550.2321372186
15,1008.6908630593043,127.25428817994771,10.031080033340597,3219.11929812863,14353.618135136692,2784106.47142402
16,1146.538368872478,137.84750581317363,10.593217633225906,3777.3745032617526,15535.84607614251,2901838.489637743
17,1295.4371045496678,148.89873567718973,11.051229864016122,4407.316504813692,16674.181653871587,3027577.2949060136
18,1455.7999587540874,160.3628542044196,11.46411852722985,5112.105105944435,17837.27667116957,3210014.9167326624
19,1627.479544307936,171.67958555384868,11.316731349429098,5859.081404774994,18420.653202641293,3352627.175646123
20,1809.82666477426,182.34712046632396,10.667534912475288,6609.826177176268,18450.78993002384,3478934.936779637
21,2001.3705355797322,191.54387080547212,9.19675033914817,7293.378270755768,17501.77114721024,3451927.958015028
22,2200.4103367654966,199.0398011857642,7.495930380292059,7875.3901486562645,16195.87287078045,3332256.190256969
23,2405.3908569966225,204.98052023112595,5.9407190453617575,8352.517642789679,14946.71578314123,3185448.8617685107
24,2614.9379667696353,209.54710977301278,4.566589541886826,8728.820642875447,13797.735034369824,3024785.144434301
25,2827.9495166314205,213.01154986178526,3.4644400887724767,9019.833570019156,12865.362068556606,2883400.920765311
26,3043.5749588373105,215.62544220589024,2.613892344104994,9242.558876392157,12143.9793783487,2768585.7763837287
27,3261.1764784877532,217.60151965044273,1.976077444552486,9412.740106205176,11606.186069658435,2680715.261966047
28,3480.2610598981933,219.0845814104399,1.4830617599971938,9541.48227646353,11187.680830060415,2610651.6500325482
29,3700.449595344182,220.1885354459886,1.1039540355486843,9637.882454648317,10863.271434107357,2554708.916453445
30,3921.454544424613,221.0049490804309,0.8164136344422864,9709.485510742687,10615.704644973624,2511081.1759561957
31,4143.061713509711,221.6071690850978,0.6022200046669061,9762.472677434656,10430.936882614922,2478192.516516957
32,4365.110699642652,222.04898613294185,0.4418170478440532,9801.438262390066,10291.855185496965,2453146.6905382606
33,4587.483663225647,222.37296358299565,0.3239774500537965,9830.060428828332,10189.675398388046,2434643.953016628
34,4810.094228648887,222.61056542323934,0.23760184024369402,9851.078165936042,10114.816208606542,2421031.208898374
35,5032.878968698843,222.78474004995596,0.1741746267166089,9866.499528340466,10059.833363995902,2410999.443219274
36,5255.79146008593,222.91249138708739,0.12775133713143455,9877.818255999295,10019.622240215187,2403650.217450494
37,5478.797670251956,223.0062101660257,0.09371877893833559,9886.125835919274,9990.153680540827,2398255.741096583
38,5701.872629292364,223.0749590404072,0.06874887438150033,9892.222211318824,9968.533461882289,2394293.731018951
39,5924.9980182491245,223.12538895676062,0.05042991635339907,9896.695329495624,9952.672536647897,2391384.856721042
40,6148.160398448432,223.16238019930717,0.036991242546552,9899.977084257695,9941.037363484367,2389249.7516619912
41,6371.349911833751,223.18951338531897,0.027133186011823462,9902.3846069723,9932.502443445424,2387682.8954796433
42,6594.559327195398,223.2094153616465,0.019901976327541027,9904.150691837109,9926.24188556068,2386533.215118695
43,6817.783340339183,223.22401314378578,0.01459778213927682,9905.446187025107,9921.649725199704,2385689.725615132
44,7041.018060637526,223.234720298343,0.010707154557212972,9906.396458327943,9918.28139988645,2385070.9275499643
45,7264.260634353866,223.2425737163406,0.007853417997573267,9907.09348646606,9915.810780443366,2384616.9924310576
46,7487.508968322196,223.2483339683293,0.005760251988713125,9907.604751770454,9913.998631477925,2384284.010473094
47,7710.761527253216,223.25255893101928,0.00422496268999509,9907.979757090954,9912.669465676849,2384039.7605248475
48,7934.017185053582,223.255657800366,0.0030988693467251167,9908.254815509055,9911.69456048392,2383860.601529173
49,8157.275115767483,223.2579307139015,0.0022729135354713254,9908.456563776881,9910.979497801254,2383729.189328451
50,8380.534713582805,223.25959781532222,0.0016671014207498924,9908.604540277734,9910.455022854767,2383632.800306815
51,8603.795534156741,223.2608205739353,0.001222758613063913,9908.713076393018,9910.070338453519,2383562.100919101
52,8827.057251579305,223.26171742256312,0.0008968486278234622,9908.792684033557,9909.78818601044,2383510.2446886622
53,9050.319626807142,223.2623752278375,0.0006578052743976628,9908.851073494749,9909.58123734933,2383472.209621405
54,9273.582484510627,223.2628577034853,0.00048247564778599504,9908.893900097317,9909.42944806636,2383444.3120798757
55,9496.845696091921,223.26321158129394,0.00035387780863603183,9908.925311864366,9909.318116231952,2383423.8501507365
56,9720.109167229277,223.26347113735585,0.00025955606190011067,9908.948351245626,9909.236458474335,2383408.842026623
57,9943.372828741214,223.2636615119372,0.00019037458134154624,9908.9652497798,9909.176565565089,2383397.8340966874
58,10166.636629885712,223.26380114449736,0.00013963256017280047,9908.977644225091,9909.132636366883,2383389.7601762316
59,10389.900533445407,223.26390355969494,0.00010241519757655297,9908.986735086492,9909.100415955802,2383383.838250483
60,10613.164512122768,223.2639786773616,7.511766664203998e-05,9908.993402891503,9909.076783501476,2383379.4947365886
