C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
0,3949.460641967582,8128.487271366986,9376.418608293114,7786.735301272739,6249.884062932585,5214.9448014134,4115.097879898568,2438.6355579600868
1,3884.9331095932594,8091.395104062093,9413.677732968083,7806.401001783166,6257.438193679485,5208.672739219412,4112.313818072839,2437.2982713941174
2,3819.161932547235,8050.252028137891,9448.768248426413,7826.724665990121,6266.0802432863475,5202.233850021666,4109.416197985223,2435.871724974903
3,3752.2484732903918,8006.5742742951725,9478.808571501924,7847.72542464245,6275.049995994192,5195.6280298931115,4106.404119104491,2434.3536072553698
4,3683.37690065815,7963.90413278891,9506.64166267013,7869.422852067723,6284.358494373775,5188.855457643273,4103.276843498691,2432.741668421546
5,3611.477873711653,7921.433632605497,9536.04633451438,7891.836980790012,6294.017008760954,5181.916613906619,4100.033816684998,2431.03373648586
6,3538.962298724232,7875.0969572110935,9577.673323920519,7914.988300002227,6304.037038544418,5174.812296435188,4096.674686324154,2429.2277325447853
7,3463.8680883918323,7830.452032376437,9609.262712964648,7938.897764926741,6314.43031195229,5167.543630991393,4093.199317981144,2427.3216844752255
8,3386.1813432117356,7784.436465360279,9645.35881457908,7963.587481135869,6325.208778617725,5160.11207744312,4089.607807331292,2425.313738545514
9,3307.171280301749,7734.465041154254,9671.885940934899,7989.078055764746,6336.384735179464,5152.519430883039,4085.9004883813304,2423.2021685490768
10,3226.950670197213,7683.348508608167,9700.411269482367,8015.392438375757,6347.970133433086,5144.767817810339,4082.077937481223,2420.9853822184914
11,3151.570780780375,7631.618881714765,9726.896406070497,8042.553425669316,6361.1918794779385,5136.8596876101465,4078.140973107033,2418.66192483157
12,3069.3434759134284,7576.19296046049,9744.545832633203,8070.584257497732,6375.4530889539,5128.797799732434,4074.0906515833262,2416.2304800664906
13,2981.4655618703287,7518.678377009841,9759.729860612204,8099.508608091625,6390.232402905552,5120.5852071004865,4069.92825907344,2413.689868289785
14,2892.4640742146307,7458.679821704572,9788.432494709908,8129.350577814418,6405.544630414068,5112.225236365584,4065.655300289955,2411.039042562181
15,2801.7565204925704,7395.949486678084,9812.554937595336,8160.134683690736,6421.404665937851,5103.721465670373,4061.273484462505,2408.277082718769
16,2710.4960804977454,7333.734573873059,9832.245676861754,8191.885854035413,6437.827501623226,5095.077700591901,4056.7847091460358,2405.403187921426
17,2616.184508263527,7276.28072264615,9846.522210573426,8224.629422776341,6455.459530845219,5086.297957350514,4052.1910424631956,2402.4166680946787
18,2528.027773790311,7212.399025200855,9860.2326475611,8258.391126105325,6474.448386914472,5081.841222946387,4047.494704355183,2399.316934645254
19,2431.767914337576,7143.107659243341,9872.57007487049,8293.409975087672,6494.108747499826,5078.057925635385,4042.69804737274,2396.1033468691885
20,2330.5728548929833,7071.959970633265,9879.105280705106,8329.771557926628,6514.7790923292905,5074.287467716744,4037.803537479866,2392.7757843926274
21,2226.8650727960016,6998.667954780947,9893.73643759238,8367.237937695805,6537.008903730381,5070.535702216932,4032.813735273721,2389.333754945928
22,2120.4718983000084,6923.0481578675335,9913.638736183586,8405.839883015056,6560.276886165836,5066.808514711513,4027.7312779510435,2385.7769807383547
23,2011.0919814545298,6836.508856701391,9923.508322986474,8445.608884759737,6584.373936176179,5063.111804720148,4022.558862278374,2382.1052396048185
24,1898.331340027321,6742.344674371093,9926.120671965862,8486.577148888407,6609.320721491359,5059.451448805127,4017.2992287545803,2378.318357480991
25,1783.8708133830642,6645.943476234668,9931.693750203829,8528.777588611605,6635.138048032377,5060.122809999578,4011.955147091489,2374.4162016984656
26,1666.2122822406939,6557.2160593070885,9935.027743177976,8572.243824960855,6661.84686443963,5061.165608110053,4006.529403083687,2370.3986751281122
27,1546.150058714498,6461.829713983078,9930.581570637622,8617.010186552121,6689.492720701778,5062.382462293045,4001.024786892234,2366.2657111674966
28,1421.2068342481682,6362.884755182669,9930.996819356295,8663.111712725213,6718.2986080470955,5063.780478856406,3995.444082729167,2362.017269542998
29,1296.1921893160522,6260.016624251716,9924.254032402328,8710.584159032454,6748.075911868527,5065.366680119216,3989.7900599000072,2357.6533328786695
30,1169.5911780421684,6150.934300542616,9911.799935805318,8759.464004845273,6778.8487399106,5067.147999349928,3984.0654651390837,2353.173903970901
31,1040.9296405996768,6030.3982458135915,9903.271120032048,8809.788462853101,6810.641553884746,5069.131278936541,3978.2730161566246,2348.5790037001557
32,910.3005519134379,5911.707429319529,9891.58357370797,8861.595490235095,6843.4791749851365,5074.433617128864,3972.4153963063295,2343.8686695072643
33,773.7166097013196,5790.125875912441,9877.39008187889,8914.923801297775,6877.386787153665,5080.805130427426,3966.4952502763854,2339.042954361252
34,634.6754954877061,5665.315000864361,9847.101847538563,8969.812881388534,6912.389943744073,5087.51060348874,3960.5151807049415,2334.1019261476467
35,495.69874334227103,5537.573853954508,9819.113088099064,9026.24989201241,6948.514578266583,5094.557892030705,3954.477745621956,2329.045667410049
36,353.5058099641783,5405.828240116634,9786.735840537787,9084.113969789576,6985.787754737723,5101.954746627777,3948.3854566224327,2323.87427538265
37,209.50537567137283,5272.15341399741,9765.457235235604,9143.6375097411,7024.234763691549,5109.708816680957,3942.240777680736,2318.5878622571463
38,57.10799877724195,5137.869227782864,9726.634570540133,9204.861793362648,7063.883401744269,5119.822001148902,3936.0461245213764,2313.186555633572
39,0,5006.652471479423,9677.455067770323,9267.535516453632,7104.761207666962,5131.579266663951,3929.803864468082,2307.670499110648
40,0,4871.0514498706225,9628.488454003838,9331.685107402758,7146.834992245696,5143.8375573008025,3923.516316699653,2302.0398529772297
41,0,4733.144167036179,9577.687163967581,9402.465705091337,7190.181598827479,5156.606118470826,3917.1857528478217,2296.2947949720915
42,0,4594.8567691457765,9516.646227861556,9485.031539682419,7234.740173620408,5169.900004843986,3910.814397879106,2290.435521084491
43,0,4455.879185086289,9455.131848825862,9568.06627503111,7280.565507346027,5185.793627651982,3904.4044312089172,2284.462246372736
44,0,4314.2757091752,9386.397013252481,9656.698680022386,7327.71863498588,5202.998464473908,3897.957988002321,2278.3752057822694
45,0,4173.12568789283,9314.947200586392,9755.626490288825,7376.225753902774,5220.896041603334,3891.477160621427,2272.174654948521
46,0,4031.991001899782,9249.965954981857,9848.431753546203,7426.113413872343,5240.302445967287,3884.9645364214443,2265.8608709731047
47,0,3894.411566185777,9175.212581895179,9944.728366181094,7477.408529680342,5262.140810779404,3878.4269295168783,2259.434153164781
48,0,3749.1392457413317,9097.327839207517,10045.4332281044,7530.138393706808,5285.97742453691,3871.861362620257,2252.89482373902
49,0,3600.650991557135,9016.447623054652,10147.855612690688,7584.330688474263,5310.763918030895,3865.269786809116,2246.246353454461
50,0,3450.4963160127945,8934.298009195316,10241.727337788207,7640.013499139898,5336.5160330414865,3858.654118962347,2239.4872575596933
51,0,3298.029162940467,8850.771473362789,10338.838475964525,7697.215325917765,5363.250808445468,3852.016243508043,2232.6173149820693
52,0,3142.667622248701,8761.502666272458,10437.523192533814,7755.96509638026,5390.985062842127,3845.358014158883,2225.6366586450804
53,0,2986.4529352504,8673.051221200356,10520.4396949369,7816.292177818285,5419.735770203451,3838.681255623804,2218.5457465528366
54,0,2828.130546507953,8582.689289902111,10619.005443324804,7878.226389342585,5449.520073060697,3831.987765289262,2211.345063007505
55,0,2668.713352218283,8491.448387678587,10734.898506528214,7941.7980139758165,5480.355295668039,3825.2793148619817,2204.035118983519
56,0,2506.583664207077,8395.123516293757,10838.34981113081,8007.037810736698,5512.258955929109,3818.488040084141,2196.616452463106
57,0,2341.9198842957126,8300.265592201764,10952.339844389237,8073.977026539556,5545.248777954263,3811.5360197171967,2189.089628725549
58,0,2171.9762910132254,8202.281359635997,11039.433199914156,8142.647408111475,5579.342704634339,3804.5816815866815,2181.455240606799
59,0,2000.9490513293915,8102.587373097539,11124.07429695338,8213.081213845766,5614.55890873236,3797.627567711488,2173.7139087261226
60,0,1832.611409834446,8002.316840037777,11198.655770676494,8285.311225622438,5650.915803975188,3790.6758253907287,2165.866281684514
61,0,1661.5156448269368,7899.019982228782,11248.363502161097,8359.37076060913,5688.432057256799,3783.728732667096,2157.9130362382207
62,0,1488.3970653742,7794.363639434802,11308.86545518205,8435.293683056892,5727.12659910932,3776.7885653867006,2149.8548774507026
63,0,1314.3088817792027,7689.107975327122,11346.587750990817,8513.11441610577,5767.018634361007,3769.8575978220083,2141.692538826253
64,0,1137.3377561087225,7581.383228791184,11384.068049487756,8592.867953615612,5808.127652551159,3762.938103320421,2133.4267824284298
65,0,960.046547393426,7469.861619568496,11423.067933151748,8674.589872037857,5850.473438116261,3756.0323549723917,2125.0583989863353
66,0,784.3124372627649,7358.68362843596,11442.3513671471,8758.316342344393,5894.0760803623625,3749.1426262940718,2116.5882079916337
67,0,609.7865259363905,7246.865686920281,11455.840089483045,8843.381063755205,5938.778491659865,3742.266911708747,2108.02284441036
68,0,439.32613293938573,7132.442516286651,11453.851994017188,8930.353174472139,5984.7279998113645,3737.664337797478,2099.358537611847
69,0,268.30535254846114,7016.281038087017,11444.002709839378,9019.349136244733,6031.964298498771,3736.600278910663,2090.5955108911016
70,0,96.18226487589354,6899.569952304844,11430.449006930441,9110.404320103848,6080.506934904928,3735.7183554103653,2081.7347127245657
71,0,0,6781.433480952393,11417.143916403666,9203.551580415104,6130.375781813746,3735.73011584171,2072.7771209336433
72,0,0,6661.566160780093,11408.14250353086,9298.827383214999,6181.591046213565,3739.798965422706,2063.723742781019
73,0,0,6526.256916709035,11395.470286791027,9396.123837367564,6234.173277791118,3744.189021344062,2054.575615074494
74,0,0,6381.611923687683,11370.697062252653,9494.192362265927,6288.143377332035,3748.905020398292,2045.3338042802825
75,0,0,6231.992340931939,11344.046335178844,9595.937302384169,6343.522605043827,3757.2602881071352,2035.9994066474771
76,0,0,6070.014702288901,11307.701288317518,9700.228444084274,6400.332588816968,3766.406409091732,2026.573548345427
77,0,0,5904.377571946433,11274.243950513808,9805.899488555662,6458.595332439819,3776.689207296434,2017.0573856155693
78,0,0,5734.669899125064,11235.895438944466,9913.760551434627,6518.333223782661,3789.4619267600538,2007.4521049392806
79,0,0,5559.722245695146,11190.16042873684,10023.244158092522,6579.5690429662845,3804.1257783146802,1997.7589232231016
80,0,0,5379.3062744002145,11139.3784875786,10135.009815389618,6642.326698038759,3821.5045096383333,1987.9790880027738
81,0,0,5198.522658129459,11093.275539803666,10247.802836544613,6706.628388164733,3839.9331180179984,1978.1138776673313
82,0,0,5007.92331791246,11039.114884162074,10362.321541180478,6772.453813125312,3859.2317362484687,1968.1646017045055
83,0,0,4810.921396971516,10980.061375933501,10480.416282960488,6839.774132818238,3879.411956931187,1958.1326009686568
84,0,0,4607.864260619279,10918.86649993035,10601.115620658653,6908.693925833773,3900.4856006848345,1948.0192479723357
85,0,0,4391.160263123463,10856.003260746851,10723.288527802755,6979.237378847722,3922.4647225916324,1937.8259472026473
86,0,0,4177.307786057515,10800.44096427858,10847.937727205815,7051.429096907264,3945.3613236201413,1927.5541354634356
87,0,0,3969.301737045129,10734.888410775813,10971.865019522724,7125.294111348963,3969.186462684006,1917.2052822444223
88,0,0,3765.78290999302,10660.051910383834,11099.162978093736,7200.85788775237,3993.9523566411963,1906.7810700121784
89,0,0,3568.206310337222,10583.073935780634,11220.437855105469,7278.146333993652,4019.671594994198,1896.2849179870482
90,0,0,3371.8485930351562,10504.137468964896,11368.159903060085,7357.185808412649,4046.357021032056,1885.2743381491841
91,0,0,3181.7794012721297,10418.981333594304,11525.92836651278,7438.003128086069,4074.0217379299215,1874.1572918731674
92,0,0,2992.0728511248576,10327.822922216325,11684.170957573619,7520.625577304908,4102.679114813569,1862.9669616764272
93,0,0,2804.189822828517,10234.513872045653,11856.625831892185,7605.08091614332,4132.342792807761,1851.7049684145486
94,0,0,2622.1819814889686,10139.270314842764,12012.914705663245,7691.397389198201,4163.026691075928,1840.372970581012
95,0,0,2446.1972556478268,10042.626798881738,12171.47371876687,7779.603734532668,4194.745012866475,1828.9726648320393
96,0,0,2280.2962472066965,9943.129572443848,12311.974607860655,7869.729192804402,4227.512251578944,1817.505786554281
97,0,0,2120.694858821075,9843.072710632492,12442.949073997454,7961.803516601942,4261.343196862392,1805.974110476585
98,0,0,1960.6831163536528,9742.5363122328,12560.731517580576,8055.856980002992,4296.2529407587335,1794.379451326527
99,0,0,1798.9493101287387,9641.391230537305,12667.006803887514,8151.920388369092,4332.256883903442,1782.7236645323226
100,0,0,1634.6492039253017,9540.076721478323,12774.432602713636,8250.025088391314,4369.370741796082,1771.008646970899
101,0,0,1467.9379347926117,9440.08581174227,12862.344625531985,8350.202978401936,4407.610551153042,1759.2363377629595
102,0,0,1298.8076694060828,9340.428304084424,12933.201853533117,8452.48651896747,4446.993101842196,1747.408719115906
103,0,0,1127.6665103790747,9241.06810131675,13058.287545996445,8556.90874377881,4487.534288345841,1735.527817215645
104,0,0,953.616864031999,9143.194985428627,13246.136897894807,8663.268794336727,4529.251533080542,1723.5957031682788
105,0,0,777.1964946865152,9045.096543616977,13365.024410389135,8771.653528001934,4572.162223578633,1711.4696512058676
106,0,0,598.6445536789647,8947.470274331292,13462.039409430696,8882.243819299061,4616.284102046257,1698.8784562567153
107,0,0,418.4973962909877,8849.920918775868,13553.311417811783,8995.073550317607,4661.635272472645,1686.2453251471754
108,0,0,237.12595574946198,8753.391222402073,13612.383808109606,9110.177195062914,4708.195368455233,1673.5725319915161
109,0,0,53.858866417465784,8655.93647868806,13662.193013148142,9227.589831669568,4755.99378304053,1660.8624056161323
110,0,0,0,8554.854820340948,13702.759513685267,9347.34715475326,4805.068270682903,1648.117330464762
111,0,0,0,8448.291864086395,13731.435622034,9469.485488170016,4855.437854631038,1635.341703563314
112,0,0,0,8338.232142838027,13755.475029830195,9594.04179820336,4907.121945072817,1622.5374023928205
113,0,0,0,8226.733289701759,13771.623297680822,9721.0537068573,4960.140347152727,1609.6726823179217
114,0,0,0,8111.3181924343135,13784.443455336484,9850.559506917998,5014.513269285596,1596.334042681532
115,0,0,0,7993.282733313552,13797.006256621604,9982.599233974408,5070.261331655169,1582.9882700187609
116,0,0,0,7872.460307618312,13802.87697625029,10117.210538406604,5127.405575031031,1569.6382717074657
117,0,0,0,7748.911385956034,13796.78227568544,10254.434788957467,5185.967469865958,1557.5871057123502
118,0,0,0,7622.623578938855,13789.704289952677,10394.313110833877,5245.968925700229,1548.6371759349208
119,0,0,0,7494.039734399775,13786.038614273672,10536.5477665366,5307.432300890811,1542.9540047565158
120,0,0,0,7361.97388056907,13796.41659994025,10681.214227089808,5370.380412683736,1539.786429298779
121,0,0,0,7227.446482109894,13823.751247120266,10828.617928093941,5434.8365476488825,1539.4207701046957
122,0,0,0,7072.543755212924,13837.290457194087,10978.801450821204,5500.824472497311,1539.725991867552
123,0,0,0,6866.335600540242,13831.33507106862,11131.808158242864,5568.282877915807,1540.6866704321042
124,0,0,0,6644.930421037193,13813.839670508307,11287.682214435272,5637.263610112686,1542.313763987517
125,0,0,0,6422.30613419136,13789.166716386397,11446.46860457887,5707.83709133918,1544.6185395769307
126,0,0,0,6209.471457007047,13760.02487983514,11608.213155773563,5780.028555507984,1547.61251103817
127,0,0,0,5996.634691231157,13726.676977189863,11772.96255867639,5853.863765211676,1551.3067493815295
128,0,0,0,5780.1776526386575,13691.72298006703,11940.764390084534,5929.36902499223,1555.7131609047685
129,0,0,0,5557.969489378216,13656.795118715876,12111.667136668264,6006.571195286885,1560.8441750656743
130,0,0,0,5339.631098629827,13634.146074083743,12285.72021927533,6085.497706654071,1566.7125682889227
131,0,0,0,5135.784054780465,13608.812006354548,12462.366086365395,6166.176574821795,1573.331472896447
132,0,0,0,4917.1665632019585,13580.784772403375,12637.589468509146,6248.636416317526,1580.7143863801773
133,0,0,0,4689.064871994826,13543.434153517555,12819.234295582373,6332.906464771362,1588.8751810371657
134,0,0,0,4456.351854189083,13500.450682896417,12998.261623516266,6418.9026031103995,1597.8281139880767
135,0,0,0,4225.125271965368,13457.015449704379,13183.74582074977,6506.70184050735,1607.5878376012643
136,0,0,0,4000.0490941035746,13417.924866159894,13366.074607730494,6596.390352727814,1618.16831337875
137,0,0,0,3798.9522262608652,13369.102872442138,13549.022854549103,6687.999597495092,1629.579026724643
138,0,0,0,3618.569408391058,13317.042385218348,13732.325565314282,6781.561733944391,1641.8415408455774
139,0,0,0,3465.269215767901,13258.065287807254,13897.16425763796,6877.110355341986,1654.9721206917416
140,0,0,0,3317.6965039595048,13193.414187659944,14091.578338902404,6974.6777312519935,1668.9874843093432
141,0,0,0,3170.734551360471,13126.953729187293,14288.321369658324,7074.298906212329,1683.904816205146
142,0,0,0,3022.402138574617,13058.131927047316,14505.144312035542,7176.009065721333,1699.741781297971
143,0,0,0,2870.6087527947434,12987.292975327784,14719.596506627391,7279.841210061193,1716.5164170020287
144,0,0,0,2716.5197130192178,12914.94510247812,14926.598172887534,7385.681964139783,1734.2413112184404
145,0,0,0,2559.773073709721,12841.874281000453,15132.643924780954,7493.714023757985,1752.9410782593718
146,0,0,0,2401.5157328905616,12766.662175064135,15336.170596766484,7603.975789503113,1772.6355990569473
147,0,0,0,2241.620262305646,12690.625657372291,15521.753157576599,7716.506589165612,1793.3451509460915
148,0,0,0,2079.3541436840164,12614.672231049448,15707.56305359504,7831.346709911503,1815.090589745853
149,0,0,0,1912.698575537,12538.710430147288,15881.228119742378,7948.5374321273575,1837.8933689904243
150,0,0,0,1742.8517117196868,12463.473015326304,16037.780261276313,8068.12106504569,1861.7755601059025
151,0,0,0,1569.883764781838,12388.313949829178,16205.060259903546,8190.140984266923,1886.7598735902752
152,0,0,0,1395.5358788333187,12315.212021354428,16355.218379672939,8314.641671303052,1912.8696812583773
153,0,0,0,1219.7788728411906,12242.990414486623,16458.9697202388,8441.668755278073,1940.1290396177653
154,0,0,0,1041.632161383374,12170.438402012325,16566.163821541944,8571.269056930836,1968.562714446276
155,0,0,0,861.8983889009977,12085.034621974417,16731.613647407707,8703.490635077913,1998.1962066472204
156,0,0,0,680.3051869598196,11999.670371657827,16907.805525951022,8837.60414326063,2029.0557794637377
157,0,0,0,497.56129375015234,11914.360020930248,17067.03998224237,8950.667811467914,2061.1684871399707
158,0,0,0,313.6562158470589,11829.73779789285,17222.632951940624,9065.78798717056,2094.5622051233186
159,0,0,0,128.13663087618988,11745.521464180412,17386.171661972963,9183.004592373027,2129.2656619093354
160,0,0,0,0,11662.529534053354,17523.750121195135,9302.358561534034,2156.160329785741
161,0,0,0,0,11581.617320364196,17641.170637224142,9423.891883560571,2173.711229556325
162,0,0,0,0,11498.056745839798,17744.785119185482,9547.647630582136,2192.012451993096
163,0,0,0,0,11412.54588726632,17840.93987307096,9673.669992560182,2211.0836054935558
164,0,0,0,0,11323.800285536252,17923.595239988215,9802.004299048407,2230.945000055147
165,0,0,0,0,11231.029878713405,17994.434379737122,9932.697054168802,2251.6176671542435
166,0,0,0,0,11137.258469680595,18060.485833342147,10065.795970072128,2273.1233785509758
167,0,0,0,0,11040.058109778269,18120.147205681544,10201.350002181884,2295.484665900531
168,0,0,0,0,10940.146154581109,18173.61981324684,10339.409386357136,2318.724841231601
169,0,0,0,0,10839.183583088601,18224.773727732816,10480.025678120139,2342.8680183511124
170,0,0,0,0,10736.056304691698,18274.19390745141,10623.251794105767,2367.9391352440134
171,0,0,0,0,10632.00636465282,18320.027030890804,10769.142055905168,2393.9639775382434
172,0,0,0,0,10526.373563546329,18358.27609358732,10917.752236487628,2420.9692031115123
173,0,0,0,0,10418.430301134747,18391.77646170004,11069.139609402951,2448.982367923085
174,0,0,0,0,10309.603372661319,18422.405386999995,11223.363000983085,2478.0319531601845
175,0,0,0,0,10199.684930177486,18454.962749600603,11380.482845780649,2508.147393791471
176,0,0,0,0,10089.824988323835,18469.154631290094,11540.561245503706,2539.3591086351244
177,0,0,0,0,9976.366542429154,18491.16011684703,11703.662031729193,2571.698532049281
178,0,0,0,0,9822.305619242095,18523.252735562408,11869.850832703574,2605.198147366431
179,0,0,0,0,9645.443261999995,18551.467538789857,12039.195144567053,2639.8915222020983
180,0,0,0,0,9447.548371040977,18569.72971371867,12187.881102981559,2675.813345776994
181,0,0,0,0,9235.183490379264,18588.13257628604,12335.653962679651,2712.9994684059216
182,0,0,0,0,9020.738267168288,18599.098742348106,12485.985870768596,2751.486943317584
183,0,0,0,0,8805.368207032656,18598.226574388067,12638.937061774901,2791.3140709839527
184,0,0,0,0,8592.35234171178,18592.615114273238,12794.569177186955,2832.5204461550875
185,0,0,0,0,8377.81924137088,18580.828893917776,12952.945298635932,2861.218629628674
186,0,0,0,0,8157.976169911731,18564.754174003254,13114.129983045794,2882.822997442417
187,0,0,0,0,7938.895271015128,18545.045622228867,13278.189288336582,2905.1737851071757
188,0,0,0,0,7727.297956935494,18523.236659078364,13445.19085153512,2928.3027657728703
189,0,0,0,0,7516.096455547444,18501.359765418278,13615.203896645866,2952.2427334642152
190,0,0,0,0,7299.733356366342,18490.191171580296,13788.29929337808,2977.027531347301
191,0,0,0,0,7078.393174492679,18489.600653553378,13964.549607896475,3002.6920757127523
192,0,0,0,0,6847.630785207714,18480.083106667284,14144.03015545893,3029.2723814559695
193,0,0,0,0,6612.987406879592,18462.686549556027,14326.815162857612,3056.8055891734743
194,0,0,0,0,6378.495493062358,18452.264089814227,14512.983543007635,3085.329994005689
195,0,0,0,0,6146.392728694158,18434.645262082824,14702.615239522263,3114.8850763630653
196,0,0,0,0,5930.142322962576,18403.13896857528,14895.792212004031,3145.5115346883595
197,0,0,0,0,5722.360752381028,18355.733648879956,15092.59851599178,3177.2513204181
198,0,0,0,0,5539.02658987063,18316.05006717176,15282.287517293244,3210.1476753179027
199,0,0,0,0,5365.680767418361,18277.251326146128,15458.15487109945,3244.2451713873097
200,0,0,0,0,5206.763993282162,18228.576049640513,15637.106101042418,3279.589753541324
201,0,0,0,0,5047.772425419837,18178.1964275633,15819.220039623906,3316.228785294332
202,0,0,0,0,4890.1438390328785,18127.539486100974,16004.57394219709,3354.21109769832
203,0,0,0,0,4733.504491212919,18070.75052854412,16193.249312063628,3393.587041802072
204,0,0,0,0,4571.363120654424,18011.24508939421,16341.342417002792,3434.4085449287604
