C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
0,4420.086913505966,8634.431930545648,9635.48629027443,8155.133018939349,6468.728782617342,5520.254244208155,4370.079015707804,2600.3310988150215
1,4339.889150350003,8574.723239650348,9653.71286542065,8177.936773391244,6482.269906057207,5514.528264523641,4367.661331716139,2600.223012178932
2,4257.423824990759,8513.961736813995,9684.736627844592,8201.512238630088,6496.351051142883,5508.678261477084,4365.142688391215,2600.0554310108646
3,4173.0955210420525,8451.394394484467,9707.025375913403,8225.883114021735,6510.991575376224,5502.705927179491,4362.522819680857,2599.826662575596
4,4087.225136334139,8389.776393280395,9723.432708801693,8251.07377772441,6526.2113642303,5496.613305838528,4359.801684036627,2599.5349654937913
5,3997.8774350141402,8327.239342885641,9739.330531619902,8277.109295932853,6542.030835489214,5490.902352272986,4356.979484169847,2599.179075383047
6,3903.996948307887,8257.544912243913,9750.787334861368,8304.015428344232,6558.471396771435,5485.424638293407,4354.056683068193,2598.757460868269
7,3808.7182717491683,8184.389880897279,9758.480511012502,8331.818630185411,6575.553351193361,5479.874370522494,4351.03401566211,2598.268857996768
8,3713.580130953538,8109.550281814788,9761.599432213574,8360.54605132731,6593.299357552508,5474.256448173159,4347.912495747787,2597.7121543196195
9,3616.0427483311887,8033.381971459679,9777.0280160721,8390.409257672798,6611.7319369276975,5469.271112221857,4344.6934180039725,2597.086400149859
10,3515.4402246342015,7955.543505043621,9785.224539637518,8423.46498653658,6630.875034299923,5465.2019492762975,4341.378355163933,2596.390816021652
11,3418.804876483296,7876.2460962562045,9791.394280791916,8458.569756389832,6650.750757374926,5461.145277343357,4337.969150607157,2595.6247963423943
12,3317.4010666062313,7796.569237165022,9801.884206306404,8498.608818860108,6671.383569747398,5457.109200826956,4334.467906805223,2594.7879094066616
13,3213.3216513540347,7717.6548080727935,9808.11228246012,8539.896937860509,6692.797883778097,5453.102147187353,4330.876970182215,2593.879894093959
14,3103.053560849237,7634.927596429752,9811.167799414,8579.515057009003,6715.018542871863,5449.132837850166,4327.198913035359,2592.9006536791785
15,2991.1788257215853,7546.738950031856,9819.208326709915,8618.873492145278,6738.07081123645,5445.434728206078,4323.436513200975,2591.8502472582263
16,2878.1365498009914,7456.728516308716,9816.56096025552,8658.67983956669,6761.980356874563,5442.111953037845,4319.592732152105,2590.7288793246676
17,2757.4785681758062,7365.2766826078105,9808.05064519768,8696.71751054981,6786.773243670878,5438.881625115202,4315.670692182996,2589.5368880329634
18,2634.3346410057534,7288.25978884252,9798.313261550613,8738.722076241535,6812.475920748282,5436.982897485629,4311.673653279337,2588.2747326561475
19,2510.551615368986,7203.158168755327,9801.675323483143,8778.629647684967,6839.545394335717,5436.332393046105,4307.6049901999495,2586.942980697271
20,2384.2243910984594,7107.56679926527,9792.780420848829,8821.829909657039,6867.642131793194,5435.893292466319,4303.468170212744,2585.542295052161
21,2256.121828599535,7006.208287924849,9778.622168212378,8865.363318953625,6896.722374924948,5435.6793820504745,4299.266731841544,2584.0734215519665
22,2125.703128314856,6903.909953027233,9764.98762574914,8909.948459439236,6926.8125589616075,5435.704651346438,4295.004264896132,2582.5371771435816
23,1989.5353504246004,6800.676701260431,9753.415683745225,8952.725065869323,6957.937385100553,5435.983234092359,4290.684391979095,2580.9344388981585
24,1852.7183930348249,6696.133090011654,9734.632154315055,9007.133660451966,6990.123832017389,5436.529592761934,4286.310751592852,2579.2661339759857
25,1714.1017153729558,6590.665935855934,9718.367298901374,9047.071518087656,7023.39856047247,5437.358174953996,4281.886982909207,2577.5332306216005
26,1572.7085538715714,6483.79474036889,9717.843578891794,9085.618589966807,7057.788549183473,5439.061935548137,4277.41671221339,2575.7367302173566
27,1433.3034025289103,6374.17160410263,9693.621168101246,9124.072959234723,7093.321101254333,5443.797146066223,4272.903540993789,2573.877660386719
28,1293.9918656130978,6259.100817998907,9662.456405499111,9163.388255250937,7130.060829597826,5449.055021267585,4268.353397931577,2571.9588269192386
29,1155.1565448528922,6141.8970298176255,9637.746359574896,9200.673781650245,7168.085414494049,5454.766191226216,4263.771732980073,2569.982797273269
30,1015.9859347437165,6023.045526805021,9606.039834145997,9241.193165234887,7207.382700646701,5460.94517647829,4259.158562476844,2567.948111211085
31,878.9872967034491,5902.630204894066,9569.902270419645,9283.351262054417,7247.9885306920805,5467.611198994123,4254.517344687204,2565.855891283455
32,738.6709572348276,5779.871456600854,9527.506591453739,9322.735888635098,7289.939380321721,5474.783726171883,4250.518009807385,2563.7072665326327
33,597.8444665881545,5649.6266098250435,9484.136283736145,9362.330379315268,7333.272373906668,5482.482455684926,4247.662355720796,2561.503370581595
34,457.2897838024334,5520.046982577122,9441.184338062161,9396.029165226515,7378.0253015020135,5491.684058753724,4245.347170227506,2559.245340274134
35,319.60107441746163,5388.298403997436,9388.22855032608,9430.431099816044,7424.236637030113,5504.6133941687995,4243.286244548449,2556.934314788542
36,186.5601883093158,5257.855174875938,9337.037490795072,9471.45505952629,7471.945557464222,5518.25542512849,4241.58841735931,2554.5714351533243
37,54.9364538688647,5125.246460837176,9288.990957097089,9514.242759576204,7521.1919628577825,5532.631982256617,4240.042820954167,2552.1578440995318
38,0,4990.092084212124,9231.336181462848,9543.197995453591,7571.879708051087,5547.766184454135,4238.6677402880305,2549.694686191083
39,0,4853.439696159246,9165.841529338226,9571.145481788464,7625.520361775967,5563.681155007735,4237.472227057942,2547.1831081811147
40,0,4717.806569124468,9097.218314307329,9595.216249558887,7683.576586956843,5580.400280597681,4236.457361632769,2544.624259548836
41,0,4583.396153877453,9044.524536147892,9631.020201203071,7740.838916132548,5597.947219248644,4235.631871040564,2542.01929317753
42,0,4449.540843150107,8979.026672259517,9668.10659581429,7802.992669631788,5618.66672153711,4235.004586727474,2539.3693661400603
43,0,4314.357755126673,8907.030469729933,9697.438716343308,7868.828072792433,5643.291999968588,4234.5844451233315,2536.6756405633055
44,0,4179.894916836346,8831.0757284934,9726.320266889157,7932.103805209141,5668.96919860512,4234.864347212843,2533.939284547733
45,0,4037.998633576888,8749.450215024028,9748.399120777933,7995.075496894215,5695.725360906873,4236.764740775379,2531.1614731223203
46,0,3896.69504874747,8662.834629057084,9772.745404312103,8057.576200210957,5723.58788209035,4238.98552519401,2528.3433892187004
47,0,3759.752770639223,8572.79149770018,9791.364148878532,8118.650721806437,5752.584523524785,4241.537613366511,2525.486224651595
48,0,3626.185115834929,8487.32935954722,9808.309538195483,8176.355008979777,5782.743427863151,4244.432053996886,2522.5911810951516
49,0,3493.008254551274,8404.605140879352,9819.84921499713,8240.516029956334,5814.093133765978,4247.6800350590875,2519.659471047297
50,0,3355.387903232198,8313.311729373614,9832.882663271135,8301.079566762199,5847.148224825064,4251.2928888599445,2516.6923187760112
51,0,3208.632547748795,8221.666438822578,9834.945626687026,8360.605748889282,5887.312347508806,4255.282096497919,2513.6909612431505
52,0,3063.4896537005843,8126.097250071405,9844.389240308916,8428.52278309993,5928.863942826184,4259.601464678058,2510.6566490027753
53,0,2919.486207786518,8024.1658190387625,9868.025891351304,8500.908746065461,5971.830645765003,4264.285614013563,2507.5906470720565
54,0,2773.037270123525,7921.202766294759,9884.113123128192,8559.910681138643,6016.240482541003,4269.3586518188595,2504.4980521883467
55,0,2620.102234197084,7807.412761115531,9888.678733135015,8623.38163761811,6062.12184713912,4275.230211412139,2501.252056882598
56,0,2454.743827564437,7689.406324552242,9888.759533109751,8684.615391138635,6109.503523674351,4283.50999312203,2497.8907837526276
57,0,2288.063345043653,7569.395838039353,9883.462078813769,8743.801929218895,6158.25320312299,4292.308295459828,2494.6494550340726
58,0,2124.081153987789,7452.055812093333,9874.619647918906,8805.350611806736,6208.518888618794,4301.636510361752,2491.861978270167
59,0,1963.1385429739075,7336.531052399805,9860.855300809284,8864.45970320296,6260.348966122978,4311.506159511193,2489.134015707278
60,0,1802.3411894007413,7218.309061066566,9848.428268359328,8920.065302249053,6313.773088076697,4321.9165072976775,2486.468380078636
61,0,1639.5833198846437,7105.525006037645,9834.728553279281,8974.755028849384,6368.82066938186,4332.88205273093,2483.867957676326
62,0,1472.1378098303562,6984.310087471048,9825.93518610163,9027.201396836892,6425.521554756714,4344.418671318402,2481.9130492858912
63,0,1309.8563796248918,6859.932011677037,9817.380413251927,9078.367018066912,6483.906031715971,4356.537507832276,2480.505091601446
64,0,1148.2568817118565,6739.554595731392,9811.187339307631,9141.736319241574,6544.0048442863435,4369.250276926927,2479.2409911044715
65,0,978.431361423092,6619.456869959251,9817.78726311635,9196.76093032165,6605.849206639319,4382.5686969456065,2478.1240735264737
66,0,783.1449048974058,6500.185142260795,9820.790318536701,9251.086253869156,6668.677548804095,4397.585821998814,2477.158528850506
67,0,585.3351703448342,6380.451078850741,9819.367422598645,9302.955489513952,6733.6592149245025,4415.171128313813,2476.348665099039
68,0,385.9143782790832,6258.786996164373,9813.938565657458,9353.181621639285,6802.311164636003,4433.512659823537,2475.6988350973784
69,0,191.79988038923287,6138.599859247627,9803.40876496258,9406.905105010048,6871.985768104755,4452.624091408127,2475.21355937164
70,0,0.5726653277212046,6018.845330316747,9780.241039218208,9458.504156570503,6944.446742339887,4472.519278898927,2474.8974355786236
71,0,0,5896.560098716413,9755.95144328693,9510.85332644571,7016.955139072786,4493.212264485287,2474.755164623942
72,0,0,5765.707006051181,9723.731339086347,9561.897902315699,7087.728824798413,4514.71728199232,2474.7915511052247
73,0,0,5634.725632635226,9681.087785879896,9610.663647053309,7163.014331991028,4537.048762042502,2475.011503748216
74,0,0,5496.488868233837,9641.407706439823,9659.262466692875,7238.094021746213,4560.221338650909,2475.42003584243
75,0,0,5354.9567608488915,9603.143725844102,9708.941959085325,7315.093013017053,4584.2498505322,2476.0222656827113
76,0,0,5215.346285062357,9565.314737069708,9760.224423115777,7392.056391355423,4609.149348296093,2476.8234170224428
77,0,0,5075.827483866162,9536.757389410759,9805.703323236517,7466.889869637432,4637.792897723308,2478.171601246218
78,0,0,4933.39885785576,9511.575704728488,9847.92289092406,7541.77896248024,4668.266906966372,2480.6754085853204
79,0,0,4788.227498843391,9476.609222536717,9907.113317886182,7616.487416038459,4699.791782998873,2483.4740549192397
80,0,0,4642.862943621629,9435.597771991099,9957.115041719517,7689.479819327709,4732.385133531677,2486.5738134461235
81,0,0,4504.63835830778,9400.073215422353,10000.686137348059,7767.299922849767,4766.0648364878525,2489.981070806034
82,0,0,4369.452019218986,9360.972194142698,10052.304063957761,7858.818166983435,4800.84948490029,2493.7023428889547
83,0,0,4231.156584142485,9309.35628550221,10097.892090931591,7936.1235890662565,4836.756698635572,2497.7442758686407
84,0,0,4092.2428208855595,9259.052787927778,10140.616126749548,8012.342700564326,4873.805587472033,2502.1136475813914
85,0,0,3940.962238564489,9196.242949964186,10184.909922343768,8086.33150323942,4912.015170709507,2506.8173686918585
86,0,0,3783.9967659717668,9130.678889154995,10221.888309100445,8161.466562089261,4951.404768283469,2511.8624839360145
87,0,0,3624.877725085684,9066.261015026672,10258.415817667821,8236.489554726619,4993.2311539859475,2517.2561733910907
88,0,0,3467.900337968003,8991.141421347138,10287.327369685765,8311.112722295067,5039.652728135457,2523.005753777222
89,0,0,3312.5332686022857,8913.437300595811,10311.37162505895,8385.797373725569,5087.4713303137005,2529.1186797952996
90,0,0,3156.640960143305,8849.1721773529,10330.772025351533,8458.22393814923,5136.709690105342,2535.602545505316
91,0,0,3002.7487239551288,8792.462931856257,10356.955360355925,8534.20564665489,5187.390920487612,2542.4650857492625
92,0,0,2838.747446091415,8709.543500182548,10380.889329917427,8610.573573303982,5239.274151120799,2549.9477833990777
93,0,0,2665.4459682570996,8621.79322359359,10405.262285256975,8692.150617758714,5292.4209434905215,2559.1444223026588
94,0,0,2489.7578906427534,8535.00073124588,10438.077236457126,8771.720889426158,5347.04011258554,2568.8319385431855
95,0,0,2312.845991539566,8458.756934293559,10472.752976680695,8849.33384746468,5403.154534679654,2578.967129757564
96,0,0,2132.8294173807767,8369.241083240593,10500.345356105385,8923.992332582464,5460.787465456686,2589.5544184144273
97,0,0,1958.1903357920112,8274.518087445602,10535.090253426108,8999.90328003773,5519.962546069929,2600.64613643744
98,0,0,1788.4602575784702,8175.199662235124,10570.057647373676,9073.984233364263,5583.226779293544,2612.2510939494946
99,0,0,1608.7050664930962,8069.958835129506,10603.97850320816,9149.461439585444,5651.398997542195,2624.3782663131715
100,0,0,1418.4801506826198,7960.682102273231,10642.225812025277,9224.689498174645,5721.160479065247,2636.9944525342617
101,0,0,1226.2044357251975,7848.6305357229885,10673.620725116034,9304.407093403563,5792.117492794868,2650.0246418638553
102,0,0,1041.3993658898235,7737.205949341443,10705.054124793964,9388.77949717143,5862.098453423493,2663.5890211233077
103,0,0,859.1720174233882,7628.573581938688,10728.029234057853,9468.962600393335,5935.286103499908,2677.6966349653912
104,0,0,673.240297223395,7523.609658845805,10755.896687450957,9551.14380458176,6011.313074868903,2692.3566968565597
105,0,0,484.4610937411187,7425.443001265094,10774.698948125548,9629.546066787241,6088.663964863932,2707.5787608299147
106,0,0,303.7411787248895,7319.295723935691,10792.08350800811,9707.413550022795,6168.315874214945,2723.3720671857213
107,0,0,119.97453301266908,7210.175961214985,10807.350123235683,9784.630287048427,6248.142035942559,2740.1331669619626
108,0,0,0,7101.323069506044,10817.183120891015,9856.715410103858,6327.981551188806,2758.9806182779903
109,0,0,0,6993.570871278785,10825.955540243021,9936.67913540285,6408.1872043106405,2778.5289867891984
110,0,0,0,6895.757147542728,10862.454206741964,10016.638456673718,6487.056049307936,2798.7895848608036
111,0,0,0,6779.93287132712,10896.943466212078,10096.839560168637,6571.000548765035,2819.773943894623
112,0,0,0,6652.886424441405,10912.143429107808,10177.738831646693,6656.263264893864,2841.49381710948
113,0,0,0,6527.2937994899185,10920.966791403853,10256.474452335553,6742.47454653163,2863.96118430335
114,0,0,0,6405.520148887058,10931.439114429166,10338.909332663541,6827.592722255986,2887.188255572056
115,0,0,0,6281.68546133233,10933.60358155051,10418.774511552232,6914.384885791455,2911.1874754369965
116,0,0,0,6154.965885827001,10932.966840658493,10506.439395901261,7008.25566616796,2935.971527113215
117,0,0,0,6029.409101443381,10932.842748605675,10586.83026353736,7097.492956805017,2961.5533369251452
118,0,0,0,5906.708700084735,10930.036123743672,10669.238733956181,7188.439795811858,2987.946078877572
119,0,0,0,5779.8156359687655,10927.781565299036,10749.081974535824,7277.3135284106165,3015.163179389637
120,0,0,0,5659.6363121021295,10918.509693075626,10826.921239511126,7369.064116863001,3043.218322200011
121,0,0,0,5534.051405027373,10902.562312780508,10911.155338336519,7459.15987874579,3072.125453451604
122,0,0,0,5408.861731464928,10892.039063180191,11006.466835569334,7548.832894723207,3102.835605786047
123,0,0,0,5283.051335044588,10882.233607840079,11093.856659262345,7643.885227645525,3135.8304857700696
124,0,0,0,5152.968304125598,10868.941545014366,11183.386362023673,7742.147680375311,3169.8387404771174
125,0,0,0,5025.815254050405,10843.014564610743,11271.39183359681,7839.419569683038,3204.8769491308517
126,0,0,0,4903.99621548911,10862.165894734077,11347.59446338069,7938.609315629699,3240.7936314635526
127,0,0,0,4772.847804795449,10874.434417050903,11430.074858181546,8036.3958132900825,3277.4905370005686
128,0,0,0,4642.777125033862,10883.0368304064,11511.980621703977,8134.024901563327,3315.238202352913
129,0,0,0,4507.291596999724,10881.053052910325,11593.712082172504,8227.97892775472,3354.0535523930216
130,0,0,0,4359.264631467935,10875.879645339464,11673.311606348174,8325.87559948762,3393.9538605579946
131,0,0,0,4211.728885465385,10860.7757461199,11752.861054448947,8424.791579793457,3434.956756205883
132,0,0,0,4067.000166323663,10839.190234895517,11830.215150337286,8524.740184218344,3477.0802333824404
133,0,0,0,3907.687685709892,10818.106594759836,11910.525103778584,8626.081967332948,3520.3426598421306
134,0,0,0,3745.349537593589,10782.564638285976,11983.774677876598,8731.285758424541,3564.7627863738535
135,0,0,0,3580.030728190161,10747.47281456123,12052.512316322378,8829.047436473707,3610.359756512208
136,0,0,0,3412.036334453673,10701.360708893626,12121.105721850838,8934.872399537773,3657.1531166547
137,0,0,0,3239.3426611058953,10646.635233413212,12187.157262933279,9038.943006641253,3707.1949596801737
138,0,0,0,3064.2439256565845,10599.239570590926,12260.459807650856,9143.479464520165,3759.4960539727304
139,0,0,0,2884.0090494716997,10551.888893391559,12336.637442678724,9250.551455043797,3813.2025854743783
140,0,0,0,2701.36486264704,10491.145185108526,12405.443670460787,9357.909403890424,3868.3386596522555
141,0,0,0,2518.728481611251,10426.51032792797,12474.838158099104,9470.312052318495,3924.928547095273
142,0,0,0,2333.452654000994,10358.806686496699,12567.36825927386,9582.242116370824,3982.997072989909
143,0,0,0,2151.746958845138,10328.259705969653,12653.407952529324,9691.232900565894,4042.5294642016916
144,0,0,0,1972.8611804173222,10285.816184075738,12732.673112700102,9803.247234864355,4103.202112275439
145,0,0,0,1804.3023711545416,10228.629655777013,12799.260442323593,9914.827772844454,4165.407134051974
146,0,0,0,1640.203591682422,10176.212169007322,12881.75565196013,10025.730022734455,4229.171042539383
147,0,0,0,1477.3798184705956,10120.139508169625,12962.677376614754,10140.791152079317,4294.520981434119
148,0,0,0,1302.0892336296338,10059.61510519629,13046.322400213692,10252.984466179245,4361.484745082931
149,0,0,0,1115.1502714997853,9989.47717241247,13133.185438516679,10365.460238179588,4430.090799713809
150,0,0,0,931.2714036469889,9915.764001144405,13218.732999914835,10480.805354548545,4500.368305628729
151,0,0,0,747.1694150607578,9843.472351064122,13300.048864818824,10614.974080182534,4572.347140492251
152,0,0,0,561.7506131736745,9766.580451874936,13382.172681656239,10745.802416966862,4649.3285378280125
153,0,0,0,373.0401704014024,9688.56241691095,13464.103395694294,10872.844657226495,4729.083735646434
154,0,0,0,182.72696785864025,9607.389204864214,13531.10077993449,10999.216408234846,4810.84043165221
155,0,0,0,0,9524.09729432723,13586.7279772303,11122.844746438035,4894.636267607106
156,0,0,0,0,9429.776335314245,13640.357028653758,11227.523291482292,4980.50991204429
157,0,0,0,0,9330.481081478358,13685.760219610425,11332.919533615493,5068.501106001342
158,0,0,0,0,9227.881017071373,13734.193785326093,11439.734105776606,5157.934760051279
159,0,0,0,0,9120.830777016505,13783.688978846876,11544.625759328088,5231.352550009183
160,0,0,0,0,9007.383679883109,13826.966265680603,11638.108673910176,5297.037755246543
