C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
0,3192.925846884049,6580.714562887484,6501.2920167131315,6083.136272856774,5180.354624177594,4437.318308405689,3581.777376732914,2238.2878685858295
1,3125.782165256926,6542.392046996977,6526.093003450407,6091.124397991916,5186.3448188482635,4431.048444336615,3578.609293367561,2236.582597512853
2,3057.3762777613642,6501.3097998562935,6555.303139392427,6099.427303947898,5192.56643612682,4424.612465939866,3575.3252776714876,2234.782612592623
3,2987.1592792074935,6460.7331702661195,6577.8773535747605,6108.05730231906,5199.028358470012,4418.011117465692,3571.9255380990307,2232.886948327865
4,2915.0974078351037,6422.799656556417,6598.176188701167,6117.027138692283,5205.739688811145,4411.245461983526,3568.41050851468,2230.8948122453435
5,2840.859514541371,6382.745013225604,6620.37686764998,6126.349999647593,5212.709755735008,4404.316891469408,3564.780858435709,2228.805589372835
6,2765.8245812241757,6339.764305745412,6641.653773927461,6136.039517827353,5219.948112954285,4397.227133238549,3561.0375008450287,2226.6188445695057
7,2688.820881126736,6295.7048422691205,6666.0565628658815,6146.109773856753,5227.464538589736,4389.978252323956,3557.1815970969365,2224.33432251126
8,2612.960053628429,6250.576427761342,6685.999650552603,6156.575296004437,5235.269096612071,4382.572649567828,3553.2145585643375,2221.951945233062
9,2538.954694017591,6205.016043060954,6706.241575697702,6167.451056489311,5243.371645504651,4375.013055368244,3549.138044824021,2219.4718072381706
10,2464.909815325772,6158.837452698231,6726.376664615046,6178.752461158918,5251.783256589335,4367.302519195949,3544.9539583336805,2216.8941682907193
11,2380.130647459378,6112.060320803414,6752.130100122515,6190.49534646701,5260.84245469962,4359.444395152431,3540.6644357087334,2214.2194441049137
12,2290.465384455026,6062.824372105528,6772.336627389535,6202.6959684110025,5270.688158937414,4351.442323972315,3536.271835845508,2211.448195224298
13,2199.560038114848,6011.424795277135,6805.247225105828,6215.371372925216,5280.916080277752,4343.30021197328,3531.778725253304,2208.5811144437303
14,2105.911057333227,5958.045867160463,6847.843501834168,6228.537925713795,5291.538675646111,4335.022207523427,3527.187861044179,2205.6190131624344
15,2008.1771692347081,5902.358027891749,6866.64666819344,6242.213406268845,5302.568548681508,4326.612675628905,3522.502172084185,2202.562807068743
16,1906.297442721958,5854.538678307983,6879.703880546178,6256.415648277133,5314.01843526036,4318.076171247116,3517.7247388336823,2199.413501547984
17,1801.429268521763,5795.2985623894865,6885.858783112716,6271.1628563071035,5325.901190239497,4309.41741190705,3512.8587724002814,2196.1721771775556
18,1694.7885714877334,5732.4830140188305,7320.581065640645,6286.473598477528,5338.229778206218,4300.641250174323,3507.9075933003255,2192.839975632024
19,1591.6391667384203,5666.436216451952,7466.212226869012,6302.366800707647,5351.2335120263315,4291.752646439777,3502.8746103792437,2189.418086270526
20,1482.8273254765704,5598.258877753333,7499.324582676044,6318.966147648077,5364.944841893547,4282.756642443033,3497.763300283114,2185.907733623237
21,1373.2868541656387,5527.768246542795,7535.365983407226,6336.422329402133,5379.16718971464,4273.6583358709695,3492.5771878087426,2182.3101659373947
22,1265.9735419049207,5454.149330751575,7562.892738629798,6354.515942954869,5393.915460638464,4264.462856299896,3487.31982739228,2178.62664488912
23,1154.753013461885,5378.546076670122,7582.628666958929,6373.265802303383,5409.205146932637,4255.175638643258,3481.9947859303934,2174.858436517946
24,1037.5161191198588,5301.551778098843,7595.85653761697,6392.691023660639,5425.050710932829,4248.29746610349,3476.605627066578,2171.006654137239
25,925.5493227715793,5222.674374395728,7606.902436778103,6412.811024948034,5441.467943983223,4242.957432156885,3471.155897019729,2167.0728592084597
26,817.3683397082846,5140.904191948994,7625.8106478637865,6433.645526417203,5458.4724500205875,4239.006247738306,3465.649111984252,2163.0581281902973
27,699.8205143980264,5057.418500842272,7635.92418831792,6455.214552416409,5476.080018247713,4235.633478078598,3460.0887470909297,2158.9636782083717
