C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
0,2187.7783426626297,4562.107022181609,4399.780837477042,3790.6135887722457,3067.4458247673074,2714.775312680682,2114.724330144771,1238.1976128930824
1,2141.5626536662094,4535.208849488668,4405.667648285924,3798.531214171924,3069.417669916672,2710.242948730723,2112.127942067158,1236.5380381996972
2,2093.7951199982504,4507.140197948148,4411.117713674904,3806.825463543677,3071.571136373861,2705.5733526108006,2109.427972563996,1234.7801730123547
3,2044.1408158984343,4474.616201668836,4418.495211455727,3815.5107589431645,3073.9193759560735,2700.768658405845,2106.6264383528423,1232.9254014524959
4,1992.3165136555779,4440.7689039069855,4426.112288051746,3824.6016591425264,3076.475739013344,2695.831460396948,2103.7257940414447,1230.9756654533965
5,1939.1210907329742,4403.936324073487,4432.9456715852075,3834.1128303898486,3079.888095851874,2690.764797624047,2100.728913343116,1228.9334262734756
6,1884.6719234157642,4366.129250120213,4440.350181652989,3844.059438084619,3085.3356264364816,2685.5725002408158,2097.6390636311085,1226.8016139267863
7,1829.9304016279111,4326.456403078656,4446.052963454624,3854.455467033199,3091.110534155403,2680.2576629904156,2094.4598746087754,1224.583567347693
8,1773.057390576227,4286.293691854241,4451.070849937357,3865.3160956992183,3097.2274239611984,2674.824885558212,2091.1953020681935,1222.2829684200924
9,1713.5425189646498,4246.240002236794,4454.775473348328,3877.012467443106,3103.7009108255133,2669.741807190967,2087.8495878467534,1219.903773031944
10,1652.1765674810022,4205.7035272635785,4459.043632628078,3889.300109836779,3110.545576881724,2664.628659459442,2084.427217163824,1217.4501420985227
11,1587.4064805759438,4160.951340914976,4463.398348172082,3902.1468647781508,3117.7760718828004,2659.450980780581,2080.9328745288526,1214.9263750941877
12,1521.1989896704279,4114.296126493102,4467.195411542623,3915.568368884755,3125.4061370400527,2654.2156570685174,2077.3713993638207,1212.3368481142413
13,1452.2285651086434,4064.7354822968596,4470.551814273145,3929.580307174435,3133.451240436578,2649.095417322608,2073.747742386373,1209.6859579262439
14,1380.96253956072,4012.5033934808953,4474.34751239904,3944.198389955816,3141.924582668215,2644.5177338906005,2070.066923667117,1206.9780729226782
15,1307.7837446509016,3957.8565621834655,4476.102806293937,3959.438331392342,3151.0423785936155,2639.946860752361,2066.3339931182127,1204.2174913970953
16,1233.0732460508193,3901.0252094194225,4476.409292798698,3975.2038433701373,3160.748502182026,2635.621027440924,2062.553994002929,1201.4082303593962
17,1157.0505537798326,3842.6921634281516,4475.905929948878,3992.0774185284827,3170.9703572604167,2631.456004503895,2058.7319298881594,1198.5547258362137
18,1079.9438083733387,3786.677115132692,4474.428422416221,4009.173548043488,3181.721846188812,2627.3602732415648,2054.8727353030163,1195.6606876400417
19,1002.0010329672489,3729.5815839707598,4475.1161099273595,4026.0929436359015,3193.01675189333,2623.3434993688784,2050.981250223149,1192.7298576950836
20,922.7688435109915,3669.6132541355264,4476.314217357981,4044.300603149657,3204.868730525083,2619.415183171646,2047.062198376593,1189.7658004721898
21,841.6307409881041,3605.972935916531,4479.849509730595,4062.032360350831,3217.291294646555,2616.3739151311597,2043.1201692650206,1186.7718975376276
22,758.1075529918136,3539.8495711109513,4478.987233302698,4079.687832757739,3230.2978136297643,2613.794115756782,2039.1596037145086,1183.7513457616449
23,674.0183520480464,3472.543617894689,4474.633530568823,4097.574620380831,3243.901511253164,2611.5050800849995,2035.1847827115434,1180.7071585098704
24,588.9633293540868,3403.7673733245006,4466.595280092133,4116.796308300337,3258.1154639321244,2609.4260627525027,2031.1998192407773,1177.6421692050142
25,504.08218839011636,3333.7959271267305,4455.817381487701,4134.699102471168,3272.952602435244,2607.566647843015,2027.208652818824,1174.5590367185496
26,417.3293865748805,3262.079437776346,4444.358345225984,4151.8095445939225,3288.4257154987863,2605.9365313100375,2023.215046410032,1171.4602521260954
27,328.96358859126536,3189.096634193907,4434.266329615109,4169.197357245587,3304.5474550711688,2604.5448648937945,2019.2225854131034,1168.3481464317827
28,240.6755538470376,3115.8034569851375,4433.736288225839,4185.079478082762,3321.3303429282932,2604.2198537846743,2015.2346784188987,1165.224898933588
29,152.05234677299185,3040.409617984374,4430.0823000736655,4200.259600132505,3338.787225792566,2604.7304855831712,2011.2545594573676,1162.0925459617415
30,62.64165398522251,2963.5433875002477,4422.818512252834,4213.958440371819,3356.9295381850675,2605.5583469659464,2007.28529147326,1158.9529897753316
31,0,2886.3753123708443,4410.290406631104,4227.540767506951,3375.769867525611,2606.712651294014,2003.7725277752004,1155.8080074480783
32,0,2807.726704339984,4392.998113774712,4240.8366467386895,3395.32030035353,2608.2023964008267,2000.580137686328,1152.6592596131395
33,0,2728.7136820765836,4373.633722642217,4252.856868040821,3415.592838749509,2610.0363721806225,1997.6506986875986,1149.5082989694297
34,0,2648.0176587649275,4352.8266321524225,4263.842018068211,3436.599410700054,2612.223165306379,1994.852351772046,1146.3565784787877
35,0,2564.3228777311933,4346.005763445785,4273.848570232566,3458.3518805333497,2616.007676889813,1992.1888683068148,1143.2054592052534
36,0,2479.0042013027855,4343.177060250899,4283.25309414195,3480.8620593227356,2620.6972341235355,1989.6638919374125,1140.0562177652623
37,0,2392.348789507979,4334.362486674779,4293.684590758493,3504.141715171998,2625.8176458349367,1987.280945465593,1136.9100533715327
38,0,2304.885372212942,4321.779986598146,4303.408804656186,3528.202583312815,2631.3773106471804,1985.0434412084635,1133.7680944642498
39,0,2219.964245509272,4305.58997889917,4312.177559967204,3552.8209383802377,2637.3845546298107,1983.2952130045326,1130.6314049314944
40,0,2134.0973391923726,4286.555877319879,4320.2320610909055,3578.3490509315025,2643.8475434460543,1982.1325426288263,1127.500989927098
41,0,2046.3662495256403,4263.475509026573,4328.286178684548,3603.0710379540974,2650.816319014058,1981.1750270356622,1124.3778012986338
42,0,1956.6173252064007,4238.217554506477,4336.165360556956,3629.179986623352,2660.365115667637,1980.426380264909,1121.262742641504
43,0,1865.0828054746494,4235.18015817635,4344.5414725847995,3653.3276974124005,2670.4465056884683,1979.8902313578085,1118.1566739971063
44,0,1772.289935924456,4225.422890058127,4350.6686492592435,3676.103896176923,2681.0682725543043,1979.5701322553832,1115.0604162144464
45,0,1680.2807210805015,4209.368899408838,4354.738605910796,3698.073701198787,2692.23869313816,1979.4695652342518,1111.921971038844
46,0,1590.3445690009064,4187.152225550846,4355.075208820679,3720.790257735513,2703.965812847482,1979.5919501310696,1108.803850288266
47,0,1503.2832736498995,4161.228007759551,4354.756636558078,3742.541563874586,2716.257620562258,1979.9406507461924,1105.7094016334715
48,0,1415.458309739876,4134.817759511789,4356.703375889907,3763.9190771272847,2730.144950309134,1980.5189811640414,1102.639306965093
49,0,1325.6303557434821,4103.659956124499,4361.356304814872,3785.1662601764724,2746.2441180427672,1981.3302115818913,1099.594238396219
50,0,1232.42318564,4069.7848193628606,4364.878615918592,3806.6070124974003,2762.9838543999736,1983.2834185522731,1096.6076657987032
51,0,1136.021628696018,4031.5981337439634,4367.409448700399,3828.111830022599,2780.372471386562,1985.5766857896979,1093.7211279496692
52,0,1037.3954211136588,3988.64053906347,4369.106641582313,3849.5240540301165,2798.4182848713695,1988.1633490785741,1091.0687312770933
53,0,938.6694051771649,3941.313372941779,4372.674643040142,3870.691292525657,2817.129622067213,1991.0470975577202,1088.660793517994
54,0,840.786050445491,3888.148851052343,4375.086807222323,3890.3484911335777,2836.5148303755186,1994.2316043848596,1086.3507913758876
55,0,744.8179353042773,3828.7152319358706,4375.2877945671,3909.0866156126945,2858.127673637854,1997.7205714386403,1084.1398200452966
56,0,649.1581912756008,3763.299195299407,4374.687092919253,3927.7157198759237,2882.140928003947,2001.5175969321376,1082.0289923084756
57,0,550.109897727601,3697.9607596771543,4369.213597187925,3946.4385313174275,2906.8271434854723,2005.626348383285,1080.0194396676895
58,0,447.1158947201051,3628.0143326217344,4365.002319102633,3966.895044339127,2932.632980785366,2010.0504727515086,1078.1123134807656
59,0,341.3266419163504,3557.4594640351243,4363.699805368662,3986.042711980909,2959.0355929954944,2014.7936199162493,1076.3087859258017
60,0,233.59181716038339,3484.650672576152,4360.025137055887,4004.4321229929205,2986.11902171628,2020.5554528495525,1074.6100508552327
61,0,127.55202410773592,3408.983494211648,4356.654641556227,4022.289359374343,3013.3038038324266,2027.155692776424,1073.01732455333
62,0,20.71299899704453,3331.170668818911,4351.26598923875,4039.9148779879692,3040.305440699508,2034.1365591302158,1071.5318464097281
63,0,0,3253.2650874591727,4344.534409312693,4057.998586539511,3067.786091073102,2041.5022407214822,1070.1548795203073
64,0,0,3177.0395174195155,4340.444852485563,4077.305219765645,3095.3986539073376,2049.2569512029936,1068.8877112255482
65,0,0,3099.9827987407148,4333.7734044009485,4095.949647320962,3121.823025618824,2057.404931180618,1068.2020900529983
66,0,0,3024.6931055525074,4324.7553738283505,4114.571752256912,3148.845970464079,2065.950450663773,1067.683350155976
67,0,0,2947.665476206239,4313.294027842765,4133.429855266753,3175.385660036891,2074.897812612726,1067.3203418501228
68,0,0,2866.05074604938,4303.820843624797,4152.526194340302,3201.010604076612,2084.2513549283203,1067.1147271026155
69,0,0,2782.6994216593403,4303.3484204661945,4170.136414154946,3226.4285516068353,2094.015452700577,1067.0682055412933
70,0,0,2697.198714396373,4298.782493344343,4185.67873401457,3252.060068176893,2104.7421001876164,1067.1825127535508
71,0,0,2610.7439025707004,4292.350341966229,4199.8513574169865,3278.1426718443126,2116.777333602587,1067.4594207769223
72,0,0,2522.440585657111,4282.970960478341,4213.899188396553,3304.4916183027576,2129.2867829037245,1067.9007385511484
73,0,0,2433.868126852726,4269.276874283306,4229.649935053892,3330.54529961505,2142.2754918365918,1068.5083123380202
74,0,0,2349.097874348324,4252.003034333401,4244.625731507866,3356.3602502186745,2155.748565186468,1069.2840261146728
75,0,0,2260.619072571204,4233.719716535521,4258.6797742630515,3382.3354025674034,2169.7111598079346,1070.2298019454292
76,0,0,2170.4196199868725,4214.278489341188,4272.465670785894,3408.9151143187833,2184.1686666563205,1071.3476003368246
77,0,0,2080.5510794199436,4191.769109693455,4286.314425388339,3435.828371915373,2199.1260407188042,1072.6394205799675
78,0,0,1989.825115690364,4170.2252159095915,4300.41054560487,3462.7578133210377,2214.5887822973746,1074.107301083991
79,0,0,1901.4409690135753,4165.462342329311,4314.721922668188,3490.308218811017,2230.562302287715,1075.78074845678
80,0,0,1808.9618872262347,4155.949795023509,4330.378826912987,3517.872750468537,2247.527655650943,1078.1908957975488
81,0,0,1713.451739614841,4142.677700145577,4345.387026969979,3546.147797278695,2266.245544718532,1080.82451806236
82,0,0,1616.1899546823074,4127.733293284023,4361.738773531213,3575.0449567855685,2285.541327150055,1083.6840945551276
83,0,0,1517.2259142477046,4108.2379982032535,4378.565338164169,3600.792250137994,2305.4212421326897,1086.7721512489443
84,0,0,1417.5472787959304,4086.3525730342585,4394.064655728082,3626.8846613194414,2325.8916146514757,1090.0913009900507
85,0,0,1320.6368626374247,4062.9061259405958,4409.712573986056,3652.6264807806674,2346.958855881962,1093.6441142279418
86,0,0,1224.0354293425114,4038.325063232488,4423.968128262492,3678.3532315284624,2368.629465942759,1097.4332995413129
87,0,0,1126.4794474748678,4008.997553743264,4435.841409431872,3704.0063923593675,2390.910035114691,1101.4615912143574
88,0,0,1028.9740592131736,3975.0654701359167,4447.763983890049,3732.0777274421007,2413.807245380145,1105.7317763404915
89,0,0,931.4650038234636,3959.1500527101766,4457.098636654253,3759.611932068899,2437.327871948003,1110.2466953125
90,0,0,833.9375891058813,3946.1356986358396,4465.165406490223,3786.4174613828454,2461.888770633609,1115.0092423223766
91,0,0,736.4793483669289,3926.290574708096,4472.026614062185,3812.9452988317253,2488.718589279727,1120.0223658728826
92,0,0,635.3022686859867,3900.9283737481474,4479.462638571827,3839.6038072436468,2514.10013015635,1125.2890693026868
93,0,0,529.9383415805961,3871.3451192638945,4486.027758103102,3866.457013815355,2540.254409044216,1130.8124113268416
94,0,0,423.7945063844748,3841.446366993716,4492.689871294977,3893.522889660624,2566.764813182809,1136.7454628970302
95,0,0,316.94846576794,3810.3814265424785,4499.015597148699,3921.781668080148,2593.018744692722,1143.4818130464103
96,0,0,210.6952844799476,3777.2197748340345,4510.81666283539,3950.9957365901473,2619.1012422118547,1150.5251829682497
97,0,0,106.45455668759587,3742.431108081716,4524.540440619849,3980.1429019840816,2646.3724501380793,1157.8791860711954
98,0,0,1.759977055279642,3704.0532105757343,4536.30505127287,4009.2223434096672,2674.6290109358347,1165.5475045129579
99,0,0,0,3660.820195285417,4546.523954030566,4038.63895336778,2702.050042082932,1173.5338900833945
100,0,0,0,3616.1702604535553,4556.318536635372,4068.373411610019,2729.0938873840596,1181.842164948721
101,0,0,0,3570.267738135649,4564.513014482057,4099.399102421958,2758.3120867656485,1190.4762224845351
102,0,0,0,3517.4510639217597,4573.727070597946,4129.13582276521,2787.7744394909205,1199.440028134717
103,0,0,0,3460.5130195514103,4582.535761645757,4158.093388616609,2817.34672298615,1208.7376202979656
104,0,0,0,3398.268881694648,4589.106978551406,4186.503937404919,2847.541352623529,1218.3731112437251
105,0,0,0,3331.3282994699034,4593.9403150199405,4214.560290487461,2878.3709652907173,1228.3506880592322
106,0,0,0,3260.3299033582116,4597.960481014752,4241.380133022213,2909.882115583504,1238.6746136294105
107,0,0,0,3186.4978838192474,4599.453206184603,4266.922244474459,2941.4439609987594,1249.3492276513375
108,0,0,0,3109.5298527049385,4597.441815668945,4293.8799651565505,2972.7103630722713,1260.3789476850377
109,0,0,0,3029.837319973351,4593.128240169111,4321.670651340645,3003.953896205745,1272.1538300345335
110,0,0,0,2948.5553529794356,4591.8508224046245,4348.741634632749,3035.3597824283815,1284.7219978661478
111,0,0,0,2869.056358561842,4598.2824378627365,4375.109729763589,3067.150799019283,1297.7006396133754
112,0,0,0,2788.220631110784,4602.462798767359,4401.171144276091,3099.776177409884,1311.0949089318497
113,0,0,0,2713.514383660003,4604.104021242716,4427.2954966770985,3132.9545280040634,1324.910056215081
114,0,0,0,2637.6631178268567,4605.0138122818125,4453.675688711549,3166.8095098621375,1339.1514290168732
115,0,0,0,2557.700434811243,4604.535077367056,4480.604150352472,3200.7894178417278,1353.8244735784779
116,0,0,0,2475.339650952414,4603.325448415881,4507.972253396694,3235.2770729612375,1368.9347364096539
117,0,0,0,2392.1252394305448,4603.346830451837,4536.50184743013,3270.465003129734,1384.4878659262447
118,0,0,0,2310.617610730435,4602.441236899926,4566.26970349577,3306.1261068116205,1400.4896141468755
119,0,0,0,2229.767015812055,4600.26498475389,4595.863478032815,3342.184824625767,1416.945833466358
120,0,0,0,2146.5863958107943,4593.919474476703,4625.570843020999,3378.6789688377794,1433.862180906944
121,0,0,0,2062.5869803774344,4585.866807156148,4655.541859219937,3413.893585299208,1451.245075115875
122,0,0,0,1976.9483605809066,4575.631363480448,4686.904723912402,3447.745029194525,1469.1007014655538
123,0,0,0,1887.6278789924918,4564.00530077303,4718.35482253316,3481.5414376220765,1487.4353583940706
124,0,0,0,1795.0477496166563,4549.867806520752,4750.231492179165,3515.6259391592007,1507.0343705281289
125,0,0,0,1698.317352676571,4557.847192133542,4781.663557538702,3550.3697808079246,1527.3290529747742
126,0,0,0,1604.0540236739407,4562.632512100113,4812.316943387872,3585.02905747163,1548.166726711425
127,0,0,0,1512.446215999067,4564.227064348507,4840.9702929575315,3619.8055110588075,1569.554727435769
128,0,0,0,1419.051053242026,4563.930350448327,4868.55244570088,3656.410978071764,1591.5005335314409
129,0,0,0,1323.1491067996253,4559.107900711535,4898.136279424074,3694.7813929038994,1614.0117663162625
130,0,0,0,1225.67988835627,4549.116584576317,4925.895308463741,3733.237234534228,1637.096378034041
131,0,0,0,1126.22532281087,4535.35726366321,4952.716528815145,3771.0935508181483,1660.7619312146
132,0,0,0,1027.9812021729592,4518.919433248071,4978.600420444352,3808.870242042084,1685.0166642410545
133,0,0,0,931.9253201592975,4503.496172097688,5003.890248231134,3846.8615977048303,1709.8688012020364
134,0,0,0,835.9109630018368,4486.953606761412,5028.9028464764315,3885.060690068316,1735.3266872563986
