C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
0,98367.66325074744,275320.0874146926,468726.73390108446,962220.0699007489,1313167.712070392,1599415.7323036469,1923352.7363551771,2155705.731464056
1,98096.7151968893,276794.96911380644,469437.9314219313,960537.7581194158,1313842.527031901,1598659.696375856,1923552.8684081705,2156708.18089735
2,97786.26803502663,278177.4606307588,470223.4206494472,958793.321205779,1314658.88342454,1597886.607547589,1923755.554909538,2157728.7089461074
3,97442.27316523192,279498.7429095485,471014.28678343917,956985.036186915,1315477.5372853861,1597097.2311005823,1923962.4031258032,2158770.2080835453
4,97031.35957650685,280860.6903561877,471838.3072707115,955111.1568136706,1316298.019304472,1596292.3625555586,1924175.0619752016,2159835.6539961225
5,96540.82989825893,282233.83696040016,472731.20787828043,953169.9144550334,1317119.8240230188,1595472.8246829754,1924395.2152429572,2160928.0875025657
6,96010.29292180623,283508.3713370119,473812.6448880872,951159.5204504726,1317942.4104334386,1594639.4644476527,1924624.574626878,2162050.595782512
7,95391.20864341062,285064.9201520606,475857.48546880885,949078.1668320191,1318765.2028434877,1593793.1499025626,1924864.8726978286,2163206.2933303225
8,94677.10269953201,286493.20990675804,478097.83768864156,946923.9526967981,1319587.5917487987,1592934.7670427072,1925117.855854162,2164398.3030395764
9,93896.75466576964,287800.1986103228,480274.5201857912,944695.1759401098,1320408.9391692234,1592065.2166270274,1925385.2773427942,2165629.737797027
10,93044.7044320695,289076.1934528238,482562.70080537593,942389.911513897,1321228.5582257276,1591185.410974847,1925668.8904128831,2166903.6829242967
11,92240.79319827618,290371.8021084676,484879.28257381695,940006.2864273849,1322256.4664984776,1590296.2707434385,1925970.4416612524,2168223.1797548267
12,91231.18711460641,291537.66751621355,487100.21213549614,937542.4139763408,1323379.925698238,1589398.721694647,1926291.6646221213,2169591.2105764025
13,90055.99802119544,292625.3831924951,489342.4566643069,934996.394438318,1324503.996733811,1588493.6914608236,1926634.2736473372,2171010.68510979
14,88819.83291915673,293617.5996861519,491946.44775542675,932366.3155574022,1325627.8536743699,1587582.1063232026,1926999.9581172548,2172484.4286348806
15,87495.42943774929,294510.40262679436,494509.067637978,929650.2530660902,1326750.641441497,1586664.8880187592,1927390.3770165488,2174015.1718202126
16,86119.5893413847,295416.0958290721,498311.71044060634,926846.2707355678,1327871.4786869579,1585742.950594348,1927807.153903532,2175605.542261806
17,84608.03182205507,296475.0540251082,501596.88719358144,923952.4204742204,1329096.8246984833,1584817.198648745,1928251.872295889,2177258.0576943355
18,83063.95738050487,297287.18328675494,504913.96327921114,920966.7422351595,1330443.2331675193,1585112.9835972514,1928726.0714901385,2178975.1208025888
19,81357.9159898718,297895.997019643,508257.1045089143,917902.0340197175,1331788.3856097632,1585607.9653239648,1929231.2428265288,2180759.028507206
20,79470.07494426529,298405.2515716592,511473.4458377965,914759.5485274434,1333185.166576294,1586118.0058418645,1929768.8264055687,2182611.919475309
21,77474.51603573626,298805.1681303702,515014.1854718692,911518.4503814348,1334717.0877952788,1586643.423004573,1930340.2082570079,2184535.845604524
22,75323.30031823946,299077.34079714125,519373.58540352265,908176.7868627287,1336287.7996656834,1587184.5078619695,1930946.7179569388,2186532.7256740266
23,72987.15406172654,298783.4782221973,523585.41333049693,904732.5871898853,1337857.4632989,1587741.524275735,1931589.6266838876,2188604.357450697
24,70459.95426833862,298061.3627886963,527474.7393745624,901183.8625722197,1339425.0859934378,1588314.7072480195,1932270.1457003546,2190752.419553999
25,67794.85193657358,297192.88447349577,531550.9433645244,897528.6064683587,1340989.661719935,1590078.6496701918,1932989.425242414,2192978.474025116
26,64932.65357285931,296410.90625099506,536063.6596201645,893764.7941531109,1342550.1719912265,1591927.0052611895,1933748.5537966324,2195283.969477242
27,61887.889401431945,295462.2183083869,540405.9529107866,889890.3825325845,1344109.6298221024,1593803.1539954108,1934548.5577409153,2197670.244713619
28,58560.25430004085,294317.56119964493,545276.2672234969,885903.3097862,1345699.0363315528,1595706.8923488255,1935390.4013237576,2200138.5327104903
29,55138.463414692924,292953.40217529517,549813.8620963928,881801.4949372523,1347281.3304495998,1597637.9928274415,1936274.986954937,2202689.964873097
30,51570.04757010309,291221.16274636734,554176.6917640477,877582.8373693111,1348855.5510179242,1599596.2048779088,1937203.1557797934,2205325.5754837585
31,47807.012280655756,288792.6048395725,558793.5496349864,873245.2163027327,1350420.7288418508,1601581.254237885,1938175.6885088629,2208046.306271658
32,43820.38609645484,286375.72755353816,563362.8855497477,868786.4902434677,1351975.8876450497,1604438.6467476408,1939193.3064748019,2210853.0110439654
33,39521.067813113346,283712.4358596346,567864.8572383594,864204.4964143,1353520.0447938468,1607534.9347749166,1940256.6728890461,2213746.460327196
34,35014.071736635735,280783.8607353091,571636.6264595111,859497.0501768371,1355052.212018595,1610665.4455135765,1941366.3942715477,2216727.345976209
35,30332.316119584626,277609.7537310045,575577.7916946277,854660.7257227604,1356571.3961478323,1613829.6341983634,1942523.0220281412,2219796.2857158976
36,25404.894707510754,274118.73955174704,579325.5640747224,849689.6414296275,1358076.619783939,1617026.9435313793,1943727.0541514424,2222953.827587381
37,20297.553596918595,270424.9977624772,583507.2481695792,844585.954233259,1359566.8418028678,1620256.8047878947,1944978.9370227593,2226200.454276533
38,14670.83513876402,266592.73707700183,586936.4148557073,839347.3681673879,1361041.0766335547,1624058.406101798,1946279.067294167,2229536.587307838
39,0.0,262833.51206162776,589805.894172273,833965.2959762958,1362498.3166093908,1628248.7965796709,1947627.7938315868,2232962.591091064
40,0,258701.54575857267,592680.6132708407,828437.4239279479,1363933.7335723164,1632486.3845207668,1949025.419701465,2236478.7768120193
41,0,254323.35878844542,595455.1163497035,828408.2010578896,1365349.3768108776,1636762.0407391721,1950472.204185354,2240085.4061619057
42,0,249801.31918672705,597614.6569866794,826553.1084308012,1366739.9489878588,1641077.3535779694,1951968.3648083925,2243782.6949024126
43,0,245121.26296760677,599715.2183894541,824662.797328355,1368105.7239839758,1646024.84573074,1953514.079369246,2247570.81626595
44,0,240174.67750320732,601348.4156593197,827552.543028788,1369447.210856659,1651192.2709693715,1955109.4879606506,2251449.904192147
45,0,235132.61145124474,602767.6691305682,829003.8410263823,1370763.207828989,1656404.7900332208,1956754.6949711004,2255420.0564032565
46,0,229972.73979601855,604544.868070057,830358.0279575242,1372052.5074802893,1661888.8615108444,1958449.7750834143,2259481.3373221476
47,0,224922.58157118372,605647.0404086862,833760.5964550636,1373313.8971636305,1667903.1745315916,1960194.7721144299,2263633.780837513
48,0,219267.42325112017,606482.1098824027,837803.7156760269,1374546.159413868,1674294.9042342366,1961989.6883239262,2267877.3929215097
49,0,213261.80923812476,607047.2659620018,842104.463360422,1375748.0723474831,1680744.7829793908,1963834.5047188282,2272212.231815984
50,0,207003.60355126747,607460.605201274,846386.4190621742,1376918.410055278,1687252.2295567358,1965729.1760818847,2276638.1945079872
51,0,200432.27561027367,607706.7842307995,853362.8001987371,1378055.9429889135,1693816.965866726,1967673.6327292523,2281155.208429094
52,0,193511.5606957344,607461.2045163241,859906.1931418924,1379159.4383418004,1700438.6326034428,1969667.7822146488,2285763.19161821
53,0,186377.97798925464,607168.411826296,866854.8032152836,1380227.6604269957,1707116.881247685,1971711.5109785516,2290462.045239417
54,0,178952.9194505626,606660.0588319759,875464.2955491622,1381259.3710496298,1713851.3744654926,1973804.685941233,2295251.6554841
55,0,171285.13449235918,605984.0385042074,886161.1318559246,1382253.3298773437,1720641.7865486755,1975947.156039224,2300131.8953242223
