C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
0,105332.55886484653,291640.282567247,554942.7192565831,1076588.9838075002,1394764.0578310248,1713344.8846422331,2038388.024617716,2262651.345661449
1,104812.98794695806,292734.07592368714,552419.6486149087,1074863.3370533944,1396327.744654501,1712676.9983880448,2038620.0618246342,2263763.045117465
2,104220.85251821803,293800.3297657884,552879.6070158705,1073069.1223061394,1397906.2060378075,1711992.533333376,2038854.7244046326,2264896.289463353
3,103557.43726461254,294765.9708434146,551629.7907861206,1071204.147714102,1399498.761148455,1711292.0772564516,2039093.4429727723,2266053.863589182
4,102833.92611479534,295725.4289514372,550291.7960337754,1069266.1815343844,1401104.6739736588,1710576.2411370613,2039337.6793039634,2267238.5904934187
5,101986.73140483168,296644.6738420699,548915.7273273201,1067252.9537701097,1402723.1547218037,1709906.4095037438,2039588.9207557414,2268453.402261275
6,100980.52859000438,297326.26726981247,547444.4545595297,1065162.1578326386,1404353.3943178821,1709262.683644855,2039848.6746113934,2269701.1871459177
7,99910.10306703251,297896.44824774313,545884.377250362,1062991.4521848948,1405994.4155357734,1708607.5074876826,2040118.4623954927,2270984.866855864
8,98833.47352927149,298440.969410455,544206.9194137572,1060738.461924279,1407645.3274413324,1707941.577091801,2040399.8142089185,2272307.355698704
9,97657.70084896764,298931.34910944814,542651.1460225127,1058580.238043731,1409305.1443941884,1707382.5358085802,2040694.263125964,2273671.5447488767
10,96366.2048314654,299364.32433856145,540969.585776118,1056603.758749358,1410972.893520014,1706973.6458434,2041003.33969226,2275080.2869016496
11,95007.0910481176,299742.0866001227,542465.3369465347,1054638.2595015208,1412647.4142027453,1706560.6424054522,2041328.5665593105,2276536.3830237254
12,93553.88953389638,300099.4485811736,542606.5765661475,1052734.9817519886,1414327.6266306117,1706144.2508069205,2041671.4532891281,2278042.5693641705
13,91998.49321639175,300435.37704430596,542700.0248778794,1050795.137497859,1416012.381470616,1705725.1965933184,2042033.4913602914,2279601.5063423202
14,90281.35885132207,300590.9967231508,542754.8050299771,1048764.4117546447,1417700.493857593,1705304.2025559738,2042416.1494052454,2281215.768783231
15,88484.18144303815,300501.3131815063,542967.4231790875,1046654.6612021987,1419390.7457022062,1704911.0764439797,2042820.8687067542,2282887.8376291823
16,86591.75279896536,300310.6151148653,542897.4640513295,1044476.110196367,1421081.8874572492,1704557.2513474126,2043249.0589792281,2284620.093118201
17,84408.26946957906,300027.30913738813,542669.3891377164,1042181.5340153577,1422772.6401680587,1704204.7682228864,2043702.0944580955,2286414.8093886543
18,82101.87692801423,300020.40737380355,542379.1440708127,1039879.0731331905,1424461.6971687824,1704104.4813920248,2044181.3103171745,2288274.150442969
19,79736.51859394884,299822.46714923216,542335.289837729,1037502.9821973247,1426181.827960799,1704229.710726423,2044687.9994303533,2290200.167383501
20,77216.93414616358,299205.0745834513,542033.0476393087,1035875.0627413056,1427902.0983314882,1704364.743508569,2045223.4094897278,2292194.7968191165
21,74551.07856222788,298351.860212943,541594.490065401,1034130.5529850788,1429615.5052971973,1704510.1990155196,2045788.7404879397,2294259.8603318264
22,71730.00690731424,297440.2934772772,541156.5386795204,1032284.4006304418,1431320.5591204409,1704666.6768058073,2046385.142567829,2296397.064887973
23,68665.36492587156,296436.07978241576,546813.1150541842,1030340.4055285597,1433015.6601262307,1704834.7417298197,2047013.7142379812,2298608.0040775347
24,65464.55880746498,295326.5189473216,548791.9368402034,1028595.5917453227,1434699.2506894432,1705014.9813085499,2047675.5009483546,2300894.1600672384
25,62108.55689289571,294105.0090495114,550870.7830517382,1026464.5946415892,1436369.7197525387,1705207.9073397568,2048371.4940161176,2303256.906157738
26,58558.702918748895,292730.1156633914,553535.8518393869,1024222.5827110204,1438025.429115663,1705553.0761401625,2049102.6298882086,2305697.5098414533
27,54997.97977258925,291188.15043384914,555477.6667071698,1021901.3633664756,1439664.715525048,1706543.637541371,2049869.7897240277,2308217.1362652956
28,51328.98015612355,289320.55310566956,557143.4632643907,1019531.1402127903,1441287.1840216056,1707570.5542176736,2050673.8065476273,2310816.8751758193
29,47581.52556076285,287255.84471028193,558968.4206697438,1017001.5184662248,1442892.9411486352,1708619.467223697,2051515.4577846318,2313497.719703238
30,43742.11821390952,285006.2123358632,560614.9866475426,1015430.6556002991,1444478.8960423695,1709690.7332007494,2052395.449054983,2316260.5188799156
31,39941.15459538293,282629.8148219831,562147.4252856745,1013847.5510984549,1446043.5712444324,1710784.6851005014,2053314.4421664758,2319106.0690881074
32,35882.12093958489,280108.6331601235,563642.6247266163,1012115.1169039651,1447585.4791691273,1711901.6297128634,2054404.673001171,2322035.0850024526
33,31708.06113828207,277110.76910848916,565113.2485204065,1010344.4854613061,1449103.1228122464,1713041.8475372458,2055766.448404293,2325048.2039496675
34,27443.581213620168,274007.7086841812,566668.9416430914,1008294.4785570705,1450594.9963810523,1714469.0193441487,2057267.8316165986,2328145.9902396835
