C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
0,70996.81685872038,202247.35594379104,379342.2770763266,789940.0681256045,1075865.7407398645,1321942.7469754266,1602579.9656311898,1808757.9890488766
1,70587.61990026296,203416.9078107183,378004.60915283585,788307.578668722,1076470.0505744903,1320998.8332371674,1602442.613246823,1809367.6001332595
2,70142.05503851443,204550.03394494517,376651.84293301386,786617.2322794151,1077071.4893303388,1320031.027223366,1602297.6686717898,1809983.677413342
3,69660.95709603786,205705.56378958886,375387.1573260327,784867.5473266835,1077669.4314557277,1319039.9808077253,1602146.487948478,1810608.6200206748
4,69105.78779133095,206935.6828834864,374186.6390837598,783057.0317358131,1078263.217505556,1318026.3903811558,1601990.482622677,1811244.9200484736
5,68469.77983045335,208105.41250006235,372987.0263698673,781184.1845844383,1078852.1550949619,1316990.9936444699,1601831.1129117506,1811895.145699544
6,67810.6836865386,209190.2709334836,372646.26347118226,779247.4973189849,1079435.519943488,1315934.5661557547,1601669.8804892544,1812561.9234816881
7,67083.05274489026,210240.2136921655,372215.76899400074,777245.4549123156,1080012.557175727,1314857.917665921,1601508.3209947448,1813247.919886628
8,66388.59881893339,211251.7253353439,371745.55493859027,775176.5367425308,1080582.4840973483,1313761.888275543,1601347.996377359,1813955.822986816
9,65676.30511135813,212245.5206337795,371329.26063883665,773039.2175321198,1081144.4819486535,1312647.3444459373,1601190.4871789918,1814688.324362799
10,64940.77845735965,213236.90947563967,371565.8279843149,770831.9691993708,1081697.7254240368,1311515.1748975797,1601037.384857816,1815448.1017350396
11,63966.7975515837,214208.29052162234,371792.1281904744,768553.2602553606,1082285.8976131305,1310366.2864294006,1600890.2842461918,1816237.8026222524
12,62829.559085941124,215109.6938982026,372038.1674128064,766201.5567490888,1082922.881482747,1309201.5996932113,1600750.776228648,1817060.0292877695
13,61627.394076202334,215940.15895049082,372748.0026682157,763775.2345657903,1083550.2627557379,1308022.0449581777,1600620.4407163851,1817917.325170739
14,60308.170226448776,216723.1692331074,373563.4203545231,761272.9190330026,1084167.1047727577,1306828.5579007925,1600500.8399847285,1818812.1629342346
15,58822.99171832681,217425.70846329283,374399.44405543996,758692.9934233597,1084772.4518376936,1305622.0754558905,1600393.512429469,1819746.9342009574
16,57149.08994737022,218347.81825690236,375219.07132737874,756033.9154069339,1085365.3306606584,1304403.531763767,1600299.9667874135,1820723.9409919253
17,55338.865693088206,218942.7904571324,375957.38838036987,753294.1401826057,1085944.751715029,1303173.8542472667,1600221.6768558547,1821745.3888359384
18,53421.508868485456,219404.07763588685,380019.8133091048,750472.1200277422,1086509.7105251881,1301933.9598507332,1600160.0767353834,1822813.3814788293
19,51434.968412497044,219735.1897179764,382717.9661578084,747566.3036915127,1087090.977213708,1300684.7514700464,1600116.556610611,1823929.917091536
20,49308.04250046528,219970.23648355604,385331.7977431075,744583.7559260171,1087688.335409455,1299427.1145995492,1600092.4590741638,1825096.8858547136
21,47100.56008827891,220100.28737637133,388209.19900963345,741533.4131292455,1088269.0663425538,1298161.914217827,1600089.0759909055,1826316.0687840201
22,44932.69474675754,220073.52518687843,391028.45526699134,738393.8255140418,1088832.1423934926,1296889.991929984,1600107.645891811,1827589.1376534563
23,42607.811770858956,219937.72587783544,393802.8216399947,735163.3582132711,1089376.5319182584,1295612.2145122671,1600149.3518803793,1828917.6558729995
24,40075.06164222369,219703.20752560353,396546.12502262974,731840.3582354304,1089901.1906154628,1294964.7145136406,1600215.3200289796,1830303.0857350463
25,37608.867346932464,219346.7479532873,399846.63637500565,728423.1545025089,1090405.0769959497,1294695.4360082974,1600306.6182380244,1831746.769941123
26,35164.36443282155,218819.523255459,403222.9760131267,724910.0578063729,1090887.142850506,1294751.0341539907,1600424.255527449,1833249.9635234345
27,32352.77545969497,218172.31487430396,406322.8840363616,721299.3606999565,1091346.3363778605,1294955.8634877312,1600569.1817274836,1834813.8195649474
28,29376.515943519058,217771.4515078669,409530.1334659334,717589.8188657371,1091781.600974974,1296106.1451270303,1600742.2986084684,1836439.4104218327
29,26207.621056040447,216999.83964885282,412930.9480418937,713780.4652072008,1092212.4782255434,1297309.352454434,1600944.448465062,1838127.718404499
30,22902.104685375605,215804.52656778958,416688.43730015244,709869.1088879014,1092629.1101335797,1298961.1999759516,1601176.3897352444,1839879.6074697543
31,19407.544235431567,214208.65900718904,420598.4737224605,705854.1145529384,1093018.3255348906,1301006.4252855412,1601438.839596963,1841695.8785498957
32,15546.063021969372,212418.08846520504,423870.0107585405,701733.8314869765,1093379.1164641834,1304689.3085182349,1601732.4592637462,1843577.2548720965
33,0.0,210531.28868854186,426839.96302871447,697506.592934557,1093710.472832355,1308527.3454039292,1602057.8553413628,1845524.3862253833
34,0,208494.86102740106,429171.081175323,693170.4377299949,1094011.3828144742,1312391.523423431,1602415.5813474779,1847537.8531834376
35,0,206179.7160087248,431619.4057358906,688720.1337102628,1094280.8331680591,1316280.9779531856,1602806.1393659106,1849618.1712511254
36,0,203428.87301166164,434112.785437615,684157.4018294733,1094517.8094942556,1320259.5901996382,1603229.9818092901,1851765.7949093422
37,0,200155.77782135629,436176.4767745909,679480.4871669697,1094718.785884439,1324354.1675160357,1603687.5132661178,1853981.121538587
