C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
0,40136.905058788994,120176.15700098367,333160.9291627063,565611.055526334,708157.7115572173,898336.3442280655,1068402.7968611238,1186980.0835809014
1,40063.54644206416,121073.08436185156,331341.87099250243,565010.0668740834,708236.2682168952,897572.2314749842,1068153.2001177678,1187247.4003311435
2,39953.90358430166,121948.18768537857,329461.8065269154,564381.6413302151,708310.2554003961,896781.530886164,1067887.428137849,1187507.9528935708
3,39798.39222054949,122771.7073639268,327534.35820167547,563725.070442737,708379.7620438681,895964.8545455949,1067606.6317372974,1187763.761432078
4,39583.807868167954,123563.08593898197,325590.9435770846,563039.6534257527,708444.9216986563,895122.9000262448,1067312.0637668285,1188017.003966666
5,39322.45428427044,124330.14015074911,323680.46859244356,562324.6974455556,708669.6795616283,894256.4454390346,1067005.0689639435,1188269.9887500778
6,39014.733078059144,125076.57110221336,321887.3320960134,561579.4741342427,709351.242870705,893366.4177967967,1066687.0724285985,1188525.1238996966
7,38677.299525413466,125799.80719531978,320033.41045519145,560803.3913805299,710042.2708502703,892453.5831816219,1066359.5670411296,1188784.8856559503
8,38287.08442003933,126509.45288654862,318122.77990053926,559995.7420038974,710742.4954871866,891518.9985747028,1066024.100166532,1189051.786619784
9,37842.74235628311,127195.14031937406,316145.53072832845,559168.8459460796,711451.62150783,890613.7977141713,1065682.2599963348,1189328.3451965805
10,37338.37769525185,127855.4808878599,314122.12100849394,558310.6366640027,712169.327719944,889695.026820703,1065335.661869077,1189617.0572690205
11,36733.35843778419,128414.68735807795,312039.383165504,557418.629533139,712895.2780337596,888759.2528227058,1064985.9348850565,1189920.3708693022
12,36063.120388766925,128901.47986056635,309894.89403130056,556492.2085726139,713629.0597127692,887807.6264961204,1064634.7090937102,1190240.6643543432
13,35283.05089832454,129317.72019711611,307994.26658575796,555530.7561091074,714370.3625755624,886864.4100109556,1064283.6034863647,1190580.2283334583
14,34409.97745636496,129653.16057029694,306111.8249842881,554533.6520968445,715118.7183593453,885987.3504819359,1063934.2149769792,1190941.251376303
15,33429.43449432428,129915.08754574179,304158.30633647944,553500.2734025476,715886.7062791536,885100.5332318986,1063588.1085022339,1191325.809351049
16,32355.00769521805,130102.74133865672,302133.8996216484,552454.0322180302,716667.2726108832,884229.8472852793,1063246.8083230045,1191735.8382111802
17,31190.92328412996,130214.37179520755,300046.6743699594,551495.5143689325,717454.0216322072,883364.2312212077,1062911.790564041,1192173.2129162971
18,29940.999588969313,130262.67824049856,297892.9459392281,550501.8246891651,718246.5082885913,882493.545631246,1062584.4769892073,1192639.6148132756
19,28610.11652497689,130279.46098666178,295723.3152951495,549465.4452717744,719044.2719420018,881618.9365920505,1062266.2299768,1193136.6237197325
20,27178.44499184512,130213.63176927477,293821.9472569056,548408.5641980914,719846.8381841497,880741.5181097558,1061958.3486335047,1193665.6959305273
21,25623.17204640209,130056.56869050652,292122.8182932964,547301.5126032827,720653.7199373095,880000.9127502976,1061662.065966369,1194228.167750301
22,23930.323759938547,129780.96612742366,290341.1404033904,546195.1082354683,721464.4191323608,879312.8392170814,1061378.5470191825,1194825.260060816
23,22141.5985677614,129399.85810723655,288466.8575410045,545080.6276252466,722278.4279796428,878640.0368604538,1061108.8878721471,1195458.083628844
24,20237.47254788053,128909.39665619131,286463.630685898,543952.6200136638,723095.2300507599,877972.3463992255,1060854.1154008417,1196127.6449054675
25,18254.332151248585,128302.7146002096,284362.44750949374,542754.5541644992,723914.3013110815,877310.654844028,1060615.1876913242,1196834.852110974
26,16126.733071265997,127576.4678046526,282212.3177302498,541492.4036912519,724735.1110459167,876655.895349897,1060392.9950119266,1197580.5214393472
27,13855.333878273477,126739.23523429738,280048.70166522136,540221.5355733745,725557.1226872136,876008.84432965,1060188.361248111,1198365.3832517418
28,11485.449514272246,125804.45776456544,278922.44225614466,539127.8338684507,726379.7945483092,875546.3236969045,1060002.0457139623,1199190.08815895
29,9002.031907968778,124810.04008907557,277479.19090811856,537987.1309620842,727202.5944206911,875211.5778347664,1059834.7452619467,1200055.2129187402
30,6397.652254449462,123706.4368363365,275964.7730832309,536770.7629925004,728024.9450879223,874890.3435964052,1059687.096620966,1200961.2660953756
31,0.0,122488.12561562582,274272.57165737293,535517.3057743633,728846.3063251456,874583.1850273578,1059636.7554094733,1201908.693446033
32,0,121101.49867705593,272409.3179546925,534211.4285263207,729666.1217524945,874290.6206150097,1059663.8858942636,1202897.8830127097
33,0,119584.62330890872,270465.49588489893,532822.9376527023,730483.8324399218,874013.1182262899,1059744.9873867168,1203929.1699090926
34,0,117930.49507456156,268456.5348713202,531350.2910523114,731298.8772515951,873751.1289566789,1059852.470525001,1205002.8408001661
35,0,116112.60010902332,267763.273168606,529788.3318174364,732110.6931491718,873820.0807630122,1059986.7921845433,1206119.1380785992
36,0,114139.04898172336,266930.7785786053,528140.8166884634,732918.7154594703,874033.3539017151,1060148.361864293,1207278.263746474
37,0,112024.55718962017,266029.08605678886,526461.7707116976,733722.3781115314,874266.7781814114,1060337.5443177836,1208480.3830141034
38,0,109784.6610425505,265076.2946412195,525093.4137164991,734521.1138475288,874520.5625316991,1060554.6625776778,1209725.6276297928
39,0,107472.4128576307,264034.87310966064,523647.01695608924,735526.3717586321,874794.8820975061,1060873.749667306,1211014.0989556676
40,0,104990.17040952241,262918.1637607052,522125.40020433627,736630.5221503193,875089.8848600201,1061309.8014293455,1212345.8708053187
41,0,102357.22844302541,261695.23774314218,520557.80860699323,737720.0625630147,875418.1873494695,1061777.8814308743,1213720.9920591686
42,0,99553.9388778326,260404.78067554688,518924.14632369025,738850.7261663398,876387.8300933365,1062278.2054144635,1215139.4890732681
43,0,96557.10906722891,261166.27484693727,517261.83828470117,739901.0772945352,877381.6113685531,1062810.9589224092,1216601.3678967613
44,0,93390.51699239915,261076.24583057163,515462.1098664866,740886.4741433698,878399.4665481931,1063376.2993914068,1218106.6163126412
45,0,90155.09670269025,260897.2849272329,513513.13649709837,741822.3096622187,879441.3636138216,1063974.3581462477,1219675.0431500666
46,0,86898.99645896885,260592.44451108185,511317.4878922094,742766.6372512839,880507.2432896786,1064605.2423053447,1221288.4959060925
47,0,83597.32556883241,260257.49370005954,509010.8806800467,743644.5408866046,881597.033768554,1065269.0365668696,1222946.0433794074
48,0,80193.93805866939,259954.02102352824,507169.384942953,744474.2646066643,883053.6416603911,1065965.8049201097,1224647.6263422566
49,0,76601.42022029664,259581.39946140753,505470.41678268026,745264.5455149099,885070.3968618448,1066695.5922584136,1226393.174885518
50,0,72777.85345523967,259194.9742832061,503689.5121351782,746026.6764130266,887112.8840592277,1067705.793245747,1228203.6109091032
51,0,68663.83798075245,258744.51802298558,501818.2239199676,746749.9534943007,889180.9246886596,1068766.902585253,1230094.790275124
52,0,64309.8838476573,258191.0552669033,499861.5099829627,747426.3397888973,891274.3387229521,1069864.9271246172,1232090.8245746254
53,0,59832.35319569625,257512.90697570864,497938.7485198219,748093.8881640722,893392.9450534638,1070999.8828247583,1234186.2560418765
54,0,55294.886783062655,256567.90441259774,495927.41330463503,748947.5067670624,895536.5620414382,1072171.7742554143,1236330.11097346
55,0,50760.77140977686,255309.93406539876,493779.5646839318,749721.6587077085,898276.8019440401,1073380.6088007535,1238522.333363657
56,0,46146.029085260874,253702.15879092924,491538.8153681562,750453.525688363,901660.7430881597,1074626.3494179312,1240762.8622322327
57,0,41285.29415479647,251997.2275680292,488954.23128216434,751150.1244476746,905091.9077008726,1075908.9778659462,1243051.6324935367
58,0,36086.10593676586,249994.9460257571,486857.7415048775,751891.6060299345,908588.0919630831,1077228.4602799716,1245388.5757062084
59,0,30627.210732803676,247892.6726440985,484953.6479083982,752525.0829264626,912105.7858051099,1078584.7556245448,1247773.620789552
60,0,24998.888700265466,245611.81555892932,482890.64486545476,753071.4851515723,915648.4458962437,1080212.9739274497,1250206.6946926245
61,0,19306.9898268516,243071.1594699654,480810.55272480554,753538.0422812294,919230.1687385661,1082040.697319971,1252687.7230199394
62,0,13417.100615464404,240290.92922982736,478581.2294820334,753937.0181627763,923008.8624436392,1083909.2577984307,1255216.6306173867
63,0,0.0,237406.3404803512,476242.3562964372,754306.5777828167,926912.2950694918,1085818.6300892876,1257793.342121637
64,0,0,234490.81354534597,474006.18712091306,754690.2174132448,930831.625146703,1087768.7860851425,1260417.7824760643
65,0,0,231460.21786054966,471618.14330727997,754976.0474238028,934691.8264630719,1089759.6952396638,1263276.900573076
66,0,0,228359.27375700406,469088.6973424641,755199.4022339032,938587.845964211,1091791.3250847992,1266193.0941827376
67,0,0,225038.20062404993,466374.73336632503,755373.7369431293,942457.9533749461,1093863.641993787,1269161.0381864212
68,0,0,221368.12934604453,464335.9524581571,756073.7425710657,946273.6006219513,1095976.611596843,1272180.7073926297
69,0,0,217460.80607075465,462858.9054043803,756571.5485557396,950071.3583930387,1098130.1992697367,1275252.0754589406
70,0,0,213298.98175260684,461158.74805168214,756877.9836967303,953875.1498449418,1100546.056050124,1278375.1185489048
71,0,0,208979.9438322519,459334.2117300625,757041.3358827615,957697.2395416726,1103351.3901442133,1281549.8157068065
72,0,0,204436.09360648305,457271.87378644774,757131.9708000503,961525.2269682761,1106201.6057782283,1284776.1492156899
73,0,0,199745.99425886644,454867.5512869691,757284.0391336525,965318.4234994296,1109096.7176914143,1288054.1049400927
74,0,0,195134.08512325256,452196.6652087323,757353.5877643997,969077.7280122095,1112036.7442282818,1291383.6726548118
75,0,0,190256.8078757433,449426.647312273,757311.8665987479,972827.9219025532,1115021.7053693328,1294764.8463609347
76,0,0,185236.2241299235,446589.886028048,757197.8544627341,976596.920769101,1118051.659107079,1298197.6245902802
77,0,0,180168.00190084058,443581.3744148265,757027.4279121675,980365.0251026998,1121126.5671753855,1301682.0106993169
78,0,0,174893.63161038875,441377.1991864069,756807.595758808,984107.158622052,1124246.4926457284,1305218.0131535481
79,0,0,169657.3171537532,440225.79858664336,756531.170498142,987864.3842507699,1127411.4714342735,1308820.3780236477
80,0,0,164126.54769067356,438830.77878497145,756274.789022073,991592.9316848431,1130845.6553087987,1312764.4038264302
81,0,0,158209.16509768923,437228.4963807465,755898.3112694055,995342.2575537554,1134892.6312951779,1316765.0974893621
82,0,0,152060.65346884553,435499.45159706805,756241.7009137543,999104.9190073714,1138989.2526205182,1320822.540895438
83,0,0,145748.90714982094,433450.2264760403,756533.6210031818,1003035.3250889054,1143135.6389567521,1324936.8161495344
84,0,0,139248.7238823265,431226.466619686,756694.061108893,1006970.1150113756,1147331.9170455593,1329108.0597543935
85,0,0,132874.2038197175,428909.9713770816,756826.2341891361,1010856.7893650918,1151578.22072783,1333336.2896004617
86,0,0,126430.11494009772,426537.50162470253,756811.1506390497,1014719.7364497867,1155874.691465169,1337621.6492106665
87,0,0,119784.8761649288,423899.6168987013,756522.4421866145,1018550.1488282655,1160221.4785511652,1341964.2522650089
88,0,0,113010.82892362514,420918.4274546216,756174.275772897,1022536.5309933937,1164618.739396403,1346364.2201605835
89,0,0,106103.0883418838,420682.0029671221,755590.1564726841,1026456.9279604794,1169066.6398166735,1350821.6822670037
90,0,0,99078.101085853,419942.11655186943,754862.036562733,1030292.5067436596,1173783.4626615995,1355336.7761808995
91,0,0,91844.07971077286,418787.25112340396,753979.5660798008,1034073.8675983308,1179405.5351994415,1359909.6479799848
92,0,0,84128.33413042824,417250.05542125506,753089.8470370168,1037830.7636392312,1185244.0648380134,1364540.4524771809
93,0,0,75915.83810519747,415444.8423661277,752051.3118383294,1041567.3348630061,1191348.907041111,1369229.3534752545
94,0,0,67511.76976003505,413711.7761438644,750942.1703332084,1045282.7142326751,1197507.6039851417,1374078.1657170183
95,0,0,58908.74443027091,411939.98763763165,749713.7033361223,1049060.334431798,1203673.8998582843,1379338.362386903
96,0,0,50242.46095434173,410079.1746103066,749644.9742553874,1052879.9749644275,1209852.3259854903,1384663.0167322664
97,0,0,41670.915361942054,408196.1856116172,749684.1423119018,1056653.0650369925,1216146.6465803264,1390052.3907404768
98,0,0,32952.39540329542,406220.5719567792,749535.4132029985,1060374.5060827637,1222544.9121747422,1395506.7570713947
99,0,0,0.0,403999.3639294622,749214.9669911176,1064078.3405561317,1228903.6868376944,1401026.3994180274
100,0,0,0,401714.3554655634,748814.2278349645,1067761.6946317817,1235255.0497183062,1406611.6127590274
101,0,0,0,399347.55829244637,748246.0201756448,1071513.5312201616,1242907.681502327,1412262.7036637664
102,0,0,0,396414.99143473397,747739.9398357128,1075521.0397054527,1250713.5834106328,1417979.9906026304
103,0,0,0,393105.6573024544,747173.4796572443,1079610.8188227776,1258546.0944072492,1423763.8042629836
104,0,0,0,389198.70197879546,746407.6649855082,1083620.8273401111,1266446.5592244782,1429614.4878712515
105,0,0,0,384714.88154831546,745468.4058223403,1087566.2904122274,1274421.2379687196,1435532.3975215713
106,0,0,0,379727.09229105216,744416.1521688709,1091348.7059339813,1282473.5672455463,1441517.9025114682
107,0,0,0,374346.1234296973,743080.3763588722,1094956.8029473848,1290548.3390017347,1447571.3856850471
108,0,0,0,368452.45200656884,741291.642741156,1098648.097929232,1298607.2879079347,1453693.2437841604
109,0,0,0,362200.169476297,739183.3116978314,1102391.9369514012,1306675.338943296,1460201.721130687
110,0,0,0,355716.4820698913,738115.2986095208,1106043.510095342,1314766.0337471103,1467112.7464477348
111,0,0,0,349314.90440403396,737696.6884851767,1109591.1708105297,1322899.956089185,1474100.1986701959
112,0,0,0,342694.67379974364,737051.2319192354,1113068.3208243186,1331120.7387098006,1481164.614649639
113,0,0,0,336467.30177024106,736136.053272995,1116508.4742943507,1339398.2625175593,1488306.548612808
114,0,0,0,330059.39531260444,735132.9433893616,1119925.5562830025,1347747.6551215134,1495526.5720623182
115,0,0,0,323225.32454763487,733967.248014845,1123349.2179604336,1356109.635380964,1502825.2742455082
