C,eta(B=10°),eta(B=20°),eta(B=30°),eta(B=40°),eta(B=50°),eta(B=60°),eta(B=70°),eta(B=80°)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03960309070284193,0.029232450033205813,0.020053082852623298,0.008127115187087376,0.004762700296979769,0.003258149780736585,0.002137874079580651,0.0011301010924806808
2,0.07811243867450238,0.05787853559295705,0.04018842036994365,0.016326197717245732,0.009532632871218891,0.006511393018063992,0.0042722852053606805,0.002257810923936446
3,0.11552219641657188,0.08593857193360896,0.06037274560968921,0.024601404811651597,0.014310506606467847,0.00975950855474102,0.006403042147444681,0.003382972765892217
4,0.15184274101627515,0.11342141362237743,0.0805923683277018,0.032957097384646895,0.019097068907524183,0.013002268454974647,0.00852994496100911,0.004505419963635646
5,0.18704406609709412,0.14033458422132677,0.10086118893349787,0.04139784974907701,0.02389310711889701,0.016239438659622046,0.0106527853120009,0.0056249760242957966
6,0.22116143119820325,0.16666379733492548,0.12128431050441126,0.049928459715697274,0.028699449939415072,0.019470779741028017,0.012771346912012798,0.006741454813176304
7,0.2541856525728983,0.19228309185639672,0.1413550086839215,0.058553959301355554,0.03351696881928712,0.02269604773941411,0.014885406052275105,0.00785466085399004
8,0.2861246275318033,0.21737161499621716,0.16139556474397718,0.0672796370475658,0.03834657929897731,0.025914995060458867,0.016994732223359944,0.008964389724902372
9,0.31699222863094867,0.24186983089834296,0.18124420474094796,0.07611100843224906,0.04318924306321023,0.029127371412707055,0.019099088804803876,0.010070428539241694
10,0.34681723048012475,0.2657897358075618,0.20101867080262953,0.0850538862995623,0.048045965203459946,0.03233292476367272,0.02119823380750563,0.011172556497533404
11,0.37583456718618063,0.2891045448948377,0.22066494550731122,0.09411435748860453,0.052919469442683865,0.035531402294803976,0.023291920651432013,0.01227054549622317
12,0.4037229249762135,0.31184414796235477,0.24006261356147976,0.10329880509535726,0.05781063743057853,0.038722551337632985,0.025379898961765186,0.013364160778054936
13,0.4303883489825076,0.3340203021172317,0.2592795422919883,0.11261392293223156,0.06272009857473276,0.041906120276177405,0.027461915367980996,0.014453161609465037
14,0.45591728455358244,0.3556378010564771,0.2785629524335294,0.1220667308442622,0.06764917060035279,0.04508185940371617,0.02953771429225736,0.015537301971402758
15,0.4803262076368138,0.37669040315955915,0.2976453490872774,0.13166459090573637,0.07259922624526957,0.04824952172518894,0.03160703871585975,0.01661633125151389
16,0.5035780781077587,0.3972016245514996,0.31569784039530113,0.14141522472820234,0.07757169400748522,0.0514088636994512,0.03366963091453732,0.017689994927449704
17,0.5256609293786512,0.41722489162446963,0.33371594173220426,0.15132673186291948,0.08256946370274024,0.05455964596338475,0.03572523315631642,0.018758035233021147
18,0.5478248492276327,0.4366928335702638,0.3515137242460321,0.1614076094747179,0.08759492179685252,0.057707647946612636,0.037773588357264964,0.019820191800862377
19,0.5679052838345292,0.45559204179797774,0.3690628812828515,0.17166841741989308,0.09264840235560629,0.06084927844529292,0.03981444069273178,0.02087620089858275
20,0.586528415010929,0.4739836134509181,0.3862998308552684,0.18211936833751954,0.09773254692084019,0.06398373196732562,0.041847536163186656,0.021925801495373865
