C,eta(B=10°),eta(B=20°),eta(B=30°),eta(B=40°),eta(B=50°),eta(B=60°),eta(B=70°),eta(B=80°)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04140602453339331,0.029291852042143844,0.017475324944769017,0.007608350281822851,0.004642369909838853,0.003219829699186631,0.002142459702769202,0.0011486286154317924
2,0.0817000383727729,0.0579574688946139,0.03503379942015691,0.015286083753866976,0.009294401903481046,0.006435399867955357,0.004281955586282278,0.0022959598133536823
3,0.12089220140835046,0.08601462072065989,0.05279097796049074,0.023037298160883825,0.013957121841322346,0.00964658108392831,0.006418326979641671,0.0034418775798088315
4,0.15898352968733281,0.11348062184612646,0.07067837666404093,0.030866304088601082,0.01863161685335437,0.012853243658253539,0.0085514071127733,0.004586257443559224
5,0.19599988056999043,0.14035713560997498,0.08871426019291581,0.03877763592358149,0.02331903773552048,0.01605614880953215,0.010681023611746793,0.005728967306077553
6,0.23196533051388638,0.16663603229008686,0.10686878553960463,0.04677606334743061,0.028020602606042735,0.019255406523927193,0.012806999079667534,0.006869866770795841
7,0.2668501691401173,0.19231759728345466,0.1251352235452571,0.05486660338746856,0.032737593371459865,0.022450516239426038,0.014929151748311758,0.008008808104106022
8,0.30059290629737406,0.21738437045917708,0.14349835085124138,0.0630545330554753,0.037471367134999004,0.025641422501087908,0.01704729618369824,0.009145636562958212
9,0.33324954869982204,0.24186301623609793,0.162154365266923,0.0713348696728038,0.042223352173974125,0.02882976660334969,0.019161244027872355,0.0102801909340561
10,0.3648001112819941,0.26574788170304564,0.18088308098871875,0.07972208045622475,0.046995056140005625,0.032016908770586154,0.02127080475928335,0.01141230413260529
11,0.3958320713373886,0.2890441847574127,0.19854786979564465,0.08822386868864963,0.05178805241533852,0.03520097473131846,0.02337578645514551,0.012541803844067438
12,0.4255174530702036,0.3117594227124133,0.21677328575713978,0.09687462428255025,0.05660400131452543,0.03838204792997556,0.025475996540907136,0.013668513192697173
13,0.4540637569937889,0.33394706539553254,0.23494647839876803,0.1056520497958745,0.061444641041029445,0.041560227904833706,0.027571242514178286,0.014792251421752561
14,0.4811929107473015,0.355596100732395,0.2530725622672463,0.11452830535808281,0.06631179152967788,0.04473563110649655,0.02966133263298776,0.015912834571922472
15,0.5070700960793476,0.37670745279606505,0.2712651231233601,0.12352030442752072,0.071207356025521,0.04790954909710511,0.031746076560824496,0.01703007614655681
16,0.5318079760289375,0.39728084941421615,0.28930872911434014,0.13263958464978293,0.0761333225515815,0.05108293733154209,0.03382528596340652,0.018143787754496505
17,0.5553618851987404,0.4173276891504463,0.3072531163648274,0.14186031209910893,0.08109176539181745,0.05425462324188605,0.0358987750543773,0.0192537797235188
18,0.5775510294323601,0.4372658425055527,0.3251777665788792,0.15126470128724342,0.08608484651935114,0.05742939662643114,0.037966361089069,0.02035986167950718
19,0.59822627740899,0.4564701455085791,0.3433887387300608,0.16076480373363544,0.0911183693023121,0.06060821191988772,0.04002786480705162,0.02146184308832841
20,0.6175392528756378,0.47509667469111705,0.36133517922934294,0.17032613732994478,0.09619205882277325,0.06378791057688867,0.042083110825398146,0.02255953375899922
21,0.6355180812178766,0.4931438132861323,0.3791601822013782,0.18002816874583952,0.1013077777463777,0.06696895512211637,0.04413192798545695,0.02365274430802389
22,0.6519652072995717,0.5106437234543758,0.3969825963679354,0.18988843189720736,0.10646802725365748,0.07015183904087345,0.0461741496564755,0.02474128658578933
23,0.6664103964082295,0.5276535981848061,0.41024722076007863,0.19984917160398283,0.11167537404526051,0.07333708735737302,0.0482096139997068,0.02582497406663312
24,0.6792261682173802,0.5441678408465092,0.4257190312393197,0.21016151496823693,0.11693250128052901,0.07652525734767988,0.05023816419671226,0.02690362220468876
25,0.689961979928495,0.5602306772295079,0.44104568611640355,0.22034543532518583,0.12224217873519495,0.07971693879013049,0.052259648645495094,0.02797704875789786
26,0.6982808764975028,0.5758842504726734,0.45645450463884174,0.2306394013631967,0.127607272140951,0.08291481062805107,0.05427392112791124,0.029045074082704053
27,0.7036475162960092,0.5910358407591471,0.47117604761724496,0.24107020376974597,0.1330307450537325,0.08612878083536542,0.05628084095154368,0.030107521401944053
28,0.7058736044815862,0.6057461905928282,0.48559984491029917,0.2516596708301382,0.1385162550822671,0.08935123659671809,0.058280305117511345,0.03116423803520104
29,0.7040450974602334,0.6200570576530927,0.5000186666946006,0.26235903764456203,0.14406784529339092,0.09258247525565026,0.06027221476066637,0.0322150743811777
30,0.696801601908234,0.6339909727694512,0.5140447577894645,0.27302287303228123,0.14968822432214948,0.09582338613232234,0.06225640235810242,0.033259835285534445
31,0.6822187909649656,0.6474247469856236,0.5277387337178454,0.28385321719413037,0.15538096425275305,0.09907497339962487,0.06423275216734199,0.034298359048779314
32,0.6587534407821974,0.6603005574108731,0.5409104946141994,0.2947565385140176,0.1611497652658066,0.10233828638090924,0.06620729503848766,0.035330487923681646
33,0.6222035245664976,0.6727911683982077,0.5538296937520675,0.3057936248113824,0.16699845892905066,0.10561441992657968,0.06818520549724404,0.036356068268003326
34,0.5665387665064056,0.6849500632989208,0.566468786101729,0.3168369939651708,0.17293101167238045,0.10890675532244568,0.07016189218022797,0.0373749506835533
35,0.4829331202886004,0.696657037033998,0.5785396459883847,0.32803704862788297,0.1789515284549374,0.11222288458850586,0.0721347573338806,0.038386990142722906
36,0.3543862242719344,0.7079337544974734,0.5904469003348358,0.3395895299409691,0.1850642566317034,0.1155578348574966,0.07410502897988168,0.03939204610351444
