C,eta(B=10°),eta(B=20°),eta(B=30°),eta(B=40°),eta(B=50°),eta(B=60°),eta(B=70°),eta(B=80°)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04428230006442363,0.03216247910466098,0.017264585789248298,0.00772683729398934,0.004817918358323499,0.0033543166979777945,0.002233221498095764,0.0012361128812896445
2,0.08717669523890008,0.06356693933970334,0.03480828920599898,0.015507993096650885,0.009642008887182148,0.006703800705725631,0.00446274789956503,0.002469395321604627
3,0.12864419627866677,0.09422302029041826,0.05256874582841722,0.02334683344899487,0.014472977167350215,0.010048242316567884,0.006688387544398931,0.0036996735633055273
4,0.16873246082585233,0.12415064559306044,0.07053353059165961,0.031246904839779474,0.01931157292318309,0.013387426819907155,0.008909941843531315,0.004926765646217826
5,0.20745353070916697,0.153353652280036,0.08874808504847265,0.03921194335818888,0.02415859175475336,0.01672113519653416,0.011127205701341944,0.0061504817060270035
6,0.24472467441939963,0.18183726071356168,0.10693766864147412,0.047245884309710384,0.02901487684911961,0.0200491449027782,0.013339968032952917,0.007370624360107277
7,0.2805737872345234,0.20961705242752085,0.12536383417117739,0.05535287230705114,0.033881320663361775,0.02337123072644837,0.015548012366374875,0.008586989173853482
8,0.3148685286466071,0.2367062865058864,0.14388335379896244,0.06353727187745671,0.03875886699004039,0.026687165695271835,0.017751117516505235,0.009799365197657124
9,0.34792749390231015,0.2631157737548062,0.16254085141968683,0.07180367858387143,0.04364850914697917,0.029996722017469404,0.019949058315786427,0.011007535562426427
10,0.3795627145036829,0.288826051167367,0.1810278598843323,0.08015693053800708,0.04855130165435617,0.03329967203419514,0.02214160638509074,0.012211278120107175
11,0.4092972936614513,0.3138658329475396,0.1997713923176349,0.0886021208061906,0.053469482628684804,0.03659578916468131,0.024328530928111113,0.013410366115047648
12,0.4374626372256454,0.33821763746126665,0.21844005977618142,0.09714461027296853,0.05840513575689612,0.03988484882687586,0.026509599533116032,0.014604568872220143
13,0.46398652618892444,0.36189897570891416,0.23734054453169431,0.10579005994343724,0.0633583059349844,0.04316662931889497,0.028684578967230822,0.015793652489159208
14,0.48886833561624476,0.38488105556691943,0.25663596541303474,0.11454437532174039,0.06833037188909463,0.046440912649488686,0.030853235950247724,0.016977380519854486
15,0.5120898590599167,0.4071982611629541,0.2751064448900456,0.12341382074921078,0.07332277667586214,0.04970748530869655,0.0330153378971482,0.018155514640577304
16,0.533705070573129,0.4290064338665155,0.29336265264805306,0.13240497328556225,0.07833702861359293,0.05296613897275632,0.035170653620850645,0.01932781528955784
17,0.5533958309646909,0.44998090759198056,0.31136400807870995,0.14152475490036007,0.08337470215780446,0.05621667113996544,0.03731895398901294,0.02049404227441178
18,0.5710470357900259,0.47029524411838697,0.3467462868162367,0.15078045106913834,0.0884374387793236,0.059458885696485754,0.03946001253088858,0.02165395534311578
19,0.5879491151914921,0.48996379801873524,0.3706594538392223,0.16017973071035943,0.09352799246765582,0.06269259341296554,0.041593605992167555,0.02280731471605786
20,0.6014545499195505,0.5090014874054865,0.389239851296969,0.16973150696228562,0.09864856810979664,0.06591761237432499,0.04371951483737345,0.023953881578177714
21,0.6122862208735195,0.5274101845169181,0.40762219456738047,0.17944554697261125,0.10380016714400506,0.06913376834611955,0.045837523700712056,0.025093418531436554
22,0.6198474869775775,0.5452327133608752,0.4255026405591123,0.18932898124883982,0.10898478793360374,0.07234089508161054,0.04794742178728239,0.02622569000880601
23,0.6233438941304245,0.562461757161778,0.4428623914215835,0.19939121259965384,0.11420451490760213,0.07553883684682434,0.05004900322728497,0.027350462651658212
24,0.6213436945195159,0.5791323854912058,0.45972093887540544,0.20964214782822782,0.11946148713615386,0.07873507134499591,0.052142067386335735,0.028467503609310038
25,0.6152467410369054,0.5952532261280622,0.4756137569232788,0.22009222885452454,0.12475794681216978,0.08192964372452019,0.05422641913525225,0.029576589062009304
26,0.6043498062652227,0.6108390467272405,0.49171572216659554,0.2307524663032434,0.13009621080480904,0.0851238265379811,0.05630186908276655,0.030677492132528177
27,0.5840350208063682,0.6258828009475552,0.5074042373309543,0.24163447579671965,0.13547867946614536,0.08831351487154808,0.058368233774578185,0.031769991423678964
28,0.5531480913192574,0.6411364202416012,0.5228220208535354,0.25275109833650683,0.140907899271288,0.09150452562527422,0.060425357796437006,0.032853880125215194
29,0.5076583706120635,0.6552876580083682,0.5378569428026417,0.26411619279417936,0.14638633870065684,0.09469367752089958,0.06247309214190517,0.033928956527833745
30,0.442095012687512,0.6690053884168822,0.5524495302393466,0.2757429497933371,0.15191667824220909,0.09789190714691455,0.0645112427399883,0.03499499684867804
31,0.34285862212053253,0.6822523498316699,0.5664892302554846,0.2876460754523648,0.15750180685281967,0.10109709883830316,0.06653965291285141,0.036051796515222154
32,0.17337861642094196,0.6949885286406072,0.5796571009897366,0.2998411406183553,0.1631446138896674,0.10431473505381425,0.06855817260380312,0.037099155385095076
33,0,0.707218840730799,0.5923907021904814,0.3123446412905764,0.16884809090208389,0.1075431445704569,0.07056665843660992,0.03813687789234258
34,0,0.7189997835933253,0.6052489984767789,0.32517346033736494,0.17461533434284535,0.1107790957001391,0.07256497375904584,0.039164773181001485
35,0,0.7303991131079196,0.6171500217502888,0.33833802202608076,0.18044954843689953,0.11402366210285479,0.07455298867229605,0.04018265522710243
36,0,0.7414664126400117,0.6285987653993335,0.3518650872606883,0.18635404819777115,0.11727981573103567,0.07653058004763612,0.04119034295005191
37,0,0.7522424782934252,0.6396742301013566,0.36577538539254095,0.19233091291556384,0.12055034126281808,0.07849763153163648,0.0421876603142024
38,0,0.7626301578326161,0.6504271480542146,0.38009094751977246,0.19838432224724634,0.12383421509477448,0.08045403354098724,0.04317443642129706
39,0,0.7726466849287336,0.6613946933182613,0.39483520696392355,0.20451824149216224,0.12713229210597532,0.08239968324790703,0.044150505594374105
40,0,0.7822308921641771,0.6716840309707846,0.41003310906926155,0.21073641339193033,0.13044667480597708,0.08433448455698513,0.04511570745363108
41,0,0.7913555566150215,0.6817010193368588,0.4257112315934624,0.21704270555953137,0.13377594635856158,0.08625834807420861,0.046069886984683
42,0,0.7999730175535773,0.6913993252722828,0.44074534004479765,0.223441114413096,0.13712294674051864,0.08817120424141212,0.04701289459959089
43,0,0.8081321318340828,0.7009615958343568,0.4546910880661876,0.22993576930621443,0.1404905823048101,0.09007297550598743,0.047944586190997715
44,0,0.8157422727076239,0.7102928325406522,0.4687531731419403,0.23653093686177898,0.14388032595449338,0.09196358318943729,0.04886482317967292
45,0,0.8228443402083717,0.719112037677424,0.48312827669463754,0.2432310255168122,0.14729367721845316,0.09384296441225133,0.0497734849232574
46,0,0.8292511654939909,0.7276972142922626,0.4976389116219664,0.25004059028624254,0.15073216245658735,0.09571106275120696,0.05067043760390811
47,0,0.8349491664563099,0.7360279137075231,0.5116433911665498,0.25696433775415756,0.15419733503658914,0.09756782817356456,0.051555555476626956
48,0,0.839927258283534,0.7441898097978524,0.5256832194131598,0.26400713130169273,0.15769077552363064,0.09941321696698753,0.052428722545613274
49,0,0.8441205686097611,0.7523122317055598,0.5393008904703821,0.27117362816753815,0.1612140919697407,0.10124719166554629,0.053289828495209385
50,0,0.8474529547690011,0.760147308419404,0.5503346019221531,0.2784597371308288,0.16476892621112668,0.10306972097213764,0.05413876870327984
51,0,0.8499169930010365,0.7676601483161474,0.5625719495210848,0.28587844310838006,0.1683568037345245,0.10488077575289728,0.054975444249720354
52,0,0.8514345427084824,0.7749517961212935,0.5750882691424093,0.2934296559276831,0.17197865939298812,0.10668034486898555,0.05579976192018996
53,0,0.8519122156739531,0.782259650329657,0.5870519820165278,0.30112200907133596,0.1756366862842156,0.10846850200761278,0.056611634205460816
