C,eta(B=10°),eta(B=20°),eta(B=30°),eta(B=40°),eta(B=50°),eta(B=60°),eta(B=70°),eta(B=80°)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05345414582214084,0.03745843986211067,0.013296441029590293,0.006722944309978913,0.004333889420326427,0.0030195262884603388,0.0019773642412289623,0.001041516736827392
2,0.10481054075631929,0.07391893694355488,0.026777718244038927,0.013490252640292152,0.008672954014021869,0.006033963143592532,0.003950656065391377,0.0020796158375252925
3,0.15408719060085269,0.1093399195403773,0.040470519511743165,0.02030516802781122,0.013018099361366484,0.009043106918883295,0.005919670342225488,0.003114067228232237
4,0.20132641309202953,0.14375713815046445,0.05437635628834806,0.027171099839040886,0.0173703030103557,0.012046754519710786,0.00788420131453152,0.004144639887622132
5,0.2465666406164087,0.17710654547375868,0.06847718817978589,0.034091627557947236,0.021730068215681554,0.015044704521548167,0.009844043737219137,0.005171103528273786
6,0.2898400334527451,0.20944590397599808,0.08276840507029042,0.041070512172947216,0.026097104847101982,0.01803675925180123,0.01179899401342854,0.00619323019391378
7,0.33118943071448687,0.24074118630825148,0.09724725521599838,0.048111671013281135,0.03047392335272765,0.021022722071490328,0.013748851302513744,0.007210795725001102
8,0.37047634573046034,0.27104970223517516,0.11193340763158122,0.05521922123004023,0.034861879722986516,0.02400240389568394,0.01569341857649568,0.00822358105626183
9,0.40752550450724195,0.3004529884095748,0.12681811179734126,0.062401745841099095,0.03926241413046269,0.026978782864567754,0.017632503604484706,0.009231373322287031
10,0.44248750734853215,0.3289419818421658,0.14195255075676458,0.06966193825494679,0.043677050608741275,0.029949910689974386,0.019565919848273952,0.010233966759802503
11,0.47535733265201224,0.35642702319895914,0.15734354212542434,0.07700427154454803,0.048107397885004254,0.03291550630350751,0.021493487256512844,0.011231163406567104
12,0.5061788242187462,0.3830177401479237,0.17298234327506223,0.08443392324779689,0.05255513790256255,0.03587555111519578,0.023415032949270134,0.012222773606262739
13,0.5350719641795164,0.4086181011335025,0.1886956345967198,0.091956284024776,0.057022055028727175,0.03883146063417798,0.025330391789098194,0.013208616335796104
14,0.5618566759704134,0.4332717171076971,0.20463392806469258,0.0995769639057684,0.061509988520887356,0.04178755854057,0.02723940683867067,0.01418851937607316
15,0.586810888861853,0.45697424028482575,0.22074538388615553,0.10730179879728993,0.06602390471052193,0.04473977974760786,0.029141929708504346,0.015162319349730226
16,0.6097718202591869,0.47974702691499177,0.23705565239276208,0.11512860398278472,0.07056548829232032,0.047691147916486785,0.03103782080107736,0.016129859545554785
17,0.6306276744383915,0.5016786233167762,0.2535952147075325,0.1230568777928165,0.0751358197850642,0.05064134418791512,0.032926949459772724,0.01709099828654362
18,0.6492431387588574,0.5232518553514395,0.27036461487719327,0.13108970874988476,0.07973723863672044,0.05358960997784968,0.034809194032513584,0.018045595761038265
19,0.6654296430340423,0.5439234209197364,0.2875228353359883,0.1392185197219201,0.08437215989791891,0.056536361027681364,0.036684441860766775,0.018993522489952376
20,0.6790446206822118,0.5636296606238133,0.30469570153955033,0.14749224819504497,0.08904307306841905,0.0594820416503908,0.038552589204853265,0.019934656822732984
21,0.6897758610348143,0.5822499579736701,0.3220455021418002,0.1558604856793078,0.09375254067023345,0.06243613094222416,0.04041354111631655,0.02086888462465166
22,0.6969553079654083,0.6000624967453145,0.33938600294727195,0.16432430640147203,0.09850319712969359,0.0653959182466264,0.04226721126756334,0.021796098958797236
23,0.70014918072252,0.6172224945207362,0.35677086816967774,0.17289958859729246,0.10329774761170855,0.06836089219946903,0.04411352174820869,0.02271619977113164
24,0.698462709266452,0.6337041292471565,0.37421255349427623,0.18163918650989527,0.10813896688114215,0.0713305216991232,0.045952402836613414,0.023629093584869077
25,0.6903596694383002,0.649595750470833,0.3917375009000563,0.1904497654946445,0.11302969828429961,0.0743056816147582,0.047783792754078784,0.024534693208650836
26,0.6728308829194933,0.6648096380286513,0.4094552566140157,0.19935099259673314,0.11797285283940316,0.07728728018992947,0.04960763740811884,0.02543291746150954
27,0.6410539774788133,0.6793918944205063,0.4275156077771466,0.20837438205079015,0.1229714084488222,0.08027625726307094,0.05142389013021335,0.02632369091642174
28,0.5867350249847014,0.693476990766514,0.4450865088737355,0.21735517631410262,0.12802840924260767,0.0832830358970402,0.05323251141248804,0.027206943663310137
29,0.4898358616695604,0.7064486066875673,0.4629982748676719,0.22641346120308456,0.13314698034750225,0.08630734098466512,0.055033468646895345,0.02808261109163857
30,0.2937405074259371,0.7186877570698312,0.48080250926652657,0.23551721130705633,0.1383302685231338,0.0893446258506625,0.056826735869689525,0.028950633692209987
31,0,0.7305004810366819,0.49847858201569084,0.24472367630250608,0.1435815273880376,0.09239611917257096,0.05862098312834334,0.029810956877398806
32,0,0.7419169499997448,0.5160467369334684,0.2540319533597394,0.14890406224474204,0.09546308140205796,0.060414028691688805,0.030663530818792487
33,0,0.7530027608643141,0.5336352142626546,0.2633975880685986,0.15430124346797772,0.09854680494585026,0.062205977703421456,0.03150831030105825
34,0,0.7634378227708144,0.55128516638316,0.2728343826201966,0.159776506703979,0.10164860985812862,0.06399473685866135,0.03234525459076693
35,0,0.7729677970893791,0.5680771672701405,0.2823480453882218,0.16533335320920411,0.10478160288007321,0.06578064076349278,0.03317432731887917
36,0,0.7818897392529581,0.5857487660344471,0.2919621178986949,0.17097535032525454,0.10794221983324491,0.06756403413555033,0.03399549637561286
37,0,0.7901562606667184,0.6028341275913437,0.30176232861751895,0.1767061320864547,0.11112769616842609,0.06934527158475318,0.034808733816456
38,0,0.7977949133544733,0.6195485707728466,0.311429414853079,0.18252939995638767,0.11433960742457486,0.0711247174969605,0.035614015778151355
39,0,0.8055891114080854,0.635969056660659,0.3211608572055006,0.18838211914215178,0.11757956034669383,0.07291019627117133,0.03641132240355732
40,0,0.8130655778033916,0.652150588001411,0.3309727555411142,0.1943090297418489,0.1208491876863125,0.07470514415147546,0.03720063777437172
41,0,0.8196882380148917,0.6679620820676176,0.34090302823608903,0.2002465705526336,0.12415034397290814,0.07650204202690429,0.03798194985079128
42,0,0.8254613386971388,0.6835709268757963,0.3509548484756604,0.20630088601126273,0.1274953063259,0.07830143511103392,0.038755250417266
43,0,0.830581625839386,0.6973057562976481,0.36116192901577077,0.2123163431024423,0.13087714428558836,0.0801038785248366,0.039520535033588426
44,0,0.8349965252577278,0.7121237957558636,0.3713743782583558,0.21831761960400492,0.1342976726249152,0.08190993712111762,0.04027780299063998
45,0,0.8386950401481436,0.7260389870528144,0.38161290011534704,0.2243304284414418,0.13775874800041435,0.08372018531606139,0.041024442516687264
46,0,0.8418491945253215,0.7391196730078186,0.39179856810996344,0.23043085576544287,0.14126224212111738,0.08553520693627344,0.04176325027561884
47,0,0.8451743328005139,0.7514777522221798,0.4021005634393955,0.23653700636649697,0.14481004730778374,0.08735559505697658,0.04249438653333169
48,0,0.8472211305773274,0.763485987541629,0.4123312018651082,0.2426787926612398,0.14840203520188533,0.08918195185726314,0.04321789026971327
49,0,0.8479723645413514,0.7746292233084108,0.4227872726878272,0.24886887195271326,0.15203984028978962,0.09101488847625534,0.04393380425200454
50,0,0.8467020715292002,0.7850817382971442,0.4332905997402586,0.2551253951668297,0.1557289891765062,0.09287593226047962,0.044642747182081895
51,0,0.8437789783865212,0.7946506708315134,0.44386168390577146,0.26144454702352066,0.15947147774269288,0.09474882757907725,0.04534591802714437
52,0,0.8388222567109388,0.8033171707551697,0.4545129817457319,0.26781936915161886,0.16326931505939457,0.09663322119544882,0.04604820756294211
53,0,0.8314812274167453,0.8111811218286584,0.46542221662811994,0.27422579137401937,0.1671245231969312,0.09852988582242984,0.04675066001909515
54,0,0.8210966576743894,0.8183410097125041,0.4763896514929705,0.2804987220373402,0.1710391371303838,0.10043960233104281,0.04744925502793747
55,0,0.807020565369996,0.8247988411705595,0.48734464913554015,0.28677277941962115,0.17499842109901761,0.10236316040019007,0.04814421871630742
56,0,0.7877786980168312,0.8306778150454653,0.49839904712304245,0.29309220729064855,0.17900290459073495,0.10430135599123387,0.04883578112602581
57,0,0.75950201669643,0.836452707578676,0.5093425091887454,0.299470091215785,0.18306333950057943,0.106254993879316,0.04952417619014583
58,0,0.7186345331693126,0.8417163412190757,0.5200084396838462,0.3060014378754873,0.1872055273342304,0.10822488610195799,0.05020964171477639
59,0,0.6575287592707654,0.8466975088021793,0.5308925700985381,0.31251651983785805,0.19140663583515238,0.11021185211006107,0.05089241935523534
60,0,0.5606452829830859,0.851258071110203,0.5417406839518332,0.3190479683760918,0.1956724134748098,0.1122309489860983,0.05157275458932505
61,0,0.4029977505737718,0.8555025351438503,0.5527248344048651,0.32561017115876917,0.19996246673019602,0.11428081916478537,0.052250896687929996
62,0,0.09571411697819417,0.8595105197218387,0.5637047061473403,0.3322223427171952,0.2042222398865424,0.11635334393418996,0.05292709868313859
63,0,0,0.8633118226549257,0.5747192877072267,0.3389257345513937,0.2085100443328521,0.1184494699219494,0.053601617334097344
64,0,0,0.8671151165396456,0.586043976021384,0.34576774422678724,0.21282636783945466,0.12057014924008487,0.05427471309080343
65,0,0,0.8705551380736437,0.5972952382845983,0.3526426142714586,0.21709668461858592,0.12271633930940112,0.054962721017020946
66,0,0,0.8741915389820799,0.6084858925182896,0.35958944729785025,0.22142182529236976,0.12488900269767075,0.055652728982681185
67,0,0,0.8776002756783142,0.6196534228591467,0.3666261967534128,0.22574040407915275,0.127089107003926,0.056344672387787544
68,0,0,0.8803952552117468,0.6302760228174639,0.37347121757584323,0.23002725737476332,0.12931762469695937,0.05703891044826439
69,0,0,0.8829465114372008,0.6415152383267884,0.3803201602359653,0.2343229991033722,0.1315755329672425,0.05773580580596344
70,0,0,0.8851608594490564,0.6525188469381057,0.3871132701600944,0.23865199214948357,0.13387167779412126,0.058435724232136464
71,0,0,0.8869885486777159,0.6634752354538294,0.3938879321944777,0.243028924059897,0.13621335145654723,0.059139034586308
72,0,0,0.8883740584326671,0.6743776007934733,0.40072372223821523,0.2474437381824912,0.13859015171218578,0.059846108773594996
73,0,0,0.8894915460982386,0.6851603525925318,0.40772607014425727,0.2518648779026876,0.1410031320168263,0.06055732170063098
74,0,0,0.8908399708435234,0.6958216385683235,0.41473666885076427,0.2562959103658739,0.1434533477888846,0.061273051230249315
75,0,0,0.891145143954959,0.7065201421390951,0.42175621056121565,0.26076056153532723,0.14594185584189498,0.0619936781350731
76,0,0,0.890494782507044,0.717179620968431,0.42882766910389936,0.2652860593541455,0.14846972169287068,0.06271958605015636
77,0,0,0.8891836032211011,0.727637002054448,0.43597655591574547,0.269857428471369,0.15103799168899548,0.06345116142481297
78,0,0,0.8874328790290217,0.7369605123249097,0.4432196828321487,0.2744570111828354,0.15364773308092344,0.06418879347376523
79,0,0,0.8853955672064533,0.7475062254427349,0.450560459612449,0.2791216625298185,0.1563000078902448,0.06493379882762651
80,0,0,0.8817400537227182,0.7576405295053269,0.4580746458585544,0.28381587952558085,0.1589980132195645,0.06570506589940134
81,0,0,0.8772537976741352,0.7674634578702819,0.4656398141616199,0.28858211273528844,0.16174736187396818,0.06648625949303645
82,0,0,0.871544171754475,0.7772090844386463,0.4729474439156181,0.29341631782542915,0.16454447519597987,0.06727784619217453
83,0,0,0.8640184914258836,0.7866733779863844,0.4803764340119096,0.29796134720874673,0.16739042732640452,0.0680802944368345
84,0,0,0.8551171464916459,0.7959938517354624,0.4877815884272452,0.302549506692551,0.1702862900683742,0.06889407419595747
85,0,0,0.8448150965140416,0.8051736815447792,0.4952597463675436,0.30713871057972675,0.1732331327210083,0.0697196576995821
86,0,0,0.8326105451484502,0.8142213852595058,0.5027162439524229,0.3117495073252689,0.17623202201344818,0.07055751812647942
87,0,0,0.818164321473895,0.8227957121721394,0.5101212880151107,0.3163796662402709,0.1792840219737451,0.07140813048776005
