t,x,C,a,Fd,T,W
0,1.9994449194147759,1.9994449194147759,1.9994449194147759,0.7849031593282203,5214.9448014134,1599415.7323036469
1,5.9930124768538136,3.9935675574390372,1.9941226380242614,3.1312609283887602,5202.237470431468,1597887.0412644015
2,11.974841882806025,5.981829405952211,1.9882618485131733,7.0253058216111075,5188.899553833162,1596297.5875981878
3,19.93854131597176,7.963699433165736,1.9818700272135252,12.451650113812065,5174.942856029779,1594654.72531017
4,29.87719780743384,9.938656491462078,1.9749570582963425,19.393337188798174,5160.38467663126,1592966.1276441352
5,41.78338954014601,11.906191732712164,1.9675352412500866,27.831904895014684,5145.247861627733,1591239.6594942599
6,55.64920044326423,13.865810903118213,1.9596191704060477,37.74746004065132,5129.560526439298,1589483.2515726313
7,71.46623684737976,15.817036404115543,1.9512255009973296,49.11876244048446,5113.355487821278,1587704.7785250866
8,89.2256458824507,17.759409035070952,1.942372630955409,61.92331642618468,5096.669479744799,1585911.9432472372
9,108.91936443898375,19.69371855653304,1.9343095214620865,76.14697265946228,5082.752718302852,1584996.1049885657
10,130.5415896293516,21.62222519036786,1.9285066338348222,91.7905474309161,5075.440574756674,1585960.1705161885
11,154.08628182671808,23.54469219736648,1.9224670069986194,108.83866902427526,5068.213288764537,1586978.2408325728
12,179.54718392211922,25.460902095401142,1.9162098980346605,127.2754852673383,5061.113156708064,1588051.7141386883
13,206.92028952156767,27.373105599448454,1.9122035040473113,147.11106291982,5060.582270015298,1590927.0957586777
14,236.20240954518184,29.282120023614176,1.9090144241657234,168.34577471692427,5062.882505582669,1594510.2345239106
15,267.3903436080779,31.187934062896083,1.905814039281907,190.97231049595865,5065.849169695193,1598187.7096246444
16,300.48089857359304,33.09055496551514,1.9026209026190535,214.98357936501318,5069.527103712998,1601957.281105838
17,335.47375129416235,34.99285272056934,1.9022977550542013,240.41185836603205,5081.398474364373,1607817.0169254297
18,372.3687806316735,36.89502933751117,1.9021766169418295,267.25934996488115,5094.506291966732,1613806.9006714926
19,411.16607736023445,38.797296728560944,1.9022673910497774,295.5290110888745,5108.877861402257,1619916.2520593482
20,451.86771820541446,40.70164084518004,1.9043441166190926,325.2527844372876,5129.155848361237,1627394.5469361113
21,494.47676570610946,42.60904750069502,1.9074066555149796,356.4518225204208,5152.7424688432775,1635482.4035427168
22,538.9971162525463,44.52035054643691,1.9113030457418854,389.1475837561173,5179.252135172896,1644017.001232147
23,585.4348481051752,46.43773185262885,1.917381306191939,423.38862576296117,5212.224759430058,1653899.0200723277
24,633.7974759774329,48.36262787225764,1.924896019628787,459.2159560541928,5249.736797218973,1664509.1653386042
